Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina linaperta,Acarinina primitiva,Acarinina bullbrooki,Turborotalia cerroazulensis frontosa,Turborotalia boweri,Pseudohastigerina micra,Acarinina triplex,Subbotina eocaenica,Muricoglobigerina senni,Acarinina sp. aff. pentacamerata,Acarinina sp. aff. nitida,Morozovella sp. aff. subbotinae,Subbotina eocaena,Morozovella sp. aff. aragonensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 82,X, 1,  31.00,    758.0100,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,R                  ,                   ,                    ,                                    ,                   ,                       ,                 ,                   ,                       ,                                ,                         ,                               ,R                ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 82,X, 4,  37.00,    762.5700,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,R                  ,                   ,R                   ,                                    ,                   ,                       ,                 ,                   ,                       ,R                               ,                         ,                               ,R                ,R                               ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 82,X, 5,  16.00,    763.8600,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                   ,                    ,                                    ,                   ,                       ,                 ,                   ,                       ,                                ,                         ,                               ,R                ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 82,X, 6,  60.00,    765.8000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,R                  ,R                  ,                    ,                                    ,                   ,                       ,                 ,                   ,R                      ,                                ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 82,X,CC,  28.00,    767.4200,Basov    ,Planktonic Foraminifers                      ,F              ,M                 ,F                  ,F                  ,F                   ,                                    ,R                  ,                       ,                 ,                   ,                       ,                                ,                         ,R                              ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 884,B, 83,X, 2,  32.00,    769.2200,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                   ,                   ,R                   ,                                    ,                   ,                       ,                 ,                   ,R                      ,                                ,                         ,                               ,                 ,                                ,from Leg 145 SR; Ch 9; Table 3; p. 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
