Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Xanthiopyxis ovalis,Thalassiosira lentiginosa,Stephanopyxis turris turris,Sponge spicules,Paralia sulcata,Navicula sp.,Diploneis sp.,Achnanthes sp.,Nitzschia weaveri,Grammatophora sp.,Diatom fragments,Aulacosira granulata,Hyalodiscus sp.,Cavitatus lanceolatus,Xanthiopyxis sp.,Thalassiothrix longissima,Thalassiosira oestrupii,Thalassionema nitzschioides,Pleurosigma sp.,Nitzschia pseudokerguelenis,Nitzschia praeinterfrigidaria,Nitzschia panduriformis,Nitzschia kerguelenis,Nitzschia barronii,Hyalodiscus ?scotticus,Coscinodiscus radiatus,Chaetoceros spp. (resting spores),Actinoptychus senarius,Symbolophora sp.,Hemidiscus cuneiformis,Cocconeis sp.,Azpeitia tabularis,Stephanopyxis turris intermedia,Cyclotella striata,Thalassiosira leptopus,Rhizosolenia styliformis,Rhaphoneis surirelloides,Rhaphoneis amphiceros,Actinoptychus splendens,Actinocyclus ingens var. ovalis,Thalassiosira burckliana,Eunotia sp.,Thalassionema nitzschioides  var. parva,Proboscia alata,Coscinodiscus marginatus,Rhizosolenia hebetata f. hiemalis,Actinocyclus ingens var. planus,Nitzschia ritscherii,Navicula directa,Coscinodiscus asteromphalus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,16,H,8,60.00,150.8700,diatoms,Diatoms,A,,,,,C,,,R,T,,,,,,,,,,R,,,,C,R,F,R,,R,,,,,R,,R,,,R,,,,,,R,T,,,F,F,T,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,17,H,CC,39.00,160.9600,diatoms,Diatoms,C,,R,,T,C,,,T,,,,,,,,R,,,,,,,F,,,,R,R,R,,,,R,,F,,,A,,,,,,,,,,R,C,R,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,18,X,CC,34.00,169.3800,diatoms,Diatoms,A,,R,T,,C,R,,,T,,,,,,,R,R,,R,,,,C,R,,R,T,F,,,,,R,,T,,,C,R,R,,,,R,R,,T,F,F,R,R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,C,19,X,CC,42.00,176.2300,diatoms,Diatoms,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,
