Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilicus,Pontosphaera spp.,Helicosphaera sellii,Helicosphaera carteri,Discoaster asymmetricus,Dictyococcites productus,Coccolithus pelagicus,Calcidiscus leptoporus,Pseudoemiliania lacunosa,Helicosphaera ampliaperta,Cyclicargolithus floridanus,Triquetrorhabdulus rugosus,Syracosphaera pulchra,Reticulofenestra small-sized,Gephyrocapsa (small),Thoracosphaera spp.,Watznaueria barnesae,Dictyococcites bisectus,Gephyrocapsa medium-sized,Discoaster deflandrei,Gephyrocapsa large,Gephyrocapsa parallela,Braarudosphaera bigelowii,Sphenolithus heteromorphus,Reticulofenestra umbilica,Cyclicargolithus abisectus,Crenalithus sp.,Sphenolithus moriformis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Pleistocene,Pleistocene,,,181,1119,C,17,H,CC,39.00,160.9600,nannos,Nannofossils,A,G,,,,R,,,C,R,R,,R,,,A,C,,,,A,,,C,,,,,,,diatoms
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Pleistocene,Pleistocene,,,181,1119,C,18,X,CC,34.00,169.3800,nannos,Nannofossils,A,G,R,R,,C,,,C,F,F,,R,,,C,A,,,,,,,,,,,,,R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Pleistocene,Pleistocene,,,181,1119,C,19,X,CC,42.00,176.2300,nannos,Nannofossils,A,G,,,,C,,,A,,,,R,,,C,D,,,R,,,,,,,,R,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Pleistocene,Pleistocene,,,181,1119,C,20,X,CC,33.00,187.6900,nannos,Nannofossils,A,G,,,,R,,,R,,,,,,,C,D,,,R,,,,,,,,,C,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Pleistocene,Pleistocene,,,181,1119,C,21,X,CC,45.00,196.5200,nannos,Nannofossils,A,G,,,,F,,F,C,,R,,,R,,C,D,R,,R,,R,,,,,,,,,diatoms
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Pleistocene,Pleistocene,,,181,1119,C,22,X,CC,24.00,206.8300,nannos,Nannofossils,R,G,F,,,,,F,,F,,,,,,F,D,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Pleistocene,Pleistocene,,,181,1119,C,23,X,CC,37.00,217.1500,nannos,Nannofossils,F,M,,,,F,,C,C,,,,R,R,,C,A,,,,,,,,,R,R,R,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
