Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp. small,Reticulofenestra doronicoides,Pseudoemiliania lacunosa,Helicosphaera kamptneri,Discoaster variabilis,Discoaster triradiatus,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Discoaster asymmetricus,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Pontosphaera japonica,Helicosphaera sellii,Rhabdosphaera clavigera,Ceratolithus rugosus,Syracosphaera pulchra,Scyphosphaera pulcherrima,Rhabdosphaera stylifera,Gephyrocapsa caribbeanica,Gephyrocapsa spp.,Discoaster prepentaradiatus,Umbilicosphaera mirabilis,Pontosphaera syracusana,Syracosphaera histrica,Gephyrocapsa oceanica,Sphenolithus abies/neoabies,Reticulofenestra pseudoumbilica,Ceratolithus telesmus,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,108, 663,A,  1,H, 1, 109.00,      1.0900,Manivit  ,Nannofossils                                 ,A              ,G                 ,                           ,                             ,                        ,F                      ,                     ,                      ,                   ,                        ,                   ,                       ,                     ,                      ,F                     ,                     ,                    ,                       ,                    ,R                    ,                         ,C                      ,A                        ,A                ,                           ,                         ,                       ,                      ,A                    ,                           ,                               ,                     ,C                ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN15              ,              ,108, 663,A,  1,H, 2, 134.00,      2.8400,Manivit  ,Nannofossils                                 ,A              ,G                 ,                           ,                             ,                        ,F                      ,                     ,                      ,                   ,                        ,                   ,                       ,                     ,                      ,F                     ,R                    ,                    ,F                      ,                    ,F                    ,                         ,F                      ,A                        ,A                ,                           ,C                        ,R                      ,R                     ,A                    ,                           ,                               ,R                    ,F                ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,CN15          ,108, 663,A,  1,H, 3, 128.00,      4.2800,Manivit  ,Nannofossils                                 ,A              ,G                 ,                           ,C                            ,                        ,R                      ,                     ,                      ,                   ,                        ,                   ,                       ,                     ,                      ,F                     ,                     ,                    ,R                      ,                    ,R                    ,R                        ,                       ,A                        ,A                ,                           ,F                        ,                       ,                      ,A                    ,                           ,                               ,                     ,R                ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14b             ,              ,108, 663,A,  2,H,CC,   6.00,     14.1600,Manivit  ,Nannofossils                                 ,A              ,G                 ,                           ,A                            ,                        ,F                      ,                     ,                      ,                   ,                        ,                   ,                       ,                     ,                      ,R                     ,R                    ,                    ,R                      ,                    ,F                    ,                         ,R                      ,A                        ,A                ,                           ,F                        ,R                      ,                      ,A                    ,                           ,                               ,R                    ,                 ,from ODP Leg 108 SR Chapter 4 Table 9 p 53
