Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotalia inflata	Globorotalia crassaformis	Globigerina cf. bulloides	Neogloboquadrina pachyderma (sinistral)	Globigerinita glutinata	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Globorotalia crassula	Globigerina quinqueloba	Globorotalia scitula	Comment



  SR	                 	                 	G. inflata        	              	141	 863	B	  4	X	 2	  70.00	    328.1000	Spiegler 	Planktonic Foraminifers                      	               	M                 	F                   	                         	                         	R                                      	                       	                 	                                     	R                    	                       	                    	from ODP Leg 141 SR; Chapter 14; Table 11; p. 209

  SR	                 	                 	G. inflata        	              	141	 863	B	  4	X	 3	  52.00	    329.4200	Spiegler 	Planktonic Foraminifers                      	               	M                 	R                   	                         	R                        	                                       	                       	                 	R                                    	                     	R                      	R                   	from ODP Leg 141 SR; Chapter 14; Table 11; p. 209

  SR	                 	                 	G. inflata        	              	141	 863	B	  4	X	 5	  48.00	    332.3800	Spiegler 	Planktonic Foraminifers                      	               	P                 	                    	                         	                         	R                                      	                       	                 	R                                    	R                    	                       	                    	from ODP Leg 141 SR; Chapter 14; Table 11; p. 209

  SR	                 	                 	G. inflata        	              	141	 863	B	  4	X	CC	  39.00	    333.0300	Spiegler 	Planktonic Foraminifers                      	               	P                 	R                   	R                        	                         	R                                      	                       	                 	                                     	                     	                       	                    	from ODP Leg 141 SR; Chapter 14; Table 11; p. 209

  SR	                 	                 	G. inflata        	              	141	 863	B	  5	X	CC	  24.00	    335.8400	Spiegler 	Planktonic Foraminifers                      	               	P                 	                    	R                        	R                        	R                                      	                       	                 	                                     	                     	                       	                    	from ODP Leg 141 SR; Chapter 14; Table 11; p. 209

  SR	                 	                 	G. inflata        	              	141	 863	B	  6	X	CC	  43.00	    345.6300	Spiegler 	Planktonic Foraminifers                      	               	M                 	R                   	R                        	F                        	F                                      	                       	R                	                                     	                     	                       	                    	silicified specimens; from ODP Leg 141 SR; Chapter 14; Table 11; p. 209

  SR	                 	                 	G. inflata        	              	141	 863	B	  7	N	 1	  71.00	    355.6100	Spiegler 	Planktonic Foraminifers                      	               	M                 	F                   	                         	F                        	F                                      	R                      	                 	                                     	R                    	                       	                    	silicified specimens; from ODP Leg 141 SR; Chapter 14; Table 11; p. 209

  SR	                 	                 	G. inflata        	              	141	 863	B	  7	N	CC	   8.00	    357.3900	Spiegler 	Planktonic Foraminifers                      	               	P                 	                    	                         	                         	R                                      	                       	                 	                                     	                     	                       	                    	from ODP Leg 141 SR; Chapter 14; Table 11; p. 209

  SR	                 	                 	G. inflata        	              	141	 863	B	 10	R	 1	  45.00	    371.4500	Spiegler 	Planktonic Foraminifers                      	               	M                 	R                   	R                        	                         	                                       	                       	                 	                                     	                     	                       	                    	from ODP Leg 141 SR; Chapter 14; Table 11; p. 209

