Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globoturborotalita brazieri,Globoturborotalia sp. cf. G. labiacrassata,Globorotaloides suteri,Globigerina sp.,Catapsydrax unicavus,Catapsydrax dissimilis,Paragloborotalia semivera,Paragloborotalita incognita,Globoturborotalita sp.,Globorotalia praescitula,Globorotalia zealandica,Globoturborotalita woodi,Globorotalia miozea,Neogloboquadrina continuosa,Globorotalia scitula,Paragloborotalia siakensis,Globigerinita uvula,Globigerina bulloides,Neogloboquadrina sp.,Globoturorotalita sp. indet.,Neogloboquadrina pachyderma,Comment
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 10,H, 4,  32.00,     85.5200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,F                       ,                   ,                           ,                    ,                          ,                   ,R                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 10,H, 5,  32.00,     87.0200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,F                       ,                   ,                           ,                    ,                          ,                   ,R                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 10,H, 6,  32.00,     88.5200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,F                       ,                   ,                           ,                    ,                          ,                   ,R                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 10,H,CC,  13.00,     90.5100,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,R                       ,                   ,R                          ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 11,H, 1,  32.00,     90.5200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,R                       ,                   ,                           ,                    ,                          ,                   ,R                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 11,H, 2,  32.00,     92.0200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,R                       ,                   ,                           ,                    ,                          ,                   ,R                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 11,H, 5,  32.00,     96.5200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,R                       ,                   ,R                          ,F                   ,                          ,R                  ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 11,H, 6,  32.00,     98.0200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,F                       ,                   ,R                          ,C                   ,R                         ,F                  ,R                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 11,H, 7,  68.00,     99.8800,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,R                          ,F                   ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 12,H, 1,  32.00,    100.0200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,A                       ,                   ,                           ,R                   ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 12,H, 2,  32.00,    101.5200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,A                       ,                   ,                           ,R                   ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 12,H, 3,  32.00,    103.0200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,A                       ,                   ,                           ,R                   ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 12,H, 5,  32.00,    106.0200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,R                       ,                   ,                           ,R                   ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 12,H, 6,  32.00,    107.5200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,R                       ,                   ,R                          ,R                   ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 12,H, 7,  32.00,    109.0200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,R                       ,                       ,R                       ,                   ,R                          ,R                   ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 12,H,CC,  11.00,    109.3400,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,C                       ,                       ,R                       ,R                  ,R                          ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 13,H, 1,  32.00,    109.5200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,C                       ,                       ,F                       ,F                  ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 13,H, 2,  32.00,    111.0200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,C                       ,                       ,R                       ,F                  ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 13,H, 3,  32.00,    112.5200,Berggren ,Planktonic Foraminifers                      ,F              ,P/M               ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,R                       ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 13,H, 4,  32.00,    114.0200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,F                       ,                       ,R                       ,R                  ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 13,H, 5,  32.00,    115.5200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,C                       ,                       ,F                       ,R                  ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 13,H, 6,  32.00,    117.0200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,F                       ,                       ,C                       ,F                  ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 13,H,CC,  20.00,    119.1300,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,F                       ,                       ,C                       ,F                  ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 14,H, 1,  32.00,    119.0200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,C                       ,                       ,F                       ,R                  ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 14,H, 2,  32.00,    120.5200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,C                       ,                       ,C                       ,R                  ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 14,H, 3,  32.00,    122.0200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,C                       ,                       ,C                       ,R                  ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 14,H, 4,  32.00,    123.5200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,C                      ,C                       ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 14,H, 5,  32.00,    125.0200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,A                      ,F                       ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 15,H, 1,  32.00,    128.5200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,F                       ,A                      ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 15,H, 2,  32.00,    130.0200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,R                       ,A                      ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 15,H, 3,  32.00,    131.5200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,R                       ,A                      ,R                       ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 15,H, 4,  32.00,    133.0200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,A                       ,F                      ,F                       ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 15,H, 5,  32.00,    134.5200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,F                          ,A                                         ,R                     ,               ,                    ,                      ,                         ,                           ,                      ,F                       ,R                      ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 15,H, 6,  32.00,    136.0200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,F                          ,A                                         ,R                     ,               ,                    ,                      ,                         ,                           ,                      ,R                       ,F                      ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 15,H, 7,  32.00,    137.5200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,F                          ,A                                         ,R                     ,               ,                    ,                      ,                         ,                           ,                      ,R                       ,F                      ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 15,H,CC,  13.00,    137.8100,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,F                          ,A                                         ,R                     ,               ,                    ,                      ,                         ,                           ,                      ,R                       ,F                      ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 16,H, 2,  32.00,    139.5200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,A                     ,               ,                    ,                      ,                         ,                           ,                      ,A                       ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 16,H, 3,  32.00,    141.0200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,A                     ,               ,                    ,                      ,                         ,                           ,                      ,F                       ,F                      ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 16,H, 4,  32.00,    142.5200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,A                     ,               ,                    ,                      ,                         ,                           ,                      ,F                       ,R                      ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 16,H, 5,  32.00,    144.0200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,C                     ,               ,                    ,                      ,                         ,                           ,                      ,F                       ,R                      ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 16,H, 6,  32.00,    145.5200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,A                     ,               ,                    ,                      ,                         ,                           ,                      ,F                       ,R                      ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 16,H, 7,  32.00,    147.0200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,A                     ,               ,                    ,                      ,                         ,                           ,                      ,F                       ,R                      ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 16,H,CC,  17.00,    147.6700,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,A                     ,               ,                    ,                      ,                         ,                           ,                      ,F                       ,R                      ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 17,H, 1,  32.00,    147.5200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                                          ,C                     ,               ,                    ,                      ,R                        ,A                          ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 17,H, 2,  32.00,    149.0200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                                          ,F                     ,               ,                    ,                      ,R                        ,A                          ,F                     ,R                       ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 17,H, 3,  32.00,    150.5200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                                          ,F                     ,               ,                    ,                      ,R                        ,A                          ,F                     ,R                       ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 17,H, 4, 130.00,    153.0000,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,R                                         ,F                     ,               ,                    ,                      ,R                        ,A                          ,F                     ,R                       ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 17,H, 5,  32.00,    153.5200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,R                          ,R                                         ,F                     ,R              ,                    ,                      ,R                        ,A                          ,F                     ,R                       ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK3               ,              ,120, 751,A, 17,H, 6,  32.00,    155.0200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,R                          ,R                                         ,F                     ,R              ,                    ,R                     ,R                        ,A                          ,F                     ,R                       ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK2               ,              ,120, 751,A, 17,H, 7,  32.00,    156.5200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,R                          ,                                          ,R                     ,R              ,                    ,F                     ,F                        ,A                          ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK2               ,              ,120, 751,A, 17,H,CC,   8.00,    156.8600,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,R                          ,R                                         ,R                     ,R              ,R                   ,F                     ,F                        ,A                          ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK2               ,              ,120, 751,A, 18,H, 1,  32.00,    157.0200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,R                          ,R                                         ,R                     ,R              ,R                   ,F                     ,R                        ,A                          ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK2               ,              ,120, 751,A, 18,H, 2,  32.00,    158.5200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,R                          ,R                                         ,F                     ,R              ,R                   ,R                     ,R                        ,A                          ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,NK2               ,              ,120, 751,A, 18,H, 3,  32.00,    160.0200,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,F                          ,F                                         ,F                     ,R              ,R                   ,R                     ,R                        ,A                          ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
