Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globoturborotalita brazieri,Globoturborotalia sp. cf. G. labiacrassata,Globorotaloides suteri,Globigerina sp.,Catapsydrax unicavus,Catapsydrax dissimilis,Paragloborotalia semivera,Paragloborotalita incognita,Globoturborotalita sp.,Globorotalia praescitula,Globorotalia zealandica,Globoturborotalita woodi,Globorotalia miozea,Neogloboquadrina continuosa,Globorotalia scitula,Paragloborotalia siakensis,Globigerinita uvula,Globigerina bulloides,Neogloboquadrina sp.,Globoturorotalita sp. indet.,Neogloboquadrina pachyderma,Comment
  SR,Pliocene         ,                 ,NK7               ,              ,120, 751,A,  3,H, 3,  32.00,     17.5200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,A                          ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,NK7               ,              ,120, 751,A,  3,H, 4,  32.00,     19.0200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,A                          ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,NK7               ,              ,120, 751,A,  3,H, 5,  32.00,     20.5200,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,A                          ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,NK7               ,              ,120, 751,A,  3,H,CC,   9.00,     22.0100,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,                     ,                    ,                            ,A                          ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,NK7               ,              ,120, 751,A,  5,H, 6,  18.00,     40.8800,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,A                    ,                    ,                            ,F                          ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK7               ,              ,120, 751,A,  5,H,CC,   8.00,     41.4800,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,                    ,                          ,                   ,F                    ,                    ,                            ,A                          ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK7               ,              ,120, 751,A,  6,H, 1,  54.00,     43.2400,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,R                          ,R                   ,                          ,                   ,F                    ,                    ,                            ,C                          ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK7               ,              ,120, 751,A,  6,H, 2,  18.00,     44.3800,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,R                          ,R                   ,                          ,                   ,R                    ,                    ,                            ,C                          ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK6               ,              ,120, 751,A,  6,H, 3,  18.00,     45.8800,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,C                   ,                          ,                   ,C                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK6               ,              ,120, 751,A,  6,H, 4,  18.00,     47.3800,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,R                   ,                          ,                   ,A                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK6               ,              ,120, 751,A,  6,H, 5,  18.00,     48.8800,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,F                   ,                          ,                   ,A                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,NK6               ,              ,120, 751,A,  6,H, 6,  18.00,     50.3800,Berggren ,Planktonic Foraminifers                      ,A              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,                        ,                   ,                           ,F                   ,                          ,                   ,A                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
