Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira oestrupii	Stephanopyxis turris	Rhizosolenia barboi	Coscinodiscus marginatus	Thalassiothrix spp.	Thalassiothrix longissima	Thalassiosira antiqua	Neodenticula kamtschatica	Hemidiscus cuneiformis	Thalassionema robusta	Thalassionema nitzschioides	Paralia sulcata	Actinoptychus senarius	Thalassionema schraderi	Nitzschia reinholdii	Neodenticula koizumii	Thalassiosira convexa	Rhaphoneis sp.	Neodenticula seminae (sensu Akiba)	Neodenticula seminae	Thalassiosira sp.	Thalassiosira cf. T. convexa	Diatom fragments (girdle bands)	Comment



  IR	                 	                 	NPD 9             	              	167	1022	A	  1	H	CC	  12.00	      4.4700	Maruyama 	Diatoms                                      	R              	P                 	                       	+                   	+                  	                        	                   	                         	                     	                         	                      	                     	                           	               	                      	                       	                    	+                    	                     	              	                                  	                    	                 	                            	+                              	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 9             	              	167	1022	A	  2	H	CC	  24.00	     14.5300	Maruyama 	Diatoms                                      	A              	M/G               	                       	+                   	+                  	+                       	+                  	+                        	                     	                         	                      	                     	                           	               	                      	                       	                    	                     	                     	              	                                  	+                   	                 	+                           	                               	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 9             	              	167	1022	A	  3	H	CC	  23.00	     24.0000	Maruyama 	Diatoms                                      	A              	P/M               	                       	+                   	+                  	+                       	                   	+                        	                     	                         	                      	                     	                           	               	                      	                       	                    	+                    	                     	              	                                  	+                   	                 	                            	                               	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 9             	              	167	1022	A	  4	H	CC	  20.00	     33.3900	Maruyama 	Diatoms                                      	C              	P                 	                       	+                   	+                  	+                       	                   	+                        	                     	                         	                      	                     	                           	               	                      	                       	                    	+                    	                     	              	                                  	+                   	+                	                            	                               	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 9             	              	167	1022	A	  5	H	CC	  19.00	     42.9100	Maruyama 	Diatoms                                      	C              	M                 	                       	+                   	+                  	+                       	                   	                         	                     	+                        	                      	                     	+                          	               	                      	                       	                    	                     	+                    	              	+                                 	+                   	                 	                            	                               	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 9             	              	167	1022	A	  6	H	CC	  33.00	     52.3100	Maruyama 	Diatoms                                      	A              	M                 	                       	                    	+                  	+                       	+                  	+                        	                     	                         	                      	                     	                           	               	                      	                       	                    	+                    	+                    	              	+                                 	                    	                 	                            	                               	from IR. Ch 16. Table 6.

  IR	                 	                 	NPD 9             	              	167	1022	A	  7	H	CC	  13.00	     61.8000	Maruyama 	Diatoms                                      	A              	P/M               	                       	+                   	+                  	+                       	+                  	+                        	                     	                         	+                     	                     	                           	               	                      	                       	                    	                     	+                    	              	                                  	+                   	                 	                            	                               	from IR. Ch 16. Table 6.

