Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina woodi	Zeaglobigerina connecta	Globorotaloides suteri	Globoquadrina dehiscens	Globoconella praescitula	Globoconella panda	Globigerinoides trilobus	Globigerinoides sicanus	Globigerinoides ruber	Globigerina bulloides	Catapsydrax parvulus	Praeorbulina glomerosa	Sphaeroidinellopsis disjuncta	Praeorbulina transitoria	Orbulina universa	Orbulina bilobata	Globoconella miozea	Globigerinoides quadrilobatus	Globigerinita glutinata	Zeaglobigerina decoraperta	Jenkinsella mayeri	Globorotaloides variabilis	Globoquadrina venezuelana	Globoconella conoidea	Globigerinella obesa	Globigerina falconensis	Fohsella peripheroronda	Neogloboquadrina continuosa	Jenkinsella semivera	Globigerina quinqueloba	Sphaeroidinellopsis seminulina	Zeaglobigerina nepenthes	Neogloboquadrina pachyderma	Globorotalia scitula	Globorotalia pliozea	Globorotalia menardii	Globoconella conomiozea	Hastigerina pelagica	Globorotalia praemenardii	Sphaeroidinellopsis kochi	Globoconella sphericomiozea	Globigerinoides sacculifer	Globorotalia tumida	Globorotalia pseudomiocenica	Globigerinoides obliquus	Dentoglobigerina altispira	Globorotalia puncticulata	Globorotalia crassaformis	Globorotalia margaritae	Globorotalia inflata	Globorotalia crassula	Globorotalia crassaconica	Globoconella inflata	Globigerinoides conglobatus	Globigerinita parkerae	Neogloboquadrina dutertrei	Globigerinella siphonifera	Globorotalia truncatulinoides	Globorotalia tosaensis	Globigerinita uvula	Comment



  IR	                 	Pleistocene      	                  	Pt1b          	182	1126	C	  1	H	CC	   9.00	      8.4600	Li       	Planktonic Foraminifers                      	A              	VG                	                    	                       	                      	                       	                        	                  	P                       	                       	F                    	R                    	                    	                      	                             	                        	F                	                 	                   	                             	P                      	                          	                  	                          	                         	                     	                    	F                      	                       	                           	                    	F                      	                              	                        	F                          	F                   	                    	                     	                       	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	P                        	                       	F                   	                     	                         	F                   	                           	                      	                          	                          	F                            	                      	                   	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1126	C	  2	H	CC	   8.00	     17.9900	Li       	Planktonic Foraminifers                      	A              	VG                	                    	                       	                      	                       	                        	                  	P                       	                       	F                    	R                    	                    	                      	                             	                        	F                	                 	                   	                             	P                      	                          	                  	                          	                         	                     	P                   	R                      	                       	                           	                    	F                      	                              	                        	P                          	P                   	                    	                     	                       	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	P                        	                       	F                   	                     	                         	F                   	                           	                      	P                         	R                         	F                            	                      	P                  	       

  IR	                 	Pleistocene      	                  	Pt1a          	182	1126	C	  3	H	CC	  13.00	     27.2800	Li       	Planktonic Foraminifers                      	A              	VG                	                    	                       	                      	                       	                        	                  	P                       	                       	F                    	R                    	                    	                      	                             	                        	F                	                 	                   	                             	P                      	                          	                  	                          	                         	                     	P                   	R                      	                       	                           	                    	F                      	                              	                        	R                          	P                   	                    	                     	                       	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	P                        	                       	A                   	P                    	                         	A                   	                           	                      	P                         	P                         	A                            	P                     	                   	       

  IR	                 	Pleistocene      	                  	Pt1a          	182	1126	C	  4	H	CC	  13.00	     37.2300	Li       	Planktonic Foraminifers                      	A              	G                 	                    	                       	                      	                       	                        	                  	P                       	                       	F                    	R                    	                    	                      	                             	                        	F                	                 	                   	                             	                       	                          	                  	                          	                         	                     	P                   	F                      	                       	                           	                    	A                      	                              	                        	F                          	R                   	                    	                     	                       	                    	                         	                         	                           	                          	                   	                            	                        	                          	                         	R                        	                       	F                   	P                    	                         	F                   	                           	                      	                          	R                         	F                            	                      	                   	       
