Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudoemiliania lacunosa	Helicosphaera carteri	Gephyrocapsa spp. (>4 microns)	Calcidiscus leptoporus	Watznaueria barnesae	Prediscosphaera cretacea	Coccolithus pelagicus	Pontosphaera multipora	Eiffellithus turriseiffelii	Reticulofenestra bisecta	Prinsius dimorphosus	Arkhangelskiella cymbiformis	Emiliania huxleyi	Comment



  SR	Pleistocene      	                 	CN15              	              	152	 919	A	  1	H	 1	  67.00	      0.6700	Wei      	Nannofossils                                 	C              	G                 	                        	                     	R                             	R                     	                    	                        	                     	                      	                           	                        	                    	                            	C                	From Leg 152SR; Ch 11; Table 6; p. 155

  SR	Pleistocene      	                 	CN15              	              	152	 919	A	  1	H	 3	  67.00	      3.6700	Wei      	Nannofossils                                 	F              	P                 	                        	                     	                              	                      	                    	                        	R                    	                      	                           	                        	                    	                            	F                	From Leg 152SR; Ch 11; Table 6; p. 155

  SR	Pleistocene      	                 	CN15              	              	152	 919	A	  1	H	 5	  66.00	      6.6600	Wei      	Nannofossils                                 	R              	P                 	                        	                     	R                             	                      	r                   	r                       	                     	                      	                           	                        	                    	                            	R                	From Leg 152SR; Ch 11; Table 6; p. 155

  SR	Pleistocene      	                 	CN15              	              	152	 919	A	  2	H	 1	  66.00	      8.6600	Wei      	Nannofossils                                 	C              	M                 	                        	                     	R                             	                      	                    	                        	                     	                      	                           	                        	                    	                            	C                	From Leg 152SR; Ch 11; Table 6; p. 155

  SR	Pleistocene      	                 	CN15              	              	152	 919	A	  2	H	 3	  66.00	     11.6600	Wei      	Nannofossils                                 	A              	M                 	                        	R                    	R                             	                      	                    	                        	R                    	                      	                           	                        	                    	                            	A                	From Leg 152SR; Ch 11; Table 6; p. 155

  SR	Pleistocene      	                 	CN15              	              	152	 919	A	  2	H	CC	  10.00	     16.4500	Wei      	Nannofossils                                 	A              	M                 	                        	                     	A                             	R                     	                    	                        	R                    	                      	                           	                        	                    	                            	C                	From Leg 152SR; Ch 11; Table 6; p. 155

  SR	Pleistocene      	                 	CN15              	              	152	 919	A	  3	H	 1	  65.00	     18.1500	Wei      	Nannofossils                                 	A              	M                 	                        	                     	A                             	R                     	                    	                        	R                    	                      	                           	                        	                    	                            	C                	From Leg 152SR; Ch 11; Table 6; p. 155

  SR	Pleistocene      	                 	CN15              	              	152	 919	A	  3	H	 3	  65.00	     21.1500	Wei      	Nannofossils                                 	C              	M                 	                        	                     	C                             	                      	                    	                        	R                    	                      	                           	                        	                    	                            	F                	From Leg 152SR; Ch 11; Table 6; p. 155

  SR	Pleistocene      	                 	CN15              	              	152	 919	A	  3	H	 5	  64.00	     24.1400	Wei      	Nannofossils                                 	C              	M                 	                        	                     	C                             	R                     	                    	                        	R                    	                      	                           	                        	                    	                            	F                	From Leg 152SR; Ch 11; Table 6; p. 155

