Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rosalina peruviana	Quinqueloculina sp.	Nonionella miocenica	Nonionella auris	Buliminella elegantissima limbosa	Buccella peruviana	Bolivinellina humilis	Bolivina costata	Alexanderina viejoensis	Pseudoparrella subperuviana	Cancris inflatus	Hanzawaia nitidula	Buliminella subfusiformis	Bolivinellina pacifica	Fursenkoina glabra	Takayanagia delicata	Epistominella afueraensis	Cassidulina pulchella	Bolivinellina rankini	Bolivinellina foraminata	Suggrunda eckisi	Epistominella sp. cf. Pulvinulinella pacifica	Valvulineria peruensis	Globobulimina ovula	Fursenkoina sp.	Cancris carmenensis	Brizalina spissa	Bolivinellina seminuda	Planulina ornata	Cassidulina sp. aff. C. detierraensis	Buliminella curta var. basispinata	Bolivina plicata	Nonion sp.	Gyroidina rothwelli	Brizalina interjuncta bicostata	Brizalina interjuncta	Bolivinita minuta	Pullenia subcarinata	Planulina limbata	Globobulimina pacifica	Coryphostoma clippertonensis	Buliminella sp.	Nonionoides basispinatus	Cassidulina detierraensis	Valvulineria inaequalis	Uvigerina striata	Rutherfordoides cornuta	Pseudoparrella obesa	Globocassidulina crassa	Brizalina pseudobeyrichi	Angulogerina carinata	Comment



  SR	Quaternary       	                 	                  	              	112	 686	A	  1	H	 1	   0.00	      0.0000	Resig    	Benthic Foraminifers                         	               	                  	                  	                   	                    	                	                                 	                  	                     	                	                       	                           	1               	                  	1                        	                      	                  	                    	10                       	7                    	5                    	4                       	                	                                             	                      	                   	               	4                  	T               	T                     	                	                                     	                                  	6               	          	                   	                               	5                    	T                	1                   	T                	                      	                            	               	                        	                         	1                      	38               	T                      	T                   	6                      	T                       	8                    	count=424 from ODP Leg 112 SR Chapter 16 Table 5 p 273

  SR	Quaternary       	                 	                  	              	112	 686	A	  2	H	 3	  69.00	      8.7900	Resig    	Benthic Foraminifers                         	               	                  	                  	                   	                    	                	                                 	                  	                     	                	                       	                           	1               	                  	                         	                      	2                 	3                   	                         	1                    	85                   	                        	                	                                             	                      	                   	               	                   	                	                      	                	                                     	                                  	                	          	2                  	                               	                     	                 	                    	                 	                      	                            	               	1                       	5                        	                       	                 	                       	                    	                       	                        	                     	count=141 from ODP Leg 112 SR Chapter 16 Table 5 p 273

  SR	Quaternary       	                 	                  	              	112	 686	A	  2	H	 7	  36.00	     14.4600	Resig    	Benthic Foraminifers                         	               	                  	                  	                   	                    	                	                                 	                  	                     	1               	                       	                           	T               	                  	                         	                      	25                	10                  	                         	                     	20                   	                        	                	                                             	                      	2                  	               	T                  	T               	                      	T               	20                                   	1                                 	                	1         	4                  	                               	                     	3                	T                   	T                	T                     	T                           	T              	                        	                         	                       	                 	                       	                    	                       	                        	                     	count=497 from ODP Leg 112 SR Chapter 16 Table 5 p 273

  SR	Quaternary       	                 	                  	              	112	 686	A	  3	H	 1	 112.00	     15.7200	Resig    	Benthic Foraminifers                         	               	                  	                  	                   	                    	                	                                 	                  	50                   	2               	                       	                           	2               	                  	T                        	                      	7                 	7                   	                         	                     	                     	                        	                	                                             	                      	26                 	               	1                  	                	T                     	                	                                     	                                  	                	T         	T                  	13                             	2                    	1                	                    	                 	                      	                            	               	                        	                         	                       	                 	                       	                    	                       	                        	                     	count=283 from ODP Leg 112 SR Chapter 16 Table 5 p 273
