Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma	Globorotalia praepumilio	Globorotalia obesa	Globigerinita glutinata	Globigerina quinqueloba	Globigerina bulloides	Neogloboquadrina incompta	Neogloboquadrina dutertrei	Globorotalia tosaensis	Globorotalia theyeri	Globigerinita iota	Globigerina falconensis	Globorotalia inflata	Globorotalia crassaformis crassaformis	Globigerinoides ruber	Globigerina decoraperta	Hastigerinopsis riedeli	Globigerinita parkerae	Globigerina calida	Globorotalia pumilio	Globorotalia bermudezi	Orbulina universa	Neogloboquadrina eggeri	Globorotaloides hexagona	Globorotalia scitula	Globigerinita uvula	Comment



  SR	                 	                 	                  	              	112	 686	A	  8	H	CC	   0.00	     64.7000	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	A                          	                        	F                 	F                      	T                      	F                    	A                        	                          	                      	                    	F                 	                       	                    	                                      	                     	                       	                       	                      	                  	                    	                      	                 	                       	                        	T                   	                   	from ODP Leg 112 SR Chapter 15 Table 8 p 253

  SR	                 	                 	                  	              	112	 686	A	  9	X	CC	   0.00	     71.6100	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	T                          	                        	T                 	                       	T                      	T                    	T                        	                          	                      	                    	                  	                       	                    	                                      	                     	                       	                       	                      	                  	                    	                      	                 	                       	                        	                    	                   	from ODP Leg 112 SR Chapter 15 Table 8 p 253

  SR	                 	                 	                  	              	112	 686	A	 14	X	CC	   0.00	    113.1800	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	A                          	                        	C                 	T                      	                       	F                    	A                        	                          	                      	                    	T                 	                       	                    	                                      	                     	                       	                       	                      	                  	                    	                      	                 	                       	                        	                    	C                  	from ODP Leg 112 SR Chapter 15 Table 8 p 253

  SR	                 	                 	                  	              	112	 686	A	 16	X	CC	  29.00	    140.7300	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	A                          	                        	C                 	F                      	C                      	C                    	A                        	F                         	                      	                    	F                 	C                      	                    	T                                     	                     	                       	F                      	R                     	T                 	                    	T                     	R                	T                      	T                       	T                   	T                  	from ODP Leg 112 SR Chapter 15 Table 8 p 253

  SR	                 	                 	                  	              	112	 686	A	 17	X	CC	  10.00	    148.8000	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	T                          	                        	                  	                       	T                      	T                    	T                        	                          	                      	                    	                  	T                      	                    	                                      	                     	                       	                       	                      	T                 	                    	                      	                 	                       	                        	                    	                   	from ODP Leg 112 SR Chapter 15 Table 8 p 253

  SR	                 	                 	                  	              	112	 686	A	 18	X	CC	  40.00	    160.0800	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	A                          	                        	C                 	                       	A                      	A                    	A                        	T                         	                      	                    	C                 	                       	                    	T                                     	                     	                       	C                      	                      	T                 	C                   	T                     	                 	                       	                        	                    	                   	from ODP Leg 112 SR Chapter 15 Table 8 p 253

  SR	                 	                 	                  	              	112	 686	A	 19	X	CC	  10.00	    167.6700	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                           	                        	                  	T                      	T                      	A                    	T                        	                          	                      	                    	                  	                       	T                   	T                                     	                     	                       	                       	                      	T                 	                    	                      	                 	                       	                        	                    	                   	from ODP Leg 112 SR Chapter 15 Table 8 p 253

  SR	                 	                 	                  	              	112	 686	A	 20	X	CC	   7.00	    177.2300	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	C                          	                        	C                 	F                      	A                      	A                    	A                        	C                         	                      	                    	C                 	C                      	T                   	                                      	                     	                       	T                      	T                     	                  	                    	                      	                 	                       	                        	                    	                   	from ODP Leg 112 SR Chapter 15 Table 8 p 253

  SR	                 	                 	                  	              	112	 686	A	 21	X	CC	  13.00	    186.8100	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	C                          	                        	                  	C                      	C                      	A                    	C                        	                          	                      	                    	                  	C                      	T                   	T                                     	T                    	T                      	                       	                      	                  	                    	                      	                 	                       	                        	                    	                   	from ODP Leg 112 SR Chapter 15 Table 8 p 253

  SR	                 	                 	                  	              	112	 686	A	 22	X	CC	  11.00	    187.2100	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	A                          	                        	C                 	C                      	C                      	C                    	A                        	T                         	T                     	T                   	F                 	F                      	                    	                                      	                     	                       	                       	                      	                  	                    	                      	                 	                       	                        	                    	                   	from ODP Leg 112 SR Chapter 15 Table 8 p 253

  SR	                 	                 	                  	              	112	 686	A	 23	X	CC	   0.00	    204.6200	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	T                          	T                       	T                 	T                      	A                      	T                    	                         	                          	                      	                    	                  	                       	                    	                                      	                     	                       	                       	                      	                  	                    	                      	                 	                       	                        	                    	                   	from ODP Leg 112 SR Chapter 15 Table 8 p 253

