Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globoturborotalita woodi,Globorotaloides suteri,Globorotalia zealandica,Globorotalia praescitula,Globorotalia miozea,Globoquadrina dehiscens,Globigerinoides altiapertura,Globigerinita glutinata,Globigerinella praesiphonifera,Globigerina praebulloides,Catapsydrax dissimilis,Globorotalia panda,Globigerinoides trilobus,Globorotalia scitula,Globigerina bulloides,Praeorbulina curva,Orbulina suturalis,Globorotalia conoidea,Dentoglobigerina baroemoenensis,Praeorbulina transitoria,Praeorbulina sicana,Orbulina universa,Globorotalia juanai,Globigerinita parkerae,Globorotalia peripheroronda,Globorotalia miotumida,Globorotalia explicationis,Globigerinoides kennetti,Globigerinoides immaturus,Globigerina quinqueloba,Globigerina falconensis,Globigerina druryi,Tenuitella minutissima,Paragloborotalia mayeri,Paragloborotalia continuosa,Paragloborotalia nympha,Globoturborotalita apertura,Globigerinella obesa,Globoturborotalita decoraperta,Neogloboquadrina pachyderma (sinistral),Globigerinoides obliquus,Globorotalia puncticuloides,Globorotalia conomiozea,Neogloboquadrina humerosa,Globigerinella aequilateralis,Globorotalia puncticulata,Globorotalia pliozea,Globorotalia crassaformis,Globorotalia inflata,Globorotalia crassaconica,Globorotalia tosaensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,C,  1,H,CC,  12.00,      9.9400,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,                       ,                              ,                         ,                      ,                  ,                        ,+                   ,+                    ,                  ,                  ,                     ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,+                      ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,+                                      ,                        ,                           ,                       ,                         ,+                            ,                         ,                    ,+                        ,+                   ,+                        ,+                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,C,  2,H,CC,  25.00,     19.3000,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,                       ,                              ,                         ,                      ,                  ,                        ,+                   ,+                    ,                  ,                  ,                     ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,+                      ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,+                                      ,                        ,                           ,                       ,                         ,+                            ,                         ,                    ,+                        ,+                   ,+                        ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,C,  3,H,CC,  19.00,     28.4000,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,                       ,                              ,                         ,                      ,                  ,                        ,+                   ,+                    ,                  ,                  ,                     ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,+                      ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,+                                      ,                        ,                           ,                       ,                         ,+                            ,                         ,                    ,+                        ,+                   ,+                        ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,C,  4,H,CC,  16.00,     38.4500,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                        ,                      ,                       ,                        ,                   ,                       ,                            ,                       ,                              ,                         ,                      ,                  ,                        ,+                   ,+                    ,                  ,                  ,                     ,                               ,                        ,                   ,+                ,                   ,                      ,                           ,                      ,                          ,                        ,                         ,                       ,+                      ,                  ,                      ,                       ,                           ,                       ,                           ,                    ,                              ,+                                      ,                        ,                           ,                       ,                         ,+                            ,+                        ,                    ,+                        ,+                   ,+                        ,                      ,       
