Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata obliquiloculata	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina dutertrei	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia scitula	Globorotalia inflata	Globorotalia crassaformis viola	Globorotalia cf. Gr. hirsuta	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinita glutinata	Globigerinella aequilateralis	Globigerina rubescens	Globigerina falconensis	Globigerina calida praecalida	Globorotalia crassaformis hessi	Globorotalia crassaformis	Globigerinoides conglobatus	Globigerinella obesa	Globigerina bulloides	Neogloboquadrina humerosa	Globigerina quinqueloba	Neogloboquadrina pachyderma (sinistral)	Globigerinoides ruber (pink)	Globigerinoides tenellus	Orbulina bilobata	Globorotalia cultrata	Globigerina cariacoensis	Globorotalia tumida	Beella digitata	Hastigerina pelagica	Globorotalia hirsuta	Globorotalia flexuosa	Globigerina calida calida	Globigerina bermudezi	Globigerina apertura	Comment



  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  1	H	 1	   0.00	      0.0000	Brunner  	Planktonic Foraminifers                      	A              	G                 	R                                           	C                	C                                    	F                         	C                            	                      	C                   	C                   	                               	R                           	C                       	F                         	C                    	C                      	C                            	                     	C                      	C                            	                               	C                        	F                          	                    	C                    	                         	F                      	                                       	F                           	C                       	                 	                     	                        	                   	R              	F                   	F                   	                     	F                        	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  1	H	 1	   9.00	      0.0900	Brunner  	Planktonic Foraminifers                      	A              	G                 	F                                           	C                	C                                    	                          	C                            	                      	                    	C                   	                               	R                           	                        	C                         	C                    	C                      	C                            	F                    	C                      	R                            	                               	F                        	R                          	                    	F                    	                         	                       	                                       	R                           	C                       	R                	                     	                        	                   	               	                    	R                   	                     	R                        	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  1	H	 1	  65.00	      0.6500	Brunner  	Planktonic Foraminifers                      	A              	G                 	                                            	C                	C                                    	                          	C                            	                      	C                   	C                   	                               	                            	                        	R                         	C                    	C                      	C                            	F                    	C                      	R                            	                               	                         	                           	                    	R                    	                         	F                      	                                       	                            	                        	                 	                     	                        	                   	               	                    	                    	                     	R                        	                     	                    	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

  IR	Pleistocene      	                 	Pt1b              	              	157	 954	A	  1	H	CC	  19.00	      1.0500	Brunner  	Planktonic Foraminifers                      	A              	G                 	                                            	C                	C                                    	                          	C                            	                      	F                   	A                   	                               	                            	                        	                          	C                    	C                      	C                            	C                    	F                      	C                            	                               	                         	                           	                    	F                    	F                        	R                      	                                       	R                           	                        	                 	                     	                        	                   	R              	R                   	                    	                     	R                        	R                    	C                   	unpublished shipboard data by Brunner(2065) and Maniscalco(5180)

