Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globoquadrina dehiscens,Globigerinoides trilobus,Orbulina universa,Globigerinita juvenilis,Globigerinita glutinata,Globigerina falconensis,Globorotaloides suteri,Globigerina bulloides,Zeaglobigerina woodi,Zeaglobigerina decoraperta,Globoconella conoidea,Catapsydrax parvulus,Neogloboquadrina nympha,Neogloboquadrina continuosa,Globorotalia praemenardii,Globorotalia plesiotumida,Globorotalia menardii,Globoquadrina venezuelana,Globoconella panda,Globoconella conomiozea,Globigerinoides sacculifer,Globigerinoides quadrilobatus,Globigerinella siphonifera,Fohsella peripheroronda,Orbulina suturalis,Globorotalia scitula,Globorotalia inflata,Globorotalia crassaformis,Globigerinoides ruber,Neogloboquadrina pachyderma (dextral),Globorotalia tosaensis,Globigerinoides conglobatus,Sphaeroidinella dehiscens,Globorotalia truncatulinoides,Globigerina quinqueloba,Neogloboquadrina humerosa,Globorotalia sp. cf. tosaensis,Globorotalia hirsuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,Pt1b          ,182,1133,B,  1,H,CC,  12.00,      2.3700,Li       ,Planktonic Foraminifers                      ,A              ,G                 ,                       ,                        ,P                ,                       ,P                      ,                       ,                      ,F                    ,                    ,                          ,                     ,                    ,                       ,                           ,                         ,                         ,                     ,                         ,                  ,                       ,                          ,                             ,                          ,                       ,                  ,                    ,A                   ,                         ,A                    ,F                                    ,                      ,                           ,                         ,F                            ,                       ,                         ,P                             ,P                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,Pt1a          ,182,1133,B,  2,H,CC,   6.00,     11.8000,Li       ,Planktonic Foraminifers                      ,A              ,G                 ,                       ,                        ,P                ,                       ,                       ,F                      ,                      ,F                    ,                    ,                          ,                     ,                    ,                       ,                           ,                         ,                         ,                     ,                         ,                  ,                       ,                          ,                             ,P                         ,                       ,                  ,P                   ,A                   ,R                        ,F                    ,F                                    ,                      ,P                          ,                         ,                             ,                       ,P                        ,                              ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,                  ,              ,182,1133,B,  3,H, 3,  47.00,     15.3700,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                       ,                        ,F                ,                       ,                       ,F                      ,                      ,F                    ,                    ,                          ,                     ,                    ,                       ,                           ,                         ,                         ,                     ,                         ,                  ,                       ,R                         ,                             ,P                         ,                       ,                  ,P                   ,A                   ,F                        ,F                    ,F                                    ,                      ,P                          ,                         ,                             ,F                      ,                         ,                              ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,Pt1a          ,182,1133,B,  3,H,CC,  13.00,     21.3300,Li       ,Planktonic Foraminifers                      ,A              ,M                 ,                       ,                        ,P                ,                       ,                       ,                       ,                      ,                     ,                    ,                          ,                     ,                    ,                       ,                           ,                         ,                         ,                     ,                         ,                  ,                       ,                          ,                             ,P                         ,                       ,                  ,P                   ,A                   ,R                        ,F                    ,                                     ,P                     ,                           ,P                        ,P                            ,                       ,                         ,                              ,                    ,"frosted forams, glauconite"
