Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Sphenolithus heteromorphus,Pontosphaera pachymorpha,Helicosphaera carteri,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Calcidiscus leptoporus,Helicosphaera euphratis,Discoaster deflandrei,Cyclicargolithus abisectus,Coccolithus eopelagicus,Braarudosphaera bigelowii,Dictyococcites antarcticus,Reticulofenestra minutula,Helicosphaera perch-nielseniae,Sphenolithus abies,Umbilicosphaera sibogae,Rhabdosphaera procera,Reticulofenestra pseudoumbilicus,Discoaster variabilis,Coccolithus pelagicus,Calcidiscus macintyrei,Dictyococcites bisectus,Syracosphaera pulchra,Helicosphaera kamptneri,Discoaster brouweri,Scapholithus fossilis,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Helicosphaera sellii,Hayaster perplexus,Gephyrocapsa aperta,Scyphosphaera spp.,Gephyrocapsa caribbeanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN19          ,182,1133,B,  4,H, 1,  62.00,     22.0200,Ladner   ,Nannofossils                                 ,A              ,M                 ,                       ,                          ,                        ,                     ,                           ,                         ,                      ,                       ,                     ,                          ,                       ,                         ,                          ,                         ,                              ,                  ,                       ,                     ,                                ,                     ,F                    ,F                     ,                       ,C                    ,                       ,                   ,R                    ,C                      ,R                       ,F                   ,R                 ,C                  ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Miocene          ,                  ,              ,182,1133,B,  4,H,CC,  11.00,     31.3600,Ladner   ,Nannofossils                                 ,A              ,P                 ,C                      ,                          ,                        ,                     ,                           ,                         ,                      ,                       ,                     ,                          ,                       ,                         ,                          ,                         ,                              ,                  ,C                      ,F                    ,                                ,                     ,                     ,                      ,C                      ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Miocene          ,                  ,              ,182,1133,B,  5,H,CC,   8.00,     38.5400,Ladner   ,Nannofossils                                 ,A              ,P                 ,C                      ,                          ,                        ,                     ,                           ,                         ,                      ,R                      ,                     ,F                         ,                       ,R                        ,                          ,                         ,F                             ,                  ,C                      ,                     ,                                ,F                    ,C                    ,F                     ,C                      ,F                    ,F                      ,R                  ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Miocene          ,                  ,              ,182,1133,B,  6,H,CC,  26.00,     40.6600,Ladner   ,Nannofossils                                 ,A              ,P                 ,F                      ,                          ,                        ,                     ,                           ,                         ,                      ,                       ,                     ,                          ,                       ,R                        ,                          ,                         ,                              ,                  ,                       ,                     ,                                ,R                    ,                     ,C                     ,C                      ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Miocene          ,                  ,              ,182,1133,B,  7,H,CC,  12.00,     50.7200,Ladner   ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,                        ,                     ,                           ,                         ,                      ,R                      ,                     ,                          ,                       ,                         ,                          ,                         ,                              ,                  ,                       ,                     ,                                ,                     ,F                    ,F                     ,F                      ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Middle Miocene   ,NN4               ,NN5           ,182,1133,B,  8,X,CC,  14.00,     55.9100,Shafik   ,Nannofossils                                 ,C              ,M                 ,C                      ,R                         ,R                       ,R                    ,C                          ,C                        ,C                     ,                       ,                     ,C                         ,                       ,R                        ,C                         ,                         ,                              ,                  ,C                      ,F                    ,C                               ,R                    ,F                    ,F                     ,                       ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1133,B,  9,X,CC,   0.00,     56.1000,Shafik   ,Nannofossils                                 ,T              ,M                 ,                       ,                          ,                        ,                     ,                           ,                         ,                      ,                       ,                     ,R                         ,                       ,                         ,                          ,                         ,                              ,                  ,                       ,                     ,                                ,                     ,                     ,                      ,                       ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN4               ,NN5           ,182,1133,B, 11,X,CC,   9.00,     72.3900,Shafik   ,Nannofossils                                 ,C              ,M                 ,F                      ,C                         ,R                       ,R                    ,C                          ,F                        ,R                     ,R                      ,                     ,C                         ,                       ,R                        ,C                         ,                         ,                              ,F                 ,                       ,                     ,                                ,                     ,                     ,                      ,                       ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,Reworked Z. bijugatus & C. altus.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1133,B, 12,X,CC,   0.00,     75.3000,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,C                         ,                        ,                     ,C                          ,F                        ,                      ,R                      ,                     ,C                         ,                       ,                         ,C                         ,C                        ,R                             ,                  ,                       ,                     ,                                ,                     ,                     ,                      ,                       ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1133,B, 13,X,CC,  32.00,     86.3500,Shafik   ,Nannofossils                                 ,C              ,P                 ,C                      ,R                         ,                        ,R                    ,C                          ,F                        ,                      ,                       ,                     ,C                         ,                       ,                         ,C                         ,                         ,                              ,                  ,                       ,                     ,                                ,                     ,                     ,                      ,                       ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1133,B, 14,X,CC,  10.00,     94.6000,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,C                         ,                        ,F                    ,C                          ,F                        ,                      ,                       ,                     ,C                         ,                       ,                         ,                          ,                         ,                              ,                  ,                       ,                     ,                                ,                     ,                     ,                      ,                       ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1133,B, 15,X,CC,  16.00,    104.2600,Shafik   ,Nannofossils                                 ,R              ,P                 ,                       ,F                         ,                        ,                     ,F                          ,                         ,                      ,                       ,                     ,F                         ,                       ,                         ,                          ,                         ,                              ,                  ,                       ,                     ,                                ,                     ,                     ,                      ,                       ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1133,B, 16,X,CC,  18.00,    113.8800,Shafik   ,Nannofossils                                 ,C              ,M                 ,C                      ,C                         ,R                       ,F                    ,C                          ,F                        ,R                     ,R                      ,                     ,                          ,R                      ,                         ,                          ,                         ,                              ,                  ,                       ,                     ,                                ,                     ,                     ,                      ,                       ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1133,B, 17,X,CC,  53.00,    123.8300,Shafik   ,Nannofossils                                 ,C              ,M                 ,C                      ,C                         ,F                       ,C                    ,C                          ,F                        ,R                     ,R                      ,R                    ,F                         ,R                      ,R                        ,                          ,                         ,                              ,                  ,                       ,                     ,                                ,                     ,                     ,                      ,                       ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Middle Miocene   ,                  ,              ,182,1133,B, 18,X,CC,  30.00,    133.2000,Shafik   ,Nannofossils                                 ,R              ,P                 ,                       ,                          ,                        ,F                    ,F                          ,                         ,                      ,                       ,                     ,                          ,                       ,                         ,                          ,                         ,                              ,                  ,                       ,                     ,                                ,                     ,                     ,                      ,                       ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN4               ,NN5           ,182,1133,B, 19,X,CC,   6.00,    142.5600,Shafik   ,Nannofossils                                 ,C              ,P                 ,C                      ,C                         ,F                       ,R                    ,C                          ,F                        ,R                     ,                       ,                     ,                          ,                       ,                         ,                          ,                         ,                              ,                  ,                       ,                     ,                                ,                     ,                     ,                      ,                       ,                     ,                       ,                   ,                     ,                       ,                        ,                    ,                  ,                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
