Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira fraga	Synedra jouseana	Rhizosolenia praebarboi	Nitzschia maleinterpretaria	Coscinodiscus marginatus	Azpeitia praenodulifera	Asteromphalus kennettii	Crucidenticula nicobarica	Crucidenticula kanayae	Azpeitia endoi/tabularis	Raphidodiscus marylandicus	Coscinodiscus lewisianus	Nitzschia grossepunctata	Denticulopsis punctata	Denticulopsis maccollumii	Denticulopsis lauta	Azpeitia salisburyana	Actinocyclus ingens	Denticulopsis hyalina	Actinocyclus ingens  var. nodus	Rhizosolenia hebetata	Nitzschia donahuensis	Nitzschia denticuloides	Denticulopsis hustedtii	Denticulopsis praedimorpha	Denticulopsis dimorpha	Rhizosolenia barboi	Actinocyclus fryxellae	Rouxia californica	Hemidiscus cuneiformis	Eucampia antarctica	Denticulopsis hustedtii var. ovata	Hemidiscus karstenii	Denticulopsis dimorpha var. areolata	Nitzschia porteri	Cosmiodiscus insignis	Thalassiosira torokina	Thalassiosira oliverana	Thalassiosira miocenica	Thalassiosira convexa	Nitzschia cylindrus	Thalassiosira praeconvexa	Rouxia naviculoides	Nitzschia marina	Nitzschia reinholdii	Nitzschia praeinterfrigidaria	Nitzschia barronii	Nitzschia weaveri	Nitzschia interfrigidaria	Nitzschia fossilis	Thalassiosira oestrupii	Azpeitia nodulifer	Thalassiosira kolbei	Thalassiosira inura	Rouxia antarctica	Coscinodiscus vulnificus	Coscinodiscus elliptopora	Thalassiosira lentiginosa	Nitzschia kerguelenis	Diatoms (unspecified pennate taxa)	Diatoms (unspecified centric taxa)	Chaetoceros spp. (resting spores)	Actinocyclus actinochilus	Comment



  SR	                 	                 	                  	              	119	 744	B	  1	H	 1	   1.00	      0.0100	Stockwell	Diatoms                                      	               	                  	                   	                	                       	                           	                        	                       	                       	                         	                      	                        	                          	                        	                        	                      	                         	                   	                     	                   	                     	                               	                     	                     	                       	                       	                          	                      	                   	                      	                  	                      	                   	                                  	                    	                                    	                 	                     	                      	                       	                       	                     	                   	                         	                   	                	                    	                             	                  	                 	                         	                  	                       	                  	                    	                   	                 	                        	                         	                         	                     	41199                             	6707                              	319                              	                         	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 744	B	  1	H	 1	   8.00	      0.0800	Baldauf  	Diatoms                                      	A              	G                 	                   	                	                       	                           	                        	                       	                       	                         	                      	F                       	                          	                        	                        	                      	                         	                   	                     	                   	                     	                               	                     	                     	                       	                       	                          	                      	                   	                      	                  	                      	C                  	                                  	                    	                                    	                 	                     	                      	F                      	                       	                     	                   	                         	                   	                	                    	                             	F                 	                 	                         	                  	                       	                  	                    	F                  	                 	                        	                         	C                        	A                    	                                  	                                  	                                 	F                        	from 119 SR Chapter 29 Table 8 pages 570 - 572.

  SR	                 	                 	                  	              	119	 744	B	  1	H	 1	  40.00	      0.4000	Stockwell	Diatoms                                      	               	                  	                   	                	                       	                           	                        	                       	                       	                         	                      	                        	                          	                        	                        	                      	                         	                   	                     	                   	                     	                               	                     	                     	                       	                       	                          	                      	                   	                      	                  	                      	                   	                                  	                    	                                    	                 	                     	                      	                       	                       	                     	                   	                         	                   	                	                    	                             	                  	                 	                         	                  	                       	                  	                    	                   	                 	                        	                         	                         	                     	16210                             	2581                              	206                              	                         	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 744	B	  1	H	 1	  90.00	      0.9000	Stockwell	Diatoms                                      	               	                  	                   	                	                       	                           	                        	                       	                       	                         	                      	                        	                          	                        	                        	                      	                         	                   	                     	                   	                     	                               	                     	                     	                       	                       	                          	                      	                   	                      	                  	                      	                   	                                  	                    	                                    	                 	                     	                      	                       	                       	                     	                   	                         	                   	                	                    	                             	                  	                 	                         	                  	                       	                  	                    	                   	                 	                        	                         	                         	                     	36564                             	3199                              	457                              	                         	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.
