Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeugrhabdotus embergeri,Watznaueria barnesae,Tetrapodorhabdus decorus,Rhagodiscus asper,Nannoconus steinmannii,Nannoconus bucheri,Microstaurus chiastius,Micrantholithus obtusus,Manivitella pemmatoidea,Lithraphidites carniolensis carniolensis,Diazomatolithus lehmanii,Cyclagelosphaera deflandrei,Cretarhabdus angustiforatus,Braarudosphaera regularis,Biscutum constans,Watznaueria britannica,Tegumentum stradneri,Rhagodiscus angustus,Nannoconus truitti,Micrantholithus hoschulzii,Hayesites bulbus,Eprolithus floralis,Radiolithus planus,Braarudosphaera batilliformis,Rucinolithus irregularis,Flabellites oblongus,Chiastozygus platyrhethus,Assipetra infracretacea,Watznaueria supracretacea,Vekshinella stradnerii,Stoverius achylosus,Parhabdolithus embergeri,Nannoconus truitti ssp rectangularis,Haqius circumradiatus,Nannoconus abundans,Braarudosphaera hockwoldensis,Gephyrorhabdus coronadventis,Braarudosphaera africana,Radiolithus orbiculatus,Prediscosphaera columnata,Parhabdolithus infinitus,Hayesites albiensis,Axopodorhabdus dietzmannii,Prediscosphaera spinosa,Watznaueria biporta,Vagalapilla matalosa,Tranolithus gabalus,Rotelapillus laffittei,Placozygus sigmoides,Parhabdolithus achylostaurion,Lithraphidites pseudoquadratus,Glaukolithus compactus,Discorhabdus ignotus,Cribrosphaerella ehrenbergii,Cretarhabdus conicus,Quadrum eneabrachium,Cretarhabdus loriei,Glaukolithus diplogrammus,Quadrum trifidum,Eiffellithus eximius,Aspidolithus parcus constrictus,Zeugrhabdotus pseudanthophorus,Zeugrhabdotus obliqueclausus,Stradneria crenulata,Retemediaformis sp. 1,Retecapsa angustiforata,Prediscosphaera intercisa,Prediscosphaera cretacea,Placozygus fibuliformis,Neocrepidolithus cohenii,Micula decussata,Microrhabdulus decoratus,Microrhabdulus attenuatus,Lithraphidites praequadratus,Gartnerago obliquum,Chiastozygus litterarius,Ceratolithoides aculeus,Braarudosphaera bigelowii,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Reinhardtites levis,Prediscosphaera grandis,Eiffellithus turriseiffelii,Tranolithus phacelosus,Micula prinsii,Micula murus,Lithraphidites quadratus,Ceratolithoides kamptneri,Aspidolithus parcus parcus,Cylindralithus gallicus,Lithraphidites kennethii,Tranolithus minimus,Microrhabdulus undosus,Rhagodiscus splendens,Prediscosphaera stoveri,Cribrocorona gallica,Ahmuellerella regularis,Thoracosphaera spp.,Microrhabdulus belgicus,Eiffellithus parallelus,Rotelapillus crenulatus,Markalius inversus,Lithraphidites grossopectinatus,Eiffellithus gorkae,Toweius petalosus,Octolithus multiplus,Ericsonia subpertusa,Cyclagelosphaera reinhardtii,Cruciplacolithus primus (small),Cruciplacolithus edwardsii,Biscutum parvulum,Goniolithus fluckigeri,Cyclagelosphaera margerelii,Neochiastozygus primitivus,Ericsonia robusta,Cruciplacolithus primus (large),Thoracosphaera operculata,Prinsius petalosus,Lanternithus duocavus,Cruciplacolithus primus,Cruciplacolithus tenuis,Chiasmolithus danicus,Prinsius dimorphosus,Neocrepidolithus cruciatus,Neochiastozygus modestus,Neochiastozygus imbriei,Micrantholithus pinguis,Hornibrookina teuriensis,Ericsonia cava,Neocrepidolithus neocrassus,Ellipsolithus macellus,Sphenolithus primus,Ellipsolithus bollii,Chiasmolithus edwardsii,Heliolithus kleinpellii,Discoaster mohleri,Discoaster bramlettei,Zygrhablithus bijugatus,Tribrachiatus orthostylus,Discoaster salisburgensis,Sphenolithus conspicuus,Discoaster robustus,Sphenolithus orphanknollensis,Lophodolithus nascens,Discoaster lodoensis,Discoaster anartios,Sphenolithus radians,Sphenolithus moriformis,Ellipsolithus lajollaensis,Discoaster barbadiensis,Chiphragmalithus barbatus,Chiasmolithus consuetus,Campylosphaera dela,Toweius crassus,Discoaster kuepperi,Chiasmolithus expansus,Discoaster cruciformis,Toweius gammation,Discoaster sublodoensis,Chiasmolithus grandis,Toweius callosus,Rhabdosphaera tenuis,Reticulofenestra dictyoda,Pseudotriquetrorhabdulus inversus,Markalius apertus,Lophodolithus mochlophorus,Ericsonia formosa,Discoaster gemmifer,Coronocyclus prionion,Sphenolithus spiniger,Neococcolithes dubius,Rhabdosphaera inflata,Pemma papillatum,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus solitus,Sphenolithus furcatolithoides,Neococcolithes minutus,Chiasmolithus gigas,Pedinocyclus larvalis,Braarudosphaera discula,Discoaster nodifer,Ericsonia obruta,Sphenolithus elongatus,Helicosphaera lophota,Discoaster wemmelensis,Discoaster tanii,Discoaster saipanensis,Sphenolithus stellatus,Discoaster strictus,Cruciplacolithus vanheckae,Cribrocentrum reticulatum,Discoaster praebifax,Sphenolithus obtusus,Reticulofenestra umbilica,Discoaster bifax,Cyclicargolithus floridanus,Chiasmolithus nitidus,Pseudoemiliania lacunosa,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN13              ,CN14          ,,171,1049,A,  2,X, 1,   0.00,      9.3000,Watkins  ,Nannofossils                                 ,R              ,VG                ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,                         ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,                      ,                      ,                 ,                       ,                     ,                ,                    ,                         ,                                 ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,                     ,                       ,                     ,                             ,                      ,                   ,                     ,                       ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,                         ,                ,                           ,                     ,+                       ,+                    ,+                        ,+                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14a         ,,171,1049,A,  3,H, 1,  65.00,     21.2500,Self-Trail,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,+                        ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,                  ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,+                      ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,                    ,                       ,                          ,                       ,                         ,                       ,                   ,               ,                   ,+                     ,                      ,                 ,                       ,+                    ,                ,                    ,+                        ,+                                ,                 ,                          ,                 ,                   ,                     ,                     ,                     ,                     ,                ,+                    ,                       ,+                    ,+                            ,                      ,                   ,+                    ,                       ,                  ,                ,                      ,                     ,                      ,                ,+                     ,                      ,                   ,                          ,                         ,                    ,                    ,+                        ,+               ,                           ,                     ,                        ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14a         ,,171,1049,A,  3,H, 2,  65.00,     22.7500,Self-Trail,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,F                        ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,R                 ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,                       ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,F                   ,                       ,                          ,                       ,                         ,                       ,R                  ,               ,                   ,                      ,                      ,                 ,                       ,F                    ,                ,                    ,C                        ,F                                ,                 ,                          ,                 ,                   ,                     ,F                    ,                     ,                     ,R               ,C                    ,                       ,R                    ,C                            ,                      ,                   ,R                    ,                       ,                  ,                ,                      ,                     ,                      ,F               ,                      ,                      ,                   ,                          ,                         ,                    ,                    ,R                        ,F               ,                           ,                     ,                        ,                     ,                         ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14a         ,,171,1049,A,  3,H,CC,  20.00,     30.6000,Self-Trail,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                        ,                 ,                      ,                  ,                      ,                       ,                       ,                                        ,                        ,                           ,                           ,                         ,                 ,                      ,                    ,                    ,                  ,                          ,                ,                   ,                  ,                             ,                        ,                    ,                         ,                       ,                         ,                      ,                   ,                        ,                                    ,                     ,                   ,                             ,                            ,                        ,                       ,                         ,                        ,                   ,                          ,                       ,                   ,                    ,                   ,                      ,                    ,                             ,                              ,                      ,                    ,                            ,                    ,                    ,                   ,                         ,                ,                    ,                               ,                              ,                            ,                    ,                     ,                       ,                         ,                        ,                       ,                        ,                ,                        ,                         ,                            ,                   ,                        ,                       ,+                        ,                           ,                            ,                   ,                       ,                           ,                      ,              ,            ,                        ,                         ,                          ,                       ,                        ,                   ,                      ,                     ,                       ,                    ,                       ,                   ,                       ,                       ,                       ,+                 ,                               ,                   ,                 ,                    ,                    ,                            ,                               ,                          ,                 ,                      ,                           ,                          ,                 ,                               ,                         ,                  ,                     ,                       ,                       ,                     ,                    ,                          ,                        ,                       ,                       ,                        ,              ,                           ,                      ,                   ,                    ,                       ,                       ,                  ,                     ,+                      ,                         ,                         ,                       ,                   ,                             ,                     ,                    ,                   ,C                   ,C                      ,                          ,+                      ,                         ,                       ,F                  ,               ,                   ,+                     ,                      ,                 ,                       ,                     ,                ,                    ,                         ,C                                ,F                ,                          ,A                ,                   ,+                    ,C                    ,                     ,                     ,F               ,+                    ,                       ,                     ,C                            ,                      ,                   ,F                    ,F                      ,                  ,                ,                      ,                     ,                      ,                ,                      ,                      ,+                  ,                          ,                         ,                    ,                    ,C                        ,+               ,+                          ,F                    ,                        ,                     ,                         ,                      ,       
