Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera coronata coronata,Podocyrtis acalles,Buryella clinata,Thyrsocyrtis tarsipes,Thyrsocyrtis hirsuta,Theocotyle nigriniae,Spongatractus balbis,Podocyrtis diamesa,Phormocyrtis striata striata,Lychnocanoma bellum,Dictyopora urceolus,Calocycloma castum,Thyrsocyrtis tensa,Theocotyle venezuelensis,Podocyrtis sinuosa,Podocyrtis papalis,Lithocyclia ocellus,Calocyclas hispida,Thyrsocyrtis rhizodon,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Spongatractus pachystylus,Eusyringium lagena,Eusyringium fistuligerum,Podocyrtis  ampla,Podocyrtis trachodes,Theocotylissa ficus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,P. ampla      ,,171,1049,A,  3,H,CC,  20.00,     30.6000,Blome    ,Radiolarians                                 ,               ,VG                ,                              ,                  ,                ,                     ,                    ,                    ,                    ,                  ,R                           ,                   ,                   ,                  ,                  ,                        ,                  ,A                 ,                   ,C                 ,A                    ,F                      ,                       ,F                        ,                  ,A0                      ,                 ,                    ,F                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. tricantha  ,,171,1049,A,  4,H,CC,  26.00,     40.0900,Blome    ,Radiolarians                                 ,               ,G                 ,                              ,                  ,                ,                     ,F                   ,                    ,                    ,                  ,C                           ,                   ,                   ,                  ,                  ,                        ,C                 ,F                 ,                   ,                  ,F                    ,C                      ,C                      ,F                        ,                  ,                        ,F                ,F                   ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,T. tricantha  ,,171,1049,A,  5,H,CC,  23.00,     49.5600,Blome    ,Radiolarians                                 ,C              ,G                 ,                              ,                  ,                ,                     ,                    ,                    ,                    ,C                 ,C                           ,F                  ,                   ,                  ,                  ,                        ,F                 ,C                 ,F                  ,                  ,F                    ,C                      ,C                      ,C                        ,C                 ,R                       ,                 ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Paleocene        ,Middle Eocene    ,                  ,              ,,171,1049,A,  7,H,CC,  30.00,     60.0400,Blome    ,Radiolarians                                 ,               ,M                 ,                              ,                  ,                ,                     ,                    ,                    ,                    ,                  ,R                           ,                   ,                   ,                  ,                  ,                        ,R                 ,                  ,                   ,                  ,R                    ,R                      ,                       ,                         ,                  ,                        ,                 ,                    ,                   ,"Very few radiolarians visible in strewn slides, most broke n and diluted with abundant siliceous sediments"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
