Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus dissimilis,Ilselithina fusa,Discoaster deflandrei,Cyclicargolithus floridanus,Coccolithus pelagicus,Calcidiscus tropicus,Sphenolithus moriformis,Sphenolithus delphix,Sphenolithus conicus,Sphenolithus capricornutus,Helicosphaera perch-nielseniae,Helicosphaera carteri,Coronocyclus nitescens,Discoaster adamanteus,Helicosphaera gertae,Cyclicargolithus abisectus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,                  ,              ,192,1184,A,  2,R,CC,   0.00,    138.2500,Bergen   ,Nannofossils                                 ,C              ,M                 ,+                      ,                ,+                    ,+                          ,+                    ,                    ,+                      ,+                   ,+                   ,                          ,                              ,+                    ,+                     ,                     ,                    ,+                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,                  ,              ,192,1184,A,  3,R,CC,  14.00,    151.9100,Bergen   ,Nannofossils                                 ,C              ,M                 ,+                      ,                ,+                    ,+                          ,+                    ,+                   ,+                      ,+                   ,+                   ,                          ,                              ,F                    ,+                     ,                     ,                    ,+                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,                  ,              ,192,1184,A,  4,R,CC,   0.00,    163.1700,Bergen   ,Nannofossils                                 ,C              ,P                 ,+                      ,                ,+                    ,+                          ,+                    ,                    ,+                      ,                    ,+                   ,                          ,                              ,+                    ,+                     ,                     ,+                   ,+                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,                  ,              ,192,1184,A,  5,R,CC,   0.00,    167.7500,Bergen   ,Nannofossils                                 ,C              ,G                 ,+                      ,                ,+                    ,+                          ,+                    ,                    ,+                      ,+                   ,+                   ,                          ,                              ,                     ,+                     ,                     ,+                   ,+                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1184,A,  6,R,CC,   0.00,    178.7800,Bergen   ,Nannofossils                                 ,               ,                  ,+                      ,                ,+                    ,+                          ,+                    ,                    ,                       ,+                   ,                    ,                          ,                              ,                     ,+                     ,+                    ,                    ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1184,A,  7,R,CC,   0.00,    190.7800,Bergen   ,Nannofossils                                 ,               ,                  ,+                      ,+               ,+                    ,+                          ,+                    ,                    ,+                      ,+                   ,+                   ,+                         ,+                             ,+                    ,+                     ,                     ,                    ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1184,A,  8,R,CC,   0.00,    201.2900,Bergen   ,Nannofossils                                 ,               ,                  ,F                      ,F               ,C                    ,A                          ,F                    ,R                   ,                       ,                    ,                    ,                          ,                              ,                     ,                      ,                     ,                    ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
