Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sigmoilopsis schlumbergeri,Lenticulina spp.,Globobulimina affinis,Stilostomella spp.,Oridorsalis umbonatus,Uvigerina senticosa,Hoeglundina elegans,Bulimina striata,Bolivinita quadrilatera,Pullenia bulloides,Pleurostomella spp.,Uvigerina hispidocostata,Tosaia hanzawai,Sphaeroidina bulloides,Melonis barleeanus,Uvigerina hispida,Saccorhiza ramosa,Rhizammina sp.,Rhabdamminella sp. ,Reophax spiculifer,Reophax scorpiusus,Recurvoides sp.,Pyrgo murrhina,Oculosiphon sp.,Martinottiella communis,Hormosinella distans,Globocassidulina moluccensis,Fissurina formosa,Epistominella exigua,Eggerella bradyi,Cribrostomoides sp. A,Cibicidoides spp.,Cibicidoides sp. B,Chilostomella ovoidea,Bulimina aculeata,Bolivina pusilla,Bathysiphon filiformis,Astrononion pusillum,Alabamina sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,B,  1,H, 1,   2.00,      0.0200,Kaiho    ,Benthic Foraminifers                         ,A              ,G                 ,2                         ,                ,                     ,                  ,                     ,                   ,                   ,                ,                       ,2                 ,                   ,                        ,               ,4                     ,1                 ,2                ,10               ,2             ,2                  ,1                 ,3                 ,1              ,1             ,1              ,2                      ,4                   ,3                           ,1                ,1                   ,1               ,1                    ,2                ,1                 ,2                    ,6                ,6               ,2                     ,14                  ,1            ,from ODP Leg 126 SR Chapter 20 Table 2 p 314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,B,  7,X,CC,  35.00,     98.5500,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,C                         ,F               ,                     ,C                 ,F                    ,R                  ,R                  ,                ,                       ,                  ,F                  ,F                       ,R              ,R                     ,R                 ,                 ,                 ,              ,                   ,                  ,                  ,               ,              ,               ,                       ,                    ,                            ,                 ,                    ,                ,                     ,                 ,                  ,                     ,                 ,                ,                      ,                    ,             ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,B,  8,X, 3,  67.00,    111.5700,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                          ,                ,R                    ,C                 ,                     ,F                  ,                   ,                ,                       ,F                 ,R                  ,                        ,               ,                      ,                  ,                 ,                 ,              ,                   ,                  ,                  ,               ,              ,               ,                       ,                    ,                            ,                 ,                    ,                ,                     ,                 ,                  ,                     ,                 ,                ,                      ,                    ,             ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,B,  8,X,CC,  30.00,    114.1000,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                          ,                ,                     ,C                 ,                     ,F                  ,F                  ,C               ,R                      ,                  ,                   ,                        ,               ,                      ,                  ,                 ,                 ,              ,                   ,                  ,                  ,               ,              ,               ,                       ,                    ,                            ,                 ,                    ,                ,                     ,                 ,                  ,                     ,                 ,                ,                      ,                    ,             ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,B,  9,X,CC,  18.00,    119.5600,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,F                         ,                ,                     ,F                 ,F                    ,                   ,                   ,                ,                       ,                  ,                   ,                        ,               ,                      ,                  ,                 ,                 ,              ,                   ,                  ,                  ,               ,              ,               ,                       ,                    ,                            ,                 ,                    ,                ,                     ,                 ,                  ,                     ,                 ,                ,                      ,                    ,             ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,B, 10,X, 3,  52.00,    130.6200,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,R                         ,R               ,R                    ,                  ,                     ,                   ,                   ,                ,                       ,                  ,                   ,                        ,               ,                      ,                  ,                 ,                 ,              ,                   ,                  ,                  ,               ,              ,               ,                       ,                    ,                            ,                 ,                    ,                ,                     ,                 ,                  ,                     ,                 ,                ,                      ,                    ,             ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
