Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus rugosus/rioensis,Pontosphaera spp.,Coccolithus pelagicus,Ceratolithus cristatus,Calcidiscus macintyrei,Sphenolithus spp.,Sphenolithus dissimilis,Sphenolithus conicus,Geminilithella rotula,Reticulofenestra pseudoumbilicus,Minylitha convallis,Discoaster variabilis,Discoaster brouweri,Discoaster tristellifer,Ceratolithus armatus,Discoaster decorus,Amaurolithus primus,Discoaster surculus,Discoaster pentaradiatus,Reticulofenestra spp.,Helicosphaera carteri,Discoaster quinqueramus/berggrenii,Discoaster intercalaris,Dictyococcites spp.,Calcidiscus leptoporus,Amaurolithus delicatus,Reticulofenestra spp. (circular),Discoaster asymmetricus,Amaurolithus amplificus,Ceratolithus acutus,Syracosphaera spp.,Scyphosphaera spp.,Pseudoemiliania lacunosa,Discoaster triradiatus,Discoaster tamalis,Amaurolithus tricorniculatus,Ceratolithus rugosus,Helicosphaera sellii,Gephyrocapsa spp. small (<4 microns),Catinaster coalitus,Rhabdosphaera spp.,Reticulofenestra spp.,Helicosphaera wallichii,Gephyrocapsa oceanica,Ceratolithus telesmus,Gephyrocapsa spp. large (>5.5 microns),Thoracosphaera spp.,Gephyrocapsa sp. 3,Umbilicosphaera spp.,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN15              ,              ,138, 847,B,  1,H, 2, 120.00,      2.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,                     ,                                  ,                       ,                   ,C                     ,                      ,                                ,                       ,                       ,                   ,C                 ,                  ,                        ,                      ,                  ,                            ,                    ,                    ,F                                   ,                   ,                  ,                     ,F                      ,C                    ,F                    ,                                      ,R                  ,A                 ,                    ,F                ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN15              ,              ,138, 847,B,  1,H, 3, 120.00,      4.2000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,                     ,                                  ,                       ,                   ,A                     ,                      ,                                ,                       ,                       ,                   ,F                 ,                  ,                        ,                      ,                  ,                            ,                    ,                    ,F                                   ,                   ,                  ,                     ,C                      ,A                    ,                     ,                                      ,R                  ,A                 ,                    ,?                ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14b             ,              ,138, 847,B,  1,H, 4, 120.00,      5.7000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,                      ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,                     ,                                  ,                       ,                   ,A                     ,                      ,                                ,                       ,                       ,                   ,C                 ,                  ,                        ,                      ,                  ,                            ,                    ,                    ,R                                   ,                   ,                  ,                     ,C                      ,A                    ,R                    ,                                      ,F                  ,C                 ,                    ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,CN14b             ,              ,138, 847,B,  1,H, 5,  15.00,      6.1500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                                   ,                 ,                     ,R                     ,                      ,                 ,                       ,                    ,                     ,                                ,                   ,                     ,                   ,                       ,                    ,                  ,                   ,                   ,                        ,                     ,F                    ,                                  ,                       ,                   ,A                     ,                      ,                                ,                       ,                       ,                   ,R                 ,                  ,                        ,                      ,                  ,                            ,                    ,                    ,C                                   ,                   ,                  ,                     ,C                      ,A                    ,R                    ,                                      ,R                  ,C                 ,C                   ,                 ,from ODP Leg 138 Chapter 12 Table 15 pp 262-265
