Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Toweius gammation,Thoracosphaera saxea,Thoracosphaera heimii,Sphenolithus spiniger,Sphenolithus radians,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus orphanknollensis,Sphenolithus moriformis,Sphenolithus furcatolithoides,Sphenolithus editus,Semihololithus kerabyi,Rhabdosphaera tenuis,Rhabdosphaera scabrosa,Rhabdosphaera pseudomorionum,Reticulofenestra umbilica,Reticulofenestra hillae,Pseudotriquetrorhabdulus inversus,Pontosphaera plana,Pontosphaera pectinata,Pontosphaera multipora,Pontosphaera formosa,Pontosphaera distincta,Neococcolithes dubius,Nannotetrina cristata,Lophodolithus nascens,Lophodolithus mochlophorus,Lophodolithus acutus,Helicosphaera wilcoxonii,Helicosphaera seminulum,Helicosphaera lophota,Helicosphaera compacta,Ericsonia obruta,Ericsonia formosa,Ellipsolithus lajollaensis,Discoaster tanii,Discoaster sublodoensis,Discoaster strictus,Discoaster septemradiatus,Discoaster saipanensis,Discoaster nodifer,Discoaster lodoensis,Discoaster kuepperi,Discoaster germanicus,Discoaster deflandrei,Discoaster binodosus,Discoaster barbadiensis,Dictyococcites scrippsae,Dictyococcites daviesii,Cyclicargolithus pseudogammation,Cyclicargolithus floridanus,Cruciplacolithus cribellum,Cribrocentrum reticulatum,Coronocyclus prionion,Coronocyclus nitescens,Coccolithus pelagicus,Coccolithus eopelagicus,Chiphragmalithus barbatus,Chiphragmalithus armatus,Chiasmolithus titus,Chiasmolithus solitus,Chiasmolithus oamaruensis,Chiasmolithus grandis,Chiasmolithus consuetus,Bramletteius serraculoides,Tribrachiatus orthostylus,Transversopontis pulcheroides,Transversopontis pulcher,Transversopontis latus,Thoracosphaera tuberosa,Scyphosphaera tubicena,Scyphosphaera expansa,Scyphosphaera columella,Scyphosphaera biarritzensis,Reticulofenestra dictyoda,Pontosphaera ocellata,Neococcolithes protenus,Discoaster cruciformis,Cruciplacolithus vanheckae,Campylosphaera dela,Calcidiscus protoannulus,Toweius crassus,Sphenolithus conspicuus,Scyphosphaera tercisensis,Rhabdosphaera morionum,Pontosphaera versa,Discoaster diastypus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP10              ,              ,144, 876,A,  1,R, 1,  12.00,      0.1200,Watkins  ,Nannofossils                                 ,C              ,G                 ,R                      ,F                ,                    ,C                    ,                     ,A                   ,                          ,                         ,                             ,A                      ,                             ,                   ,R                     ,                    ,                      ,                            ,                         ,                       ,                                 ,R                 ,                      ,                      ,                    ,                      ,R                    ,                     ,R                    ,                          ,                    ,                        ,                       ,R                    ,                      ,                ,C                ,                          ,                ,                       ,                   ,F                        ,                      ,                  ,C                   ,C                  ,                     ,                     ,F                   ,C                      ,                        ,                       ,                                ,                           ,R                         ,                         ,R                    ,                      ,A                    ,                       ,                         ,                        ,                   ,F                    ,                         ,                     ,                       ,                          ,F                        ,                             ,R                       ,R                     ,                       ,                      ,                     ,                       ,                           ,                         ,R                    ,                       ,R                     ,                          ,F                  ,                        ,               ,                       ,                         ,                      ,                  ,R                   ,from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP11              ,              ,144, 876,A,  1,R, 1,  12.00,      0.1200,Watkins  ,Nannofossils                                 ,C              ,G                 ,R                      ,F                ,R                   ,F                    ,                     ,C                   ,                          ,                         ,                             ,A                      ,                             ,F                  ,R                     ,                    ,                      ,                            ,                         ,                       ,                                 ,                  ,R                     ,R                     ,                    ,                      ,R                    ,                     ,                     ,R                         ,                    ,                        ,                       ,R                    ,                      ,                ,C                ,F                         ,                ,                       ,                   ,                         ,                      ,                  ,C                   ,C                  ,                     ,F                    ,F                   ,A                      ,                        ,                       ,                                ,                           ,R                         ,                         ,R                    ,                      ,C                    ,                       ,                         ,                        ,R                  ,F                    ,                         ,R                    ,R                      ,                          ,                         ,R                            ,                        ,                      ,                       ,                      ,                     ,                       ,                           ,                         ,                     ,R                      ,                      ,                          ,F                  ,                        ,R              ,R                      ,R                        ,R                     ,R                 ,                    ,from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP14a             ,              ,144, 876,A,  1,R, 1,  17.00,      0.1700,Watkins  ,Nannofossils                                 ,A              ,G                 ,R                      ,                 ,F                   ,R                    ,R                    ,A                   ,F                         ,                         ,                             ,A                      ,F                            ,                   ,                      ,                    ,                      ,                            ,F                        ,                       ,R                                ,                  ,                      ,                      ,                    ,R                     ,                     ,                     ,                     ,                          ,                    ,                        ,                       ,                     ,                      ,                ,F                ,                          ,                ,                       ,                   ,                         ,F                     ,                  ,                    ,                   ,                     ,                     ,R                   ,C                      ,                        ,                       ,F                               ,                           ,                          ,R                        ,                     ,                      ,C                    ,F                      ,                         ,                        ,                   ,F                    ,                         ,F                    ,                       ,                          ,                         ,                             ,                        ,                      ,R                      ,                      ,R                    ,R                      ,                           ,C                        ,                     ,                       ,                      ,                          ,                   ,R                       ,               ,                       ,                         ,                      ,                  ,                    ,from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP10              ,              ,144, 876,A,  1,R, 1,  17.00,      0.1700,Watkins  ,Nannofossils                                 ,A              ,G                 ,R                      ,F                ,                    ,R                    ,                     ,A                   ,                          ,                         ,R                            ,A                      ,                             ,                   ,R                     ,R                   ,                      ,                            ,                         ,                       ,                                 ,R                 ,R                     ,                      ,                    ,R                     ,                     ,                     ,                     ,                          ,                    ,                        ,R                      ,R                    ,                      ,                ,C                ,R                         ,                ,                       ,R                  ,R                        ,                      ,                  ,C                   ,C                  ,                     ,                     ,R                   ,C                      ,                        ,                       ,                                ,                           ,                          ,                         ,R                    ,                      ,C                    ,F                      ,R                        ,                        ,R                  ,F                    ,                         ,                     ,                       ,                          ,F                        ,R                            ,R                       ,R                     ,                       ,F                     ,                     ,                       ,F                          ,                         ,R                    ,R                      ,R                     ,F                         ,F                  ,                        ,               ,                       ,                         ,                      ,                  ,                    ,from ODP Leg 144 SR; Ch 5; Table 3; p. 102-103
