Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Transversopontis pulcher	Sphenolithus orphanknollensis	Reticulofenestra sp. (small)	Neococcolithes dubius	Helicosphaera seminulum	Discolithina distincta	Discoaster sp.	Discoaster lodoensis	Discoaster binodosus	Discoaster barbadiensis	Cyclococcolithus formosus	Coccolithus pelagicus	Chiasmolithus solitus	Blackites tenuis	Zygrhablithus bijugatus	Sphenolithus moriformis	Reticulofenestra aff. umbilica	Helicosphaera lophota	Chiphragmalithus cristatus	Discoaster sp. cf. D. binodosus	Discoaster sp cf. D. IX/XI	Coccolithus eopelagicus	Chiasmolithus consuetus	Discoaster distinctus	Chiasmolithus grandis	Campylosphaera dela	Sphenolithus radians	Cyclococcolithus gammation	Koczyia fimbriata	Transversopontis pulcheroides	Transversopontis panarium	Cruciplacolithus staurion	Campylosphaera sp. cf. C. dela	Discolithina plana	Discoaster kuepperi	Ellipsolithus macellus	Discoaster IX/XI	Discoaster sp. cf. D. distinctus	Markalius inversus	Discoaster septemradiatus	Discoaster elegans	Discoaster wemmelensis	Discoaster sp. cf. D. wemmelensis	Discoasteroides sp. cf. D. kuepperi	Discoaster sublodoensis	Transversopontis duocavus	Sphenolithus sp. cf. S. radians	Reticulofenestra umbilica	Micrantholithus sp.	Discoaster VI	Cyclicargolithus floridanus	Chiasmolithus altus	Braarudosphaera bigelowii	Discoaster saipanensis	Dictyococcites dictyodus	Cribrocentrum reticulatum	Discoaster sp. cf. D. germanicus	Dictyococcites sp. cf. D. dictyodus	Cyclococcolithus luminis	Discoaster germanicus	Discoaster sp. cf. D. barbadiensis	Discoaster cf. saipanensis	Sphenolithus furcatolithoides	Coronocyclus nitescens	Triquetrorhabdulus carinatus	Discoaster deflandrei	Cyclicargolithus abisectus	Coccolithus miopelagicus	Sphenolithus dissimilis	Helicosphaera euphratis	Discoaster VI sec. calc.	Discolithina multipora	Reticulofenestra cf. pseudoumbilica	Sphenolithus abies	Reticulofenestra pseudoumbilicus	Helicosphaera carteri	Discoaster exilis	Cyclococcolithus rotula	Discoaster variabilis	Cyclococcolithus macintyrei	Cyclococcolithus leptoporus	Discoaster sp. cf. D. exilis	Discoaster brouweri	Comment



  SR	Middle Miocene   	                 	NN6               	              	112	 688	E	 12	R	 2	  93.00	    452.9300	Martini  	Nannofossils                                 	               	P/M               	                        	                             	C                           	                     	                       	                      	              	                    	                    	                       	                         	F                    	                     	                	                       	                       	                              	                     	                          	                               	                          	                       	                       	                     	                     	                   	                    	                          	                 	                             	                         	                         	                              	                  	                   	                      	                	                                	                  	                         	                  	                      	                                 	                                   	                       	                         	                               	                         	                   	             	R                          	                   	                         	                      	                        	                         	                                	                                   	                        	                     	                                  	                          	                             	                      	                            	                     	R                         	C                       	                       	                       	R                       	                      	                                   	F                 	C                               	R                    	R                	                       	R                    	                           	R                          	                            	R                  	from ODP Leg 112 SR Chapter 14 Table 12 p 235

  SR	Middle Miocene   	                 	NN6               	              	112	 688	E	 12	R	CC	  11.00	    453.5200	Martini  	Nannofossils                                 	               	P                 	                        	                             	F                           	                     	                       	                      	              	                    	                    	                       	                         	R                    	                     	                	                       	                       	                              	                     	                          	                               	                          	                       	                       	                     	                     	                   	                    	                          	                 	                             	                         	                         	                              	                  	                   	                      	                	                                	                  	                         	                  	                      	                                 	                                   	                       	                         	                               	                         	                   	             	                           	                   	                         	                      	                        	                         	                                	                                   	                        	                     	                                  	                          	                             	                      	                            	                     	R                         	                        	                       	                       	R                       	                      	                                   	R                 	R                               	                     	                 	                       	                     	                           	R                          	                            	                   	from ODP Leg 112 SR Chapter 14 Table 12 p 235

  SR	Middle Miocene   	                 	NN6               	              	112	 688	E	 13	R	CC	  30.00	    460.3000	Martini  	Nannofossils                                 	               	P/M               	                        	                             	F                           	                     	                       	                      	              	                    	                    	                       	                         	R                    	                     	                	                       	                       	                              	                     	                          	                               	                          	                       	                       	                     	                     	                   	                    	                          	                 	                             	                         	                         	                              	                  	                   	                      	                	                                	                  	                         	                  	                      	                                 	                                   	                       	                         	                               	                         	                   	             	R                          	                   	                         	                      	                        	                         	                                	                                   	                        	                     	                                  	                          	                             	                      	                            	                     	                          	                        	                       	                       	R                       	                      	                                   	                  	R                               	R                    	                 	                       	R                    	R                          	R                          	                            	                   	from ODP Leg 112 SR Chapter 14 Table 12 p 235

  SR	Middle Miocene   	                 	NN6               	              	112	 688	E	 14	R	CC	   5.00	    474.3800	Martini  	Nannofossils                                 	               	P/M               	                        	                             	C                           	                     	                       	                      	              	                    	                    	                       	                         	F                    	                     	                	                       	                       	                              	                     	                          	                               	                          	                       	                       	                     	                     	                   	                    	                          	                 	                             	                         	                         	                              	                  	                   	                      	                	                                	                  	                         	                  	                      	                                 	                                   	                       	                         	                               	                         	                   	             	R                          	                   	                         	                      	                        	                         	                                	                                   	                        	                     	                                  	                          	                             	                      	                            	                     	                          	F                       	                       	                       	F                       	                      	                                   	R                 	C                               	R                    	R                	                       	F                    	                           	                           	                            	                   	from ODP Leg 112 SR Chapter 14 Table 12 p 235
