Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Verrutriletes sp.,Tricolporopollenites spp.,Tricolpites sp. 3,Tricolpites sp. 2,Tricolpites sp. 1,Tricolpites reticulominutus,Monosulcites spp.,Ephedripites sp. 1,Ephedripites multicostatus,Ephedripites sp. 3,Arecipites sp.,Proxapertites? sp.,Corrugatisporites ivoriensis,Triporopollenites sp.,Striamonocolpites sp.,Rugulatisporites caperatus,Foveotriletes margaritae,Deltoidospora sp.,Dicolpites sp.,Corollina? sp.,Foveotricolpites sp.,Tricolpites sp. 4,Toroisporis sp.,Parvisaccites cf. P. radiatus,Monocolpopollenites sp.,Laevigatosporites gracilis,Longapertites vaneendenburgi,Leiotriletes spp.,Buttinia andreevi,Granulatisporites sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Danian           ,                 ,                  ,              ,159, 959,D, 47,R, 1,  66.00,    851.5600,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,                 ,                 ,                 ,                           ,+                ,                  ,                          ,                  ,              ,                  ,                            ,                     ,                     ,                          ,                        ,                 ,              ,              ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,+                    ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Danian           ,                 ,                  ,              ,159, 959,D, 48,R, 5,  37.00,    866.9700,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,+                        ,                 ,                 ,                 ,                           ,+                ,                  ,                          ,                  ,+             ,                  ,                            ,                     ,                     ,                          ,                        ,                 ,              ,              ,                    ,                 ,               ,                             ,                       ,+                         ,+                           ,+                ,+                ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Danian           ,                 ,                  ,              ,159, 959,D, 49,R, 2,  99.00,    872.6900,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,                 ,                 ,                 ,                           ,+                ,                  ,                          ,                  ,              ,                  ,                            ,                     ,                     ,                          ,                        ,                 ,              ,              ,                    ,                 ,               ,                             ,                       ,                          ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,159, 959,D, 49,R, 4,  99.00,    875.6900,Oboh-Ikuenobe,Pollen/Spores                                ,               ,                  ,                 ,                         ,+                ,                 ,                 ,+                          ,+                ,                  ,                          ,                  ,              ,                  ,                            ,                     ,                     ,                          ,                        ,                 ,              ,              ,                    ,+                ,+              ,+                            ,+                      ,+                         ,                            ,                 ,                 ,                     ,From Leg 159SR Ch 25 Table 1
