Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassionema nitzschioides	Denticulopsis hustedtii	Crucidenticula nicobarica s.s.	Coscinodiscus lewisianus	Actinocyclus ingens	Thalassiothrix longissima	Coscinodiscus marginatus	Azpeitia endoi	Thalassiosira praeyabei	Denticulopsis praedimorpha	Denticulopsis hyalina	Actinocyclus tsugaruensis	Thalassionema hirosakiensis	Coscinodiscus marginatus f. fossilis	Rouxia californica	Azpeitia nodulifera	Denticulopsis simonsenii	Aulacosira granulata	Thalassionema cf. T. schraderi	Rhizosolenia barboi	Thalassionema nitzschioides  var. parva	Paralia sulcata	Nitzschia praedim*	Nitzschia pliocena	Neodenticula seminae	Denticulopsis lauta s.l.	Biddulphia aurita	Denticulopsis lauta (miocenica type)	Denticulopsis lauta	Sponge spicules	Comment



  IR	                 	                 	                  	              	167	1010	C	  2	H	CC	   9.00	     15.3000	Maruyama 	Diatoms                                      	B              	                  	                           	                       	                              	                        	                   	                         	                        	              	                       	                          	                     	                         	                           	                                    	                  	                   	                        	                    	                              	                   	                                       	               	                  	                  	                    	                        	                 	                                    	                   	F              	rare fragmental diatoms.from IR.Ch 4.Table 4.

  IR	                 	                 	                  	              	167	1010	C	  6	H	CC	  26.00	     53.4600	Maruyama 	Diatoms                                      	R              	P                 	T                          	                       	R                             	                        	                   	                         	                        	              	                       	                          	                     	                         	                           	                                    	                  	                   	                        	                    	                              	                   	                                       	               	                  	                  	                    	T                       	                 	                                    	                   	               	rare fragmental diatoms.from IR.Ch 4.Table 4.

  IR	                 	                 	                  	              	167	1010	C	  7	H	CC	  13.00	     62.7600	Maruyama 	Diatoms                                      	R              	P                 	R                          	                       	T                             	                        	                   	                         	                        	              	                       	                          	T                    	                         	                           	                                    	                  	                   	                        	                    	                              	                   	                                       	               	                  	                  	                    	                        	                 	T                                   	T                  	               	few fragmental diatoms.from IR.Ch 4.Table 4.

  IR	Neogene          	                 	                  	              	167	1010	C	  9	H	CC	  21.00	     81.8300	Maruyama 	Diatoms                                      	F              	M                 	R                          	                       	                              	                        	                   	                         	                        	              	                       	                          	                     	                         	                           	                                    	                  	                   	                        	                    	                              	                   	                                       	               	                  	                  	                    	T                       	                 	                                    	                   	               	from IR.Ch 4.Table 4.

  IR	Neogene          	                 	                  	              	167	1010	C	 10	H	CC	  19.00	     91.2800	Maruyama 	Diatoms                                      	R              	P                 	R                          	                       	                              	                        	                   	T                        	T                       	              	                       	                          	T                    	                         	                           	T                                   	T                 	                   	                        	                    	                              	                   	T                                      	T              	T                 	T                 	T                   	T                       	T                	                                    	                   	               	from IR.Ch 4.Table 4.

  IR	Late Miocene     	                 	NPD 6B            	              	167	1010	C	 11	H	CC	  12.00	    100.7000	Maruyama 	Diatoms                                      	A              	M/G               	                           	                       	                              	                        	                   	                         	D                       	              	                       	                          	                     	                         	                           	                                    	                  	                   	                        	                    	R                             	C                  	                                       	               	                  	                  	                    	                        	                 	                                    	                   	               	from IR.Ch 4.Table 4.

