Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia inflata,Neogloboquadrina pachyderma (sinistral),Globorotalia puncticuloides,Globigerinita glutinata,Globigerina quinqueloba,Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globigerina bulloides,Globorotalia crassaformis,Neogloboquadrina humerosa,Globorotalia truncatulinoides,Globigerina woodi,Orbulina universa,Globigerinita uvula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B,  2,H,CC,  10.00,     13.6700,Andersson,Planktonic Foraminifers                      ,A              ,G                 ,A                   ,F                                      ,                           ,                       ,F                      ,                                     ,                    ,F                    ,                         ,                         ,                             ,F                ,F                ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B,  3,H,CC,   8.00,     23.1200,Andersson,Planktonic Foraminifers                      ,A              ,G                 ,A                   ,F                                      ,                           ,                       ,F                      ,                                     ,R                   ,A                    ,                         ,                         ,                             ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,              ,177,1089,B,  4,H,CC,  12.00,     32.4200,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,A                   ,A                                      ,                           ,                       ,F                      ,                                     ,                    ,D                    ,                         ,R                        ,R                            ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,              ,177,1089,B,  5,H,CC,  16.00,     41.9000,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,A                   ,A                                      ,F                          ,                       ,F                      ,R                                    ,                    ,D                    ,                         ,                         ,R                            ,F                ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B,  6,H,CC,  11.00,     51.1800,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,A                   ,A                                      ,F                          ,                       ,A                      ,                                     ,                    ,D                    ,                         ,                         ,                             ,                 ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B,  7,H,CC,   8.00,     60.7300,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                    ,D                                      ,F                          ,F                      ,A                      ,                                     ,R                   ,A                    ,                         ,                         ,                             ,                 ,F                ,F                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1089,B,  8,H,CC,  20.00,     70.0200,Andersson,Planktonic Foraminifers                      ,C              ,M                 ,A                   ,A                                      ,                           ,R                      ,F                      ,                                     ,                    ,A                    ,                         ,                         ,A                            ,R                ,                 ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
