Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sponge spicules	Stephanopyxis turris	Nitzschia cf. N. reinholdii	Denticulopsis lauta s.l.	Denticulopsis hustedtii	Coscinodiscus marginatus	Actinocyclus ingens	Diatom fragments	Thalassionema nitzschioides	Simonseniella curvirostris	Diploneis sp.	Actinoptychus senarius	Thalassiosira antiqua	Rhizosolenia barboi	Grammatophora sp.	Actinocyclus oculatus	Actinocyclus ehrenbergii	Diatom fragments (girdle bands)	Denticulopsis hyalina	Hyalodiscus sp.	Thalassiosira spp.	Coscinodiscus radiatus	Neodenticula sp.	Comment



  IR	                 	                 	                  	              	167	1017	B	  1	H	CC	  14.00	      5.2100	Maruyama 	Diatoms                                      	B              	                  	F              	                    	                           	                        	                       	                        	                   	                	                           	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	  2	H	CC	  25.00	     15.2200	Maruyama 	Diatoms                                      	T              	P                 	F              	                    	                           	                        	                       	                        	                   	                	T                          	                          	             	                      	                     	                   	                 	                     	                        	C                              	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	  3	H	CC	  23.00	     23.4000	Maruyama 	Diatoms                                      	T              	P                 	R              	                    	                           	                        	                       	T                       	                   	                	T                          	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	T               	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	  4	H	CC	  39.00	     34.6600	Maruyama 	Diatoms                                      	T              	P                 	C              	                    	                           	                        	                       	                        	                   	T               	                           	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	  5	H	CC	  21.00	     43.9200	Maruyama 	Diatoms                                      	T              	P                 	               	                    	T                          	                        	                       	                        	T                  	                	                           	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	  6	H	CC	  37.00	     53.7200	Maruyama 	Diatoms                                      	R              	P                 	F              	T                   	                           	                        	T                      	T                       	                   	                	                           	                          	             	                      	                     	T                  	                 	                     	                        	                               	                     	               	T                 	T                     	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	  7	H	CC	  16.00	     62.8000	Maruyama 	Diatoms                                      	R              	P                 	C              	                    	                           	                        	T                      	F                       	                   	                	                           	                          	T            	                      	                     	                   	                 	                     	                        	                               	T                    	               	                  	                      	                	from IR. Ch 11. Table 6.

  IR	                 	                 	                  	              	167	1017	B	  8	H	CC	  45.00	     72.8500	Maruyama 	Diatoms                                      	T              	P                 	C              	                    	                           	                        	                       	                        	                   	R               	                           	                          	             	                      	                     	                   	                 	                     	                        	                               	                     	T              	                  	                      	                	from IR. Ch 11. Table 6.

