Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina dutertrei,Globorotalia ungulata,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia menardii,Globorotalia crassula,Globorotalia crassaformis hessi,Globorotalia crassaformis,Globigerinoides sacculifer,Globigerinoides ruber (pink),Globigerinoides ruber,Globigerinoides quadrilobatus,Globigerinoides conglobatus,Globigerinella siphonifera,Bolliella calida,Zeaglobigerina rubescens,Candeina nitida,Bolliella adamsi,Beella digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Pleistocene,Holocene,,N23,180,1110,A,1,H,1,91.00,0.9100,Perembo,Planktonic Foraminifers,A,M,R,A,F,A,F,F,R,F,F,,R,A,,F,A,A,A,F,A,F,R,R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Pleistocene,Holocene,,N23,180,1110,A,2,H,2,0.00,8.5000,Perembo,Planktonic Foraminifers,A,G,F,A,R,A,F,F,A,A,F,R,A,F,R,F,F,A,F,F,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
