Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma ""rounded""",Globigerina bulloides,Globigerina apertura,Globigerina quinqueloba,"Neogloboquadrina pachyderma ""5 chambers""",Neogloboquadrina humerosa,Globorotalia scitula,Globigerina quadrilatera,Globorotalia inflata,Globorotalia crassaformis,Globigerinita glutinata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C,  1,H,CC,  25.00,      8.2800,Kennett  ,Planktonic Foraminifers                      ,A              ,M                 ,A                                      ,                                     ,                                     ,A                    ,                    ,A                      ,                                        ,                         ,R                   ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C,  2,H,CC,  20.00,     18.3100,Kennett  ,Planktonic Foraminifers                      ,A              ,M                 ,A                                      ,                                     ,                                     ,A                    ,                    ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C,  3,H,CC,  26.00,     27.9900,Kennett  ,Planktonic Foraminifers                      ,F              ,P                 ,C                                      ,                                     ,                                     ,C                    ,                    ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C,  5,H,CC,  33.00,     47.0700,Kennett  ,Planktonic Foraminifers                      ,R              ,P                 ,R                                      ,                                     ,                                     ,R                    ,                    ,                       ,                                        ,                         ,                    ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C,  6,H,CC,  68.00,     55.9100,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,A                                      ,                                     ,                                     ,A                    ,                    ,A                      ,                                        ,                         ,                    ,                        ,R                   ,                         ,R                      ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1019,C,  7,H,CC,  38.00,     66.5800,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,                                     ,                                     ,A                    ,                    ,C                      ,                                        ,                         ,R                   ,                        ,                    ,                         ,                       ,from IR. Ch 13. Table 3.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
