Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globobulimina sp.,Epistominella bradyana,Cassidulina tumida,Cassidulina auka,Buliminella curta,Bulimina marginata,Bulimina denudata,Bolivinellina seminuda,Bolivina salvadorensis,Bolivina costata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  1,H, 1,  23.00,      0.2300,Diester-Haass,Benthic Foraminifers                         ,               ,                  ,0                ,0                     ,21                ,3               ,0                ,0                 ,0                ,97                    ,0                     ,44              ,PlForams count=14; Total BenForams=180; from ODP Leg 112 Ch22 Appx E p.390
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  1,H, 3,  23.00,      3.2300,Diester-Haass,Benthic Foraminifers                         ,               ,                  ,0                ,0                     ,0                 ,0               ,0                ,0                 ,1                ,183                   ,0                     ,177             ,PlForams count=33; Total BenForams=399; from ODP Leg 112 Ch22 Appx E p.390
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  1,H,CC,   6.00,      5.7900,Diester-Haass,Benthic Foraminifers                         ,               ,                  ,0                ,0                     ,1                 ,0               ,1                ,0                 ,6                ,261                   ,0                     ,174             ,PlForams count=10; Total BenForams=525; from ODP Leg 112 Ch22 Appx E p.390
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  2,H, 1,  28.00,      6.1800,Diester-Haass,Benthic Foraminifers                         ,               ,                  ,0                ,10                    ,4                 ,2               ,0                ,0                 ,0                ,119                   ,0                     ,94              ,PlForams count=5; Total BenForams=284; from ODP Leg 112 Ch22 Appx E p.390
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  2,H, 1, 120.00,      7.1000,Diester-Haass,Benthic Foraminifers                         ,               ,                  ,0                ,0                     ,0                 ,1               ,0                ,0                 ,0                ,62                    ,0                     ,161             ,PlForams count=27; Total BenForams=328; from ODP Leg 112 Ch22 Appx E p.390
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  2,H, 2,  69.00,      8.0900,Diester-Haass,Benthic Foraminifers                         ,               ,                  ,0                ,0                     ,0                 ,0               ,0                ,0                 ,0                ,30                    ,0                     ,104             ,PlForams count=27; Total BenForams=178; from ODP Leg 112 Ch22 Appx E p.390
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 681,B,  2,H, 3,  28.00,      9.1800,Diester-Haass,Benthic Foraminifers                         ,               ,                  ,0                ,0                     ,0                 ,0               ,0                ,0                 ,0                ,34                    ,0                     ,221             ,PlForams count=18; Total BenForams=285; from ODP Leg 112 Ch22 Appx E p.390
,,,,,,,,,,,,,,,,,,,,,,,,,,,
