Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ulmus taxa,Tsuga taxa,Trilete spores (unspecified taxon or taxa),Sphagnum taxa,Pterocarya taxa,Poaceae taxa,Pinus taxa,Picea taxa,Monolete spores taxa,Lycospora taxa,Lycopodium  complanatum,Liquidambar taxa,Larix taxa,Ericaceae taxa,Cyperaceae taxa,Cupressaceae taxa,Crumpled pollen  taxa ,Corylus taxa,Cicatricosisporites taxa,Betula taxa,Asteraceae taxa,Alnus taxa,Sciadopitys taxa,Salix taxa,Aquilapollenites taxa,Tilia taxa,Appendicisporites taxa,Carya taxa,Ilex taxa,Castanea taxa,Ranunculaceae taxa,Trilobosporites taxa,Oculopollis taxa,Aquilapollenites scabridus,Carboniferous spores taxa,Abies taxa,Lycospora pusilla,Lycospora granulata,Quercus taxa,Trudopollis taxa,Thymospora taxa,Cicatricosisporites australiensis,Chenopodiaceae taxa,Juglans taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A,  1,H, 4,  53.00,      5.0300,Willard  ,Pollen/Spores                                ,               ,                  ,          ,1         ,2                                         ,             ,               ,1           ,80        ,28        ,1                   ,              ,                       ,                ,          ,              ,3              ,2                ,11                    ,4           ,                        ,3          ,               ,3         ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,1         ,                 ,                   ,2           ,                ,               ,                                 ,                   ,1           ,Total pollen = 129; Total spores =3; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A,  3,H, 1,  61.00,     19.6100,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,                                          ,             ,               ,            ,          ,          ,                    ,              ,                       ,                ,          ,              ,               ,                 ,                      ,            ,                        ,           ,               ,          ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,1           ,                ,               ,                                 ,                   ,            ,Total pollen = 1; Total spores = 0; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A,  5,H, 2,  55.00,     40.0500,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,1                                         ,             ,               ,            ,7         ,9         ,                    ,              ,1                      ,                ,          ,              ,               ,                 ,                      ,            ,                        ,           ,               ,          ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 16; Total spores = 2; From Leg 151; Ch 16; Table 1; p. 300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 911,A,  7,H, 3,  61.00,     60.6100,Willard  ,Pollen/Spores                                ,               ,                  ,          ,          ,1                                         ,3            ,               ,            ,4         ,          ,                    ,              ,                       ,                ,          ,              ,               ,                 ,1                     ,            ,                        ,           ,               ,          ,                ,          ,                     ,          ,                      ,          ,         ,             ,                  ,                    ,                ,                          ,                         ,          ,                 ,                   ,            ,                ,               ,                                 ,                   ,            ,Total pollen = 5; Total spores = 4; From Leg 151; Ch 16; Table 1; p. 300
