Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unilocular species,Pyrulina spp.,Pullenia quinqueloba,Pullenia bulloides,Pleurostomella spp.,Oridorsalis umbonatus,Nuttallides umbonifera,Melonis barleeanus,Laticarinina pauperata,Gyroidinoides spp.,Globocassidulina subglobosa,Fontbotia wuellerstorfi,Epistominella exigua,Ehrenbergina spp.,Cibicidoides mundulus,Bolivina huneri,Bolboforma spp.,Bolboforma capsula,Bolboforma aculeata,Uvigerina peregrina,Unidentified benthic forams,Stilostomella spp.,Sphaeroidina bulloides,Pyrgo spp.,Ostracoda spp.,Astrononion spp.,Gyroidina zealandica,Dentalina spp.,Triloculina spp.,Melonis pompilioides,Eggerella bradyi,Cibicidoides spp.,Anomalinoides globulosus,Textularia spp.,Rectuvigerina spp.,Quinqueloculina spp.,Karreriella bradyi,Globobulimina spp.,Bathysiphon spp.,Dorothia spp.,Cassidulina spp.,Uvigerina hispida,Sigmoilina tenuis,Orthomorphina spp.,Parrelloides bradyi,Spiroloculina spp.,Astacolus spp.,Martinottiella communis,Bolivina spp.,Siphotextularia catenata,Sigmoilopsis schlumbergeri,Pullenia spp.,Gyroidina orbicularis,Chilostomella oolina,Nonionella spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  1,H,CC,  17.00,      8.5200,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                 ,             ,                    ,                  ,T                  ,T                    ,                      ,                  ,                      ,                  ,                           ,                       ,R                   ,                 ,                     ,               ,               ,                  ,                   ,                   ,T                          ,                  ,                      ,T         ,T             ,                ,                    ,              ,F               ,                    ,T               ,                 ,                        ,               ,                  ,                    ,                  ,R                 ,                ,             ,T               ,                 ,                 ,                  ,                   ,T                 ,              ,                       ,R            ,T                       ,                          ,T            ,                     ,C                   ,               ,"B/P: 1/90, art. ostr."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  2,H,CC,  12.00,     15.0400,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,             ,                    ,T                 ,R                  ,R                    ,R                     ,R                 ,T                     ,T                 ,T                          ,                       ,R                   ,                 ,                     ,T              ,               ,                  ,                   ,                   ,R                          ,                  ,                      ,F         ,              ,R               ,                    ,              ,T               ,R                   ,F               ,R                ,                        ,               ,                  ,T                   ,                  ,                  ,                ,             ,T               ,R                ,T                ,T                 ,                   ,                  ,              ,T                      ,T            ,                        ,                          ,T            ,                     ,                    ,               ,B/P: 1/110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  3,H,CC,  15.00,     27.9000,benthics ,Benthic Foraminifers                         ,C              ,G                 ,T                 ,             ,                    ,R                 ,                   ,F                    ,R                     ,C                 ,R                     ,T                 ,R                          ,                       ,T                   ,                 ,                     ,               ,               ,                  ,                   ,                   ,T                          ,T                 ,                      ,T         ,T             ,                ,                    ,              ,                ,F                   ,T               ,R                ,                        ,               ,                  ,                    ,                  ,                  ,                ,             ,                ,                 ,                 ,                  ,                   ,                  ,              ,T                      ,             ,                        ,                          ,             ,                     ,                    ,               ,B/P: 1/90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1169,A,  4,H,CC,  10.00,     37.3500,benthics ,Benthic Foraminifers                         ,C              ,G                 ,R                 ,             ,                    ,T                 ,R                  ,F                    ,                      ,F                 ,                      ,R                 ,C                          ,T                      ,R                   ,                 ,                     ,               ,               ,                  ,                   ,R                  ,R                          ,T                 ,T                     ,F         ,R             ,R               ,                    ,              ,                ,C                   ,T               ,T                ,                        ,               ,                  ,T                   ,                  ,                  ,                ,             ,                ,T                ,                 ,                  ,T                  ,                  ,              ,                       ,T            ,                        ,T                         ,T            ,                     ,T                   ,T              ,B/P: 1/100
