Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spheraster taxa	Tylostyle taxa	Triaenes taxa	Triact taxa	Style taxa	Strongyle taxa	Sigmas taxa	Hexactines  taxa	Discorhabds taxa	Dichotriaenes  taxa	Calthrop taxa	Asteroid (isochelae)	Amphiasters  taxa	Acanthostyle taxa	Isochelae taxa	Forceps  taxa	Diancistrons taxa	Pentacts  taxa	Toxon taxa	Oxyaster taxa	Oxea taxa	Anisochelae  taxa	Acanthostrongyles taxa	Frameworks  taxa	Pinnules  taxa	Gemmules  taxa	Comment



  SR	                 	                 	                  	              	120	 748	B	  3	H	 4	  47.00	     14.5700	McCartney	Sponge Spicules                              	               	                  	               	              	             	           	5         	              	8          	                	                	                   	             	                    	                 	4                	              	             	                 	              	          	             	         	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	  4	H	 4	  47.00	     24.0700	McCartney	Sponge Spicules                              	               	                  	               	              	             	           	          	              	           	                	                	                   	             	                    	                 	1                	              	             	                 	              	          	             	         	                 	1                     	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	  5	H	 3	  47.00	     32.0700	McCartney	Sponge Spicules                              	               	                  	               	              	             	           	          	              	           	                	                	                   	             	                    	                 	2                	              	             	                 	              	          	             	2        	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	  7	H	 4	  47.00	     52.5700	McCartney	Sponge Spicules                              	               	                  	               	              	             	           	          	              	           	                	                	                   	             	                    	                 	5                	              	             	                 	              	          	             	12       	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	  8	H	 2	  47.00	     59.0700	McCartney	Sponge Spicules                              	               	                  	               	              	1            	           	2         	2             	           	                	                	                   	             	                    	                 	10               	              	             	                 	              	4         	             	10       	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	  9	H	 1	  47.00	     67.0700	McCartney	Sponge Spicules                              	               	                  	               	              	             	           	          	1             	           	1               	1               	                   	             	                    	                 	1                	              	             	                 	              	          	             	8        	                 	                      	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

  SR	                 	                 	                  	              	120	 748	B	 10	H	 4	  47.00	     81.0700	McCartney	Sponge Spicules                              	               	                  	2              	1             	             	           	          	2             	           	1               	                	                   	             	                    	                 	11               	              	             	                 	              	7         	             	32       	                 	1                     	                	              	              	from ODP Leg 120 SR Vol 2 Chapter 43 Table 1 p 835

