Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Sphenolithus distentus	Sphenolithus ciperoensis	Reticulofenestra bisecta	Discoaster deflandrei	Cyclicargolithus floridanus	Sphenolithus predistentus	Pyrocyclus orangensis	Helicosphaera intermedia	Helicosphaera euphratis	Coccolithus pelagicus	Bicolumnus ovatus	Helicosphaera sp. cf. H. orientalis	Discoaster sp.	Coronocyclus nitescens	Helicosphaera recta	Zygrhablithus bijugatus	Sphenolithus umbrellus	Sphenolithus conicus	Sphenolithus capricornutus	Clausicoccus fenestratus	Helicosphaera perch-nielseniae	Chiasmolithus altus	Triquetrorhabdulus carinatus	Reticulofenestra spp. (small)	Discoaster adamanteus	Sphenolithus dissimilis	Pontosphaera sp.	Lithocyclia angusta	Discoaster calculosus	Discoaster variabilis	Diartus hughesi	Orbulina universa	Globorotalia truncatulinoides (sin.)	Globorotalia truncatulinoides (dex.)	Globorotalia inflata (4 chambered)	Globorotalia inflata (3 chambered)	Globorotalia crassaformis	Globorotalia cf. tosaensis (dex.)	Globigerinoides trilobus	Globigerinoides conglobatus	Theocorythium trachelium dianae	Pulleniatina obliquiloculata	Neogloboquadrina pachyderma (dex.)	Neogloboquadrina dutertrei	Globorotalia tumida	Globigerinoides ruber (white)	Globigerinoides gomitulus	Globigerinita glutinata	Globigerinella aequilateralis (symmetrical)	Globigerinella aequilateralis (asymmetrical)	Globigerina bulloides	Axoprunum angelinum	Lamprocyclas maritalis maritalis	Globorotalia scitula	Globorotalia menardii	Globigerinoides sacculifer	Globigerina quinqueloba	Eucyrtidium calvertense	Globigerinita humilis          	Anthocyrtidium angulare	Comment



  SR	Early Pleistocene	                 	A. angulare RN13  	              	126	 787	B	  1	R	CC	   9.00	      2.2700	Aitchison	Radiolarians                                 	C              	G                 	                       	                      	                        	                        	                     	                           	                         	                     	                        	                       	                     	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	+                	                                    	                                    	+                                 	+                                 	                         	                                 	                        	+                          	F                              	+                           	+                                 	+                         	                   	+                            	+                        	+                      	                                           	                                            	+                    	                   	R                               	                    	+                    	+                         	+                      	                       	+                              	R                      	from ODP Leg 126 SR Chapter 21 Table 1 p 323

  SR	Early Pleistocene	                 	A. angulare RN13  	              	126	 787	B	  2	R	CC	   9.00	      7.5600	Aitchison	Radiolarians                                 	C              	G                 	                       	                      	                        	                        	                     	                           	                         	                     	                        	                       	                     	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	                 	+                                   	                                    	+                                 	+                                 	                         	                                 	+                       	                           	R                              	+                           	+                                 	+                         	                   	+                            	+                        	+                      	                                           	                                            	                     	F                  	R                               	+                   	+                    	+                         	+                      	F                      	                               	                       	from ODP Leg 126 SR Chapter 21 Table 1 p 323

  SR	Early Pleistocene	                 	A. angulare RN13  	              	126	 787	B	  3	R	CC	   9.00	     15.4800	Aitchison	Radiolarians                                 	R              	G                 	                       	                      	                        	                        	                     	                           	                         	                     	                        	                       	                     	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	+                	+                                   	+                                   	+                                 	+                                 	                         	                                 	+                       	+                          	R                              	+                           	+                                 	+                         	+                  	+                            	+                        	+                      	+                                          	+                                           	+                    	R                  	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 SR Chapter 21 Table 1 p 323

  SR	                 	                 	                  	              	126	 787	B	  4	R	CC	  11.00	     21.8200	Herman   	Planktonic Foraminifers                      	               	                  	                       	                      	                        	                        	                     	                           	                         	                     	                        	                       	                     	                 	                                   	              	                      	                   	                       	                      	                    	                          	                        	                              	                   	                            	                             	                     	                       	                	                   	                     	                     	               	+                	+                                   	+                                   	+                                 	+                                 	+                        	+                                	+                       	+                          	                               	                            	                                  	                          	                   	                             	                         	                       	                                           	                                            	                     	                   	                                	                    	                     	                          	                       	                       	                               	                       	from ODP Leg 126 SR Chapter 18 Table 1 p 273
