Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitellid gen.et sp. indet.<150 µm	Tenuitella gemma <150 µm	Tenuitella clemenciae <150 µm	Subbotinid gen. et sp. indet (with abortive chambers)	Subbotina utilisindex	Subbotina pseudoeocaena	Subbotina eocaena	Subbotina angiporoides minima	Subbotina angiporoides	Pseudohastigerina barbadoensis <150 µm	Globorotaloides suteri	Globorotaloides spp.	Globigerinatheka index	Globigerina venezuelana	Chiloguembelinid  gen. et sp. indet <150 µm	Chiloguembelinid gen. et sp. indet >150 micron	Chiloguembelina cubensis	Catapsydrax spp.	Acarinina rugosoaculeata	Acarinina primitiva	Acarinina aculeata	Subbotina pseudoeocaena compacta	Subbotina eocaenica irregularis	Subbotina eocaenica	Globigerinatheka rubriformis	Globigerina ampliapertura	Subbotina inaequispira	Subbotina corpulenta	Paragloborotalia opima nana	Globorotaloides oregonensis	Acarinina medizzai	Acarinina echinata	Globigerinatheka luterbacheri	Comment



  SR	Late Eocene      	                 	P15               	              	114	 702	A	  3	H	 6	  89.00	     22.4900	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                                   	                        	R                            	F                                                    	C                    	F                      	                 	                             	                      	                                      	C                     	C                   	A                     	C                      	C                                          	                                              	                        	C               	                        	                   	F                 	                                	F                              	                   	                            	                         	                      	                    	C                          	F                          	                  	                  	                             	most specimens broken; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Late Eocene      	                 	P15               	              	114	 702	A	  3	H	 7	  50.00	     23.6000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                                   	                        	R                            	F                                                    	C                    	                       	                 	C                            	C                     	                                      	C                     	C                   	A                     	C                      	C                                          	                                              	                        	C               	                        	                   	                  	                                	F                              	F                  	                            	                         	                      	                    	C                          	                           	                  	                  	                             	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Late Eocene      	                 	P15               	              	114	 702	A	  3	H	CC	  21.00	     24.1700	Nocchi   	Planktonic Foraminifers                      	A              	M                 	C                                   	C                       	F                            	                                                     	C                    	C                      	F                	C                            	A                     	S                                     	C                     	C                   	A                     	F                      	C                                          	F                                             	R                       	C               	                        	                   	F                 	                                	                               	                   	                            	                         	                      	                    	C                          	F                          	                  	                  	                             	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

  SR	Late Eocene      	                 	P15               	              	114	 702	A	  4	H	 1	 130.00	     24.9000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                                   	R                       	F                            	F                                                    	C                    	                       	                 	C                            	                      	                                      	F                     	                    	A                     	C                      	C                                          	                                              	                        	                	                        	                   	                  	                                	C                              	F                  	                            	                         	                      	                    	C                          	F                          	                  	                  	                             	strong etching of chambers; from ODP Leg 114 SR Chapter 12 Table 5 (back-pocket)

