Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Praeorbulina sicana,Praeorbulina glomerosa,Praeorbulina curva,Globorotalia lenguaensis,Paragloborotalia mayeri,Globorotalia plesiotumida,Globorotalia pseudomiocenica,Dentoglobigerina altispira,Truncorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,194,1192,B,  1,H,CC,  11.00,      2.4200,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                      ,                  ,                        ,                       ,                         ,                            ,                          ,A                             ,N22-N23. No tosa to tie down further.
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,M13b          ,194,1192,B,  4,H,CC,  24.00,    191.5900,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                  ,                        ,                       ,F                        ,F                           ,F                         ,                              ,N17. No Gr.tumida/trunc/tosa.
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,M13b          ,194,1192,B,  5,H,CC,  19.00,    201.3900,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                  ,                        ,                       ,F                        ,F                           ,                          ,                              ,N17. No Gr.tumida.
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,M13b          ,194,1192,B,  6,H,CC,  22.00,    210.9400,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                  ,F                       ,                       ,F                        ,                            ,                          ,                              ,N17b. No Pr.preimalis/Gr.tumida.
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,M13b          ,194,1192,B,  7,H,CC,  24.00,    211.4400,planks   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                  ,F                       ,                       ,F                        ,R                           ,                          ,                              ,N17a-b. FA P.preimalis. Gr.marg/Gr.pseudomio??
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,M13b          ,194,1192,B,  8,H,CC,  22.00,    230.0100,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                      ,                  ,                        ,                       ,R                        ,                            ,                          ,                              ,N17. No N.acostaensis
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,M13b          ,194,1192,B,  9,X,CC,  20.00,    236.9300,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                      ,                  ,                        ,                       ,R                        ,                            ,                          ,                              ,N17. Still Gr.plesiotumida
,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,M13b          ,194,1192,B, 10,X,CC,  34.00,    245.7200,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,                   ,                      ,                  ,R                       ,                       ,R                        ,                            ,                          ,                              ,N17a. No Gr.margaritae
