Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tricolocapsa papillosa,Theocorythium trachelium,Stylatractus universus,Siphocampe crustula,Siphocampe arachnea,Saturnalis circularis,Pterocanium korotnevi,Pseudocubus warreni,Phormostichoartus pitomorphus,Phormostichoartus furcaspiculata,Octopyle stenozona,Lamprocyrtis neoheteroporos,Lamprocyclas maritalis group,Lamprocyclas junonis group,Eucyrtidium teuscheri teuscheri,Eucyrtidium teuscheri orthoporus,Eucyrtidium indiensis,Eucyrtidium hexasticum,Dictyophimus crisiae,Cycladophora davisiana,Cycladophora cornutoides,Botryostrobus bramlettei tumidulus,Botryostrobus auritus/australis,Botryostrobus aquilonaris,Anthocyrtidium ophirense,Actinomma popofskii,Acrosphaera trepanata,Tholospyris capoi,Rhopalastrum profunda group,Pterocanium praetextum eucolpum,Lophospyris pentagona pentagona,Lithostrobus undulatus,Lamprocyrtis nigriniae,Eucyrtidium calvertense,Eucyrtidium acuminatum,Ceratocyrtis histricosa,Tholospyris scaphipes,Spongocore puella,Pterocorys minythorax,Pterocorys clausus,Prunopyle antarctica,Eucyrtidium infundibulum,Didymocyrtis tetrathalamus,Anthocyrtidium zanguebaricum,Anthocyrtidium nosicaae,Spirocyrtis subscalaris,Pterocanium trilobum,Nephrospyris renilla,Eucyrtidium hexacolum,Circodiscus microporus,Acrosphaera murrayana,Acanthodesmia micropora,Tricolospyris baconiana,Spongodiscus setosus,Lithostrobus hexagonalis,Gondwanaria dogieli,Actinomma haysi,Acrosphaera pseudarktios,Stichopilium bicorne,Phorticium clevei,Eucyrtidium octocolum,Botryostrobus bramlettei seriatus,Carpocanium sp.A,Phormostichoartus platycephala,Eucecryphalus gegenbaueri,Spongotrochus glacialis,Desmospyris biceps biceps,Spongaster tetras,Phormostichoartus multiseriatus,Pterocanium praetextum,Lampromitra coronata,Eucyrtidium dufresni,Amphirhopalum ypsilon,Rhizosphaera antarctica,Tricolocampe cylindrica,Eucyrtidium monumentum,Eucyrtidium anomalum,Eucecryphalus cervus,Amphirhopalum virchowi,Acanthodesmia viniculata,Lamprocyclas gamphonycha,Actinomma delicatulum,Dictyophimus infabricatus,Plectacantha cremastoplegma,Pterocanium grandiporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR2               ,NR1           ,112, 688,A,  1,H,CC,   0.00,      8.3000,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,                        ,                      ,P                  ,P                  ,P                    ,P                    ,                   ,                             ,P                               ,P                 ,                           ,P                           ,P                         ,P                              ,                                ,                     ,P                     ,P                   ,P                     ,P                       ,P                                 ,P                              ,P                        ,P                       ,                   ,P                    ,P                ,P                          ,P                              ,P                              ,P                     ,P                     ,P                      ,P                     ,P                      ,P                    ,P                ,P                    ,P                 ,P                   ,                        ,P                         ,P                           ,                       ,P                      ,P                   ,                    ,P                    ,                      ,P                    ,P                      ,P                      ,P                   ,P                       ,P                  ,               ,P                       ,P                   ,P                ,P                    ,                                 ,P               ,P                             ,P                        ,                       ,P                        ,                 ,P                              ,                      ,P                   ,                    ,P                    ,                       ,P                      ,P                     ,P                   ,P                   ,                      ,                        ,                        ,                     ,P                        ,P                          ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR2               ,NR1           ,112, 688,A,  2,H,CC,  17.00,     18.0500,De Wever ,Radiolarians                                 ,C              ,G                 ,                      ,                        ,                      ,                   ,                   ,                     ,                     ,                   ,                             ,                                ,                  ,                           ,P                           ,P                         ,P                              ,                                ,                     ,P                     ,                    ,                      ,                        ,P                                 ,P                              ,P                        ,                        ,                   ,P                    ,P                ,P                          ,P                              ,P                              ,P                     ,P                     ,P                      ,P                     ,P                      ,                     ,                 ,P                    ,P                 ,P                   ,                        ,P                         ,                            ,                       ,P                      ,P                   ,                    ,                     ,                      ,P                    ,P                      ,                       ,P                   ,P                       ,                   ,               ,P                       ,P                   ,P                ,                     ,P                                ,P               ,                              ,P                        ,                       ,                         ,                 ,                               ,                      ,                    ,                    ,                     ,                       ,                       ,                      ,                    ,                    ,P                     ,                        ,                        ,                     ,P                        ,P                          ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR2               ,NR1           ,112, 688,A,  3,H,CC,  15.00,     27.7200,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,                        ,                      ,P                  ,                   ,P                    ,P                    ,                   ,                             ,                                ,                  ,                           ,P                           ,P                         ,P                              ,                                ,P                    ,P                     ,P                   ,P                     ,P                       ,                                  ,P                              ,P                        ,P                       ,                   ,                     ,P                ,P                          ,                               ,                               ,P                     ,P                     ,P                      ,P                     ,P                      ,                     ,                 ,P                    ,P                 ,P                   ,P                       ,P                         ,                            ,                       ,P                      ,P                   ,                    ,                     ,                      ,P                    ,                       ,                       ,                    ,                        ,                   ,               ,                        ,                    ,P                ,P                    ,                                 ,P               ,P                             ,P                        ,                       ,                         ,P                ,P                              ,                      ,                    ,                    ,P                    ,                       ,                       ,                      ,P                   ,P                   ,P                     ,                        ,P                       ,P                    ,P                        ,P                          ,P                      ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,112, 688,A,  4,H,CC,  33.00,     37.1900,De Wever ,Radiolarians                                 ,C              ,G                 ,P                     ,                        ,P                     ,P                  ,P                  ,P                    ,P                    ,P                  ,                             ,P                               ,                  ,                           ,P                           ,P                         ,P                              ,                                ,                     ,                      ,P                   ,P                     ,P                       ,P                                 ,P                              ,P                        ,                        ,                   ,                     ,                 ,P                          ,P                              ,                               ,                      ,P                     ,                       ,                      ,P                      ,P                    ,                 ,P                    ,P                 ,P                   ,                        ,                          ,                            ,                       ,                       ,                    ,                    ,P                    ,                      ,P                    ,                       ,                       ,P                   ,P                       ,                   ,               ,                        ,                    ,P                ,P                    ,                                 ,                ,                              ,P                        ,                       ,                         ,                 ,                               ,                      ,                    ,                    ,P                    ,                       ,                       ,                      ,                    ,                    ,                      ,                        ,                        ,                     ,                         ,                           ,                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.204-207
