Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Globigerinoides ruber,Neogloboquadrina pachyderma,Neogloboquadrina incompta,Neogloboquadrina acostaensis,Globorotaloides hexagona,Globorotalia tosaensis,Globorotalia pumilio,Globorotalia bermudezi,Globigerinoides cyclostomus,Globigerinita glutinata,Globigerina quinqueloba,Globigerina falconensis,Globigerina calida,Globigerina bulloides,Globorotalia crassaformis crassaformis,Orbulina universa,Neogloboquadrina humerosa,Neogloboquadrina dutertrei,Neogloboquadrina blowi,Globorotalia scitula,Globorotalia obesa,Globorotalia inflata,Globorotalia hirsuta,Globigerinoides tenellus,Globigerinoides obliquus obliquus,Globigerinoides immaturus,Globigerinita uvula,Globigerinita iota,Globorotalia theyeri,Globorotalia ungulata,Globorotalia tumida,Globorotalia puncticulata,Globigerinoides sacculifer,Orbulina suturalis,Hastigerinopsis riedeli,Globigerina rubescens,Globigerinoides ruber alba,Globigerinoides quadrilobatus,Globoquadrina conglomerata,Globigerinella aequilateralis,Globigerina megastoma,Globorotalia neominutissima,Globorotalia minutissima,Beella praedigitata,Neogloboquadrina eggeri,Globorotalia ronda,Globigerinita minuta,Globigerina umbilicata,Sphaeroidinella dehiscens,Globorotalia cultrata menardii,Beella digitata,Globorotalia parkerae,Globorotalia anfracta,Globigerinoides elongatus,Comment
  SR,                 ,                 ,                  ,              ,112, 688,A,  3,H, 2,  50.00,     19.8000,Glacon   ,Planktonic Foraminifers                      ,               ,                  ,                            ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,                       ,                       ,                  ,1                    ,                                      ,1                ,                         ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 46 Table 1 p 675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  3,H, 5,  51.00,     24.3100,Glacon   ,Planktonic Foraminifers                      ,               ,                  ,                            ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,                       ,                       ,                  ,                     ,                                      ,                 ,4                        ,3                         ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 46 Table 1 p 675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  3,H,CC,  15.00,     27.7200,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,T                           ,T                    ,A                          ,A                        ,                            ,T                       ,                      ,R                   ,                      ,                           ,C                      ,                       ,F                      ,                  ,C                    ,                                      ,                 ,                         ,A                         ,F                     ,T                   ,F                 ,                    ,                    ,                        ,                                 ,                         ,                   ,F                 ,                    ,T                    ,T                  ,                         ,                          ,T                 ,                       ,F                    ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,F                      ,                  ,A                   ,                      ,                         ,F                             ,T              ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  4,H, 1, 119.00,     28.4900,Glacon   ,Planktonic Foraminifers                      ,               ,                  ,                            ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,                       ,                       ,                  ,1                    ,                                      ,                 ,                         ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 46 Table 1 p 675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  4,H,CC,  33.00,     37.1900,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,T                           ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,T                      ,                       ,                  ,                     ,                                      ,                 ,                         ,T                         ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,T                  ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  5,H, 4,  56.00,     41.8600,Glacon   ,Planktonic Foraminifers                      ,               ,                  ,                            ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,                       ,                       ,                  ,                     ,                                      ,                 ,2                        ,4                         ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 46 Table 1 p 675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  5,H,CC,  20.00,     46.5500,Ibaraki  ,Planktonic Foraminifers                      ,F              ,M                 ,T                           ,F                    ,                           ,F                        ,                            ,T                       ,                      ,F                   ,                      ,                           ,A                      ,T                      ,C                      ,                  ,F                    ,                                      ,                 ,                         ,A                         ,C                     ,T                   ,T                 ,                    ,                    ,T                       ,                                 ,                         ,                   ,                  ,                    ,                     ,C                  ,                         ,                          ,T                 ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,C                      ,                  ,                    ,                      ,                         ,T                             ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  6,H, 5,  74.00,     53.0400,Glacon   ,Planktonic Foraminifers                      ,               ,                  ,                            ,                     ,                           ,                         ,                            ,3                       ,                      ,                    ,                      ,                           ,                       ,                       ,                       ,                  ,4                    ,                                      ,                 ,                         ,5                         ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,1                            ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 46 Table 1 p 675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  6,H,CC,   9.00,     56.3000,Ibaraki  ,Planktonic Foraminifers                      ,F              ,M                 ,T                           ,R                    ,A                          ,A                        ,                            ,R                       ,                      ,F                   ,                      ,                           ,C                      ,C                      ,C                      ,                  ,C                    ,                                      ,T                ,                         ,C                         ,A                     ,T                   ,C                 ,                    ,                    ,                        ,                                 ,                         ,T                  ,T                 ,                    ,                     ,                   ,                         ,                          ,T                 ,T                      ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,R                   ,                      ,T                        ,T                             ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  7,H, 2, 145.00,     58.7500,Ibaraki  ,Planktonic Foraminifers                      ,C              ,G                 ,                            ,T                    ,C                          ,A                        ,                            ,F                       ,                      ,C                   ,                      ,                           ,F                      ,F                      ,A                      ,                  ,A                    ,T                                     ,F                ,                         ,F                         ,A                     ,R                   ,F                 ,F                   ,                    ,                        ,                                 ,                         ,T                  ,R                 ,R                   ,                     ,                   ,R                        ,T                         ,R                 ,F                      ,                     ,                          ,                             ,                          ,T                            ,                     ,C                          ,                        ,                   ,T                      ,                  ,F                   ,R                     ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  7,H,CC,  17.00,     65.9000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                            ,                     ,C                          ,T                        ,                            ,                        ,                      ,C                   ,                      ,                           ,T                      ,T                      ,C                      ,                  ,C                    ,                                      ,                 ,                         ,T                         ,T                     ,                    ,C                 ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,A                          ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  8,X,CC,  22.00,     68.7700,Ibaraki  ,Planktonic Foraminifers                      ,A              ,G                 ,                            ,                     ,A                          ,A                        ,                            ,T                       ,                      ,                    ,                      ,                           ,R                      ,C                      ,C                      ,                  ,C                    ,T                                     ,                 ,                         ,F                         ,                      ,R                   ,F                 ,                    ,                    ,                        ,                                 ,                         ,                   ,C                 ,                    ,                     ,                   ,                         ,                          ,                  ,F                      ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,T                      ,T                 ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A,  9,X,CC,  10.00,     84.3300,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,T                           ,F                    ,A                          ,A                        ,                            ,T                       ,                      ,R                   ,                      ,F                          ,F                      ,C                      ,C                      ,                  ,A                    ,                                      ,R                ,                         ,A                         ,C                     ,                    ,F                 ,                    ,                    ,T                       ,                                 ,                         ,                   ,F                 ,                    ,                     ,                   ,                         ,                          ,T                 ,F                      ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,F                      ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 10,X,CC,  22.00,     88.2800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                            ,                     ,A                          ,F                        ,                            ,                        ,                      ,                    ,                      ,                           ,C                      ,C                      ,C                      ,                  ,A                    ,T                                     ,T                ,                         ,                          ,T                     ,T                   ,C                 ,                    ,                    ,                        ,                                 ,                         ,                   ,C                 ,                    ,                     ,                   ,                         ,                          ,                  ,T                      ,                     ,                          ,                             ,                          ,                             ,                     ,T                          ,C                       ,T                  ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 11,X,CC,  33.00,    106.0800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                            ,                     ,A                          ,C                        ,                            ,T                       ,                      ,F                   ,T                     ,                           ,C                      ,C                      ,T                      ,                  ,C                    ,                                      ,                 ,                         ,                          ,                      ,                    ,C                 ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,C                      ,                     ,                          ,                             ,T                         ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
