Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Globigerinoides ruber,Neogloboquadrina pachyderma,Neogloboquadrina incompta,Neogloboquadrina acostaensis,Globorotaloides hexagona,Globorotalia tosaensis,Globorotalia pumilio,Globorotalia bermudezi,Globigerinoides cyclostomus,Globigerinita glutinata,Globigerina quinqueloba,Globigerina falconensis,Globigerina calida,Globigerina bulloides,Globorotalia crassaformis crassaformis,Orbulina universa,Neogloboquadrina humerosa,Neogloboquadrina dutertrei,Neogloboquadrina blowi,Globorotalia scitula,Globorotalia obesa,Globorotalia inflata,Globorotalia hirsuta,Globigerinoides tenellus,Globigerinoides obliquus obliquus,Globigerinoides immaturus,Globigerinita uvula,Globigerinita iota,Globorotalia theyeri,Globorotalia ungulata,Globorotalia tumida,Globorotalia puncticulata,Globigerinoides sacculifer,Orbulina suturalis,Hastigerinopsis riedeli,Globigerina rubescens,Globigerinoides ruber alba,Globigerinoides quadrilobatus,Globoquadrina conglomerata,Globigerinella aequilateralis,Globigerina megastoma,Globorotalia neominutissima,Globorotalia minutissima,Beella praedigitata,Neogloboquadrina eggeri,Globorotalia ronda,Globigerinita minuta,Globigerina umbilicata,Sphaeroidinella dehiscens,Globorotalia cultrata menardii,Beella digitata,Globorotalia parkerae,Globorotalia anfracta,Globigerinoides elongatus,Comment
  SR,                 ,                 ,                  ,              ,112, 688,A, 18,X,CC,   9.00,    161.8900,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,                            ,T                    ,                           ,T                        ,                            ,                        ,                      ,                    ,                      ,                           ,T                      ,                       ,T                      ,                  ,T                    ,                                      ,                 ,                         ,T                         ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 19,X, 3,  95.00,    173.7500,Glacon   ,Planktonic Foraminifers                      ,               ,                  ,                            ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,                       ,                       ,                  ,                     ,                                      ,                 ,1                        ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,1                         ,1                            ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 46 Table 1 p 675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 19,X,CC,  20.00,    176.9000,Ibaraki  ,Planktonic Foraminifers                      ,F              ,M                 ,                            ,T                    ,A                          ,C                        ,                            ,R                       ,                      ,R                   ,                      ,T                          ,C                      ,C                      ,C                      ,                  ,A                    ,T                                     ,R                ,T                        ,A                         ,                      ,                    ,F                 ,T                   ,                    ,                        ,                                 ,                         ,                   ,C                 ,                    ,                     ,                   ,                         ,                          ,F                 ,R                      ,R                    ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 21,X,CC,  18.00,    193.1600,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,R                           ,F                    ,A                          ,C                        ,                            ,F                       ,T                     ,T                   ,                      ,T                          ,C                      ,C                      ,C                      ,                  ,A                    ,F                                     ,                 ,T                        ,A                         ,C                     ,T                   ,F                 ,                    ,                    ,T                       ,                                 ,                         ,T                  ,T                 ,T                   ,T                    ,T                  ,F                        ,F                         ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 22,X, 1,  40.00,    198.7000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                            ,                     ,A                          ,C                        ,                            ,T                       ,                      ,C                   ,                      ,                           ,                       ,C                      ,F                      ,                  ,A                    ,                                      ,                 ,                         ,T                         ,                      ,T                   ,F                 ,                    ,                    ,                        ,                                 ,                         ,                   ,F                 ,T                   ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 27,X,CC,   8.00,    253.5400,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                            ,                     ,A                          ,T                        ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,T                      ,T                      ,                  ,C                    ,                                      ,                 ,                         ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 28,X,CC,   7.00,    257.1000,Ibaraki  ,Planktonic Foraminifers                      ,F              ,M                 ,                            ,F                    ,A                          ,A                        ,                            ,                        ,                      ,R                   ,T                     ,                           ,C                      ,C                      ,C                      ,                  ,A                    ,                                      ,T                ,T                        ,C                         ,C                     ,T                   ,C                 ,T                   ,T                   ,T                       ,T                                ,T                        ,T                  ,F                 ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 29,X,CC,  23.00,    274.4500,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                            ,                     ,A                          ,T                        ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,T                      ,                       ,                  ,T                    ,T                                     ,                 ,                         ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 32,X,CC,  17.00,    304.8300,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                            ,                     ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,T                      ,T                      ,                       ,                  ,                     ,                                      ,                 ,                         ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 33,X,CC,  16.00,    310.8800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                            ,                     ,T                          ,                         ,                            ,                        ,                      ,T                   ,                      ,                           ,T                      ,                       ,                       ,                  ,T                    ,T                                     ,                 ,                         ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 34,X,CC,   9.00,    321.8800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,                            ,                     ,A                          ,T                        ,T                           ,T                       ,T                     ,T                   ,T                     ,T                          ,T                      ,T                      ,T                      ,T                 ,C                    ,                                      ,                 ,                         ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,112, 688,A, 36,X,CC,  30.00,    341.5800,Ibaraki  ,Planktonic Foraminifers                      ,R              ,P                 ,T                           ,T                    ,                           ,                         ,                            ,                        ,                      ,                    ,                      ,                           ,                       ,                       ,                       ,                  ,                     ,                                      ,                 ,                         ,                          ,                      ,                    ,                  ,                    ,                    ,                        ,                                 ,                         ,                   ,                  ,                    ,                     ,                   ,                         ,                          ,                  ,                       ,                     ,                          ,                             ,                          ,                             ,                     ,                           ,                        ,                   ,                       ,                  ,                    ,                      ,                         ,                              ,               ,                     ,                     ,                         ,from ODP Leg 112 SR Chapter 15 Table 10 p 255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
