Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist		Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella clemenciae/munda	Tenuitella clemenciae	Tenuitella angustiumbilicata	Subbotina praeturritilina	Paragloborotalia sp.	Paragloborotalia siakensis	Paragloborotalia pseudocontinuosa	Paragloborotalia opima opima	Paragloborotalia opima nana	Globorotaloides suteri	Globorotaloides sp. 1	Globorotaloides permicus	Globoquadrina tripartita	Globoquadrina tapuriensis	Globoquadrina sellii	Globoquadrina rohri	Globoquadrina praedehiscens	Globigerina venezuelana	Globigerina sp. 2	Globigerina prasaepis	Globigerina officinalis	Globigerina euapertura	Globigerina ciperoensis	Globigerina angulisuturalis	Globigerina anguliofficinalis	Dentoglobigerina sp. aff. D. larmeui	Dentoglobigerina larmeui	Dentoglobigerina globularis	Dentoglobigerina galavisi	Dentoglobigerina baroemoenensis	Chiloguembelinid (unspecified taxon or taxa)	Catapsydrax sp.	Catapsydrax martini	Catapsydrax dissimilis ciperoensis	Cassigerinella chipolensis	Tenuitella gemma	Paragloborotalia semivera	Globigerina praebulloides occlusa	Globigerina anguliofficinalis/angulisuturalis	Dentoglobigerina globularis/altispira globosa	Dentoglobigerina galavisi/baroemoenensis	Cassigerinella globulosa	Tenuitella munda	Subbotina brazieri	Protentella sp. 1	Globorotaloides variabilis	Globorotalia pseudokugleri (ancestral form)	Globoquadrina binaiensis	Globigerinita juvenilis	Globigerina ouachitaensis	Catapsydrax dissimilis dissimilis	Globorotalia obesa	Globigerinoides primordius	Globigerinoides praeprimordius	Globigerinella? sp.	Globigerina woodi	Globigerina sp. 1	Globigerina praebulloides	Streptochilus sp.	Protentella clavaticamerata	Globorotaloides sp. 2	Globorotalia obesa/praesiphonifera	Globigerina fariasi	Protentella sp. aff. P. prolixa	Protentella sp.	Globigerinita juvenilis/uvula	Globorotalia pseudokugleri	Globigerina ciperoensis ottnangiensis	Dentoglobigerina altispira globosa	Catapsydrax unicavus	Globorotalia opima nana	Globorotalia mayeri/siakensis	Globoquadrina venezuelana	Globoquadrina dehiscens	Catapsydrax dissimilis	Globoquadrina praedehiscens/dehiscens	Globorotaloides sp. aff. G. stainforthi	Globorotaloides stainforthi	Globorotalia pseudokugleri/kugleri	Protentella navazuelensis	Globigerinita uvula	Globorotalia kugleri	Globoquadrina baroemoenensis	Globigerinoides quadrilobatus s.l.	Globigerinoides altiaperturus	Catapsydrax stainforthi	Dentoglobigerina altispira altispira	Globigerinella praesiphonifera	Globorotalia praescitula	Globigerinoides ruber s.l.	Globigerinatella insueta	Globigerinoides obliquus s.l.	Globigerinoides bisphericus	Clavatorella bermudezi	Globigerinoides diminutus	Globigerinita glutinata	Praeorbulina sicana	Globorotalia peripheroronda	Praeorbulina transitoria	Praeorbulina glomerosa curva	Globorotalia archeomenardii	Praeorbulina glomerosa glomerosa	Praeorbulina glomerosa circularis	Globorotalia praemenardii	Sphaeroidinellopsis disjuncta	Globorotaloides hexagona	Orbulina suturalis	Globorotalia peripheroacuta	Orbulina universa	Globorotalia scitula	Globorotalia praefohsi	Globorotalia fohsi fohsi	Globorotalia miozea	Globorotalia fohsi lobata	Sphaeroidinellopsis kochi	Globigerinella siphonifera	Globorotalia menardii s.l.	Globorotalia fohsi robusta	Sphaeroidinellopsis seminulina	Candeina nitida	Globigerina bulloides	Globorotalia limbata	Sphaeroidinella dehiscens	Neogloboquadrina humerosa	Neogloboquadrina dutertrei	Globorotalia ungulata	Globorotalia tumida tumida	Globorotalia tumida flexuosa	Globorotalia truncatulinoides	Globorotalia theyeri	Globoquadrina conglomerata	Globigerinoides fistulosus	Globigerinoides elongatus	Globigerinoides conglobatus	Globigerinella calida	Globorotalia crassaformis	Globorotalia tosaensis	Globigerinella adamsi    	Comment



  SR	Pleistocene      	                 	N22               	              	115	 714	A	  1	H	CC	   0.00	      2.6500	Vincent  		Planktonic Foraminifers                      	               	G                 	                           	                     	                            	                         	                    	                          	                                 	                            	                           	                      	                     	                        	                        	                         	                    	                   	                           	                       	                 	                     	                       	                      	                       	                           	                             	                                    	                        	                           	                         	                               	                                            	               	                   	                                  	                          	                	                         	                                 	                                             	                                             	                                        	                        	                	                  	                 	                          	                                           	                        	                       	                         	                                 	                  	                          	                              	                   	                 	                 	                         	                 	                           	                     	                                  	                   	                               	               	                             	                          	                                     	                                  	                    	                       	                             	                         	                       	                      	                                     	                                       	                           	                                  	                         	                   	                    	                            	+                                 	                             	                       	                                    	                              	                        	+                         	                        	                             	                           	                      	                         	+                      	                   	                           	                        	                            	                           	                                	                                 	                         	                             	                        	+                 	                           	+                	+                   	                      	                        	                   	                         	                         	+                         	+                         	                          	                              	+              	                     	                    	+                        	                         	+                         	+                    	+                         	                            	                             	+                   	+                         	                          	+?                       	+                          	+                    	+                        	                      	+                        	radiolarians rare. foraminifers embedded few. planktonic foraminifer fragments rare. from 115 SR. Chapter 45. Table 12. pages 820-823.

  SR	Pleistocene      	                 	N22               	              	115	 714	A	  2	H	CC	   0.00	     12.4300	Vincent  		Planktonic Foraminifers                      	               	G                 	                           	                     	                            	                         	                    	                          	                                 	                            	                           	                      	                     	                        	                        	                         	                    	                   	                           	                       	                 	                     	                       	                      	                       	                           	                             	                                    	                        	                           	                         	                               	                                            	               	                   	                                  	                          	                	                         	                                 	                                             	                                             	                                        	                        	                	                  	                 	                          	                                           	                        	                       	                         	                                 	                  	                          	                              	                   	                 	                 	                         	                 	                           	                     	                                  	                   	                               	               	                             	                          	                                     	                                  	                    	                       	                             	                         	                       	                      	                                     	                                       	                           	                                  	                         	                   	                    	                            	+                                 	                             	                       	                                    	                              	                        	+                         	                        	                             	                           	                      	                         	                       	                   	                           	                        	                            	                           	                                	                                 	                         	                             	+                       	                  	                           	+                	+                   	                      	                        	                   	                         	                         	+                         	+                         	                          	                              	+              	                     	                    	+                        	+                        	+                         	                     	+                         	                            	                             	+                   	+                         	                          	+                        	+                          	+                    	+                        	+?                    	                         	benthic foraminifers rare. foraminifers embedded rare. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 12. pages 820-823.

  SR	Pleistocene      	                 	N22               	              	115	 714	A	  3	H	 1	 110.00	     13.5000	Vincent  		Planktonic Foraminifers                      	               	G                 	                           	                     	                            	                         	                    	                          	                                 	                            	                           	                      	                     	                        	                        	                         	                    	                   	                           	                       	                 	                     	                       	                      	                       	                           	                             	                                    	                        	                           	                         	                               	                                            	               	                   	                                  	                          	                	                         	                                 	                                             	                                             	                                        	                        	                	                  	                 	                          	                                           	                        	                       	                         	                                 	                  	                          	                              	                   	                 	                 	                         	                 	                           	                     	                                  	                   	                               	               	                             	                          	                                     	                                  	                    	                       	                             	                         	                       	                      	                                     	                                       	                           	                                  	                         	                   	                    	                            	+                                 	                             	                       	                                    	                              	                        	+                         	                        	                             	                           	                      	                         	                       	                   	                           	                        	                            	                           	                                	                                 	                         	                             	                        	                  	                           	+                	                    	                      	                        	                   	                         	                         	+                         	+                         	                          	                              	+              	                     	                    	                         	+                        	+                         	                     	+                         	                            	                             	+                   	+                         	+?                        	                         	+                          	                     	                         	                      	                         	benthic foraminifers rare. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 12. pages 820-823.

  SR	Pleistocene      	                 	N22               	              	115	 714	A	  3	H	 2	 110.00	     15.0000	Vincent  		Planktonic Foraminifers                      	               	G                 	                           	                     	                            	                         	                    	                          	                                 	                            	                           	                      	                     	                        	                        	                         	                    	                   	                           	                       	                 	                     	                       	                      	                       	                           	                             	                                    	                        	                           	                         	                               	                                            	               	                   	                                  	                          	                	                         	                                 	                                             	                                             	                                        	                        	                	                  	                 	                          	                                           	                        	                       	                         	                                 	                  	                          	                              	                   	                 	                 	                         	                 	                           	                     	                                  	                   	                               	               	                             	                          	                                     	                                  	                    	                       	                             	                         	                       	                      	                                     	                                       	                           	                                  	                         	                   	                    	                            	+                                 	                             	                       	                                    	                              	                        	+                         	                        	                             	                           	                      	                         	+                      	                   	                           	                        	                            	                           	                                	                                 	                         	                             	+                       	                  	                           	+                	+                   	                      	                        	                   	                         	                         	+                         	+                         	                          	                              	+              	                     	                    	+                        	+                        	+                         	                     	+                         	                            	                             	+                   	+                         	+?                        	+                        	+                          	+                    	+                        	+?                    	                         	benthic foraminifers rare. radiolarians rare. sponge spicules few. foraminifers embedded rare. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 12. pages 820-823.
