Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina spinulosa	Stilostomella lepidula	Pullenia bulloides	Planulina renzi	Osangularia culter	Oridorsalis umbonatus	Nuttallides umbonifera	Lenticulina vortex	Heterolepa mexicana	Hanzawaia cushmani	Globocassidulina subglobosa	Discorbis villardeboanus	Cibicidoides kullenbergi	Cibicidoides haitensis	Chrysalogonium equisetiformis	Bulimina nuda	Bolivina tortuosa	Bolivina tectiformis	Stilostomella subspinosa	Gyroidinoides girardanus	Cibicides pseudowuellerstorfi	Cassidulina crassa	Bolivinita quadrilatera	Bolivina reticulata	Operculina sp.	Operculina gomezi	Nummulites sp.	Nummulites fabianii group	Heterostegina sp.	Foraminifers (small)	Fabiania sp.	Discocyclina sp.	Amphistegina sp.	Orbitolites sp.	Alveolina sp.	Stilostomella nuttalli	Pleurostomella spp.	Osangularia cf. O. bengalensis	Martinottiella variabilis	Gyroidinoides planulatus	Cibicidoides subspiratus	Cassidulinoides cornuta	Bulimina semicostata	Bulimina miolaevis	Bulimina alazanensis	Bolivinopsis gryzbowski	Bolivina pseudoplicata	Bolivina cf. B. pseudoplicata (fine ornament)	Alabamina sp.	Siphonodosaria modesta	Pullenia coryelli	Uvigerina subproboscidea	Uvigerina porrecta	Siphonina sp.	Saracenaria triangularis	Orthomorphina rohri	Nodosaria cf. N. stiliformis	Cibicides vortex	Anomalinoides alabamensis	Valvulineria sp.	Siphonina tenuicarinata	Pullenia quinqueloba	Frondicularia sp.	Cibicides laurisae	Cassidulina sp.	Bolivina striatocola	Bolivina pukeuriensis	Bolivina arta	Uvigerina pigmea	Cibicides lobatulus	Karreriella bradyi	Gyroidinoides altiformis	Vulvulina pennatula	Bulimina macilenta	Uvigerina proboscidea	Trifarina pigmea	Melonis affinis	Lenticulina cf. L. cibaoensis	Cibicidoides cf. C. havanensis	Anomalinoides semicribratus	Anomalinoides globulosus	Textularia mexicana	Melonis barleeanus	Cibicidoides sp. (turbinate)	Bulimina glomarchallengeri	Comment



  SR	Early Miocene    	                 	                  	              	115	 714	A	 20	X	CC	   0.00	    182.1300	Boersma  	Benthic Foraminifers                         	               	M                 	                   	R                     	+                 	+              	                  	                     	                      	+                 	                   	+                 	R                          	                        	+                       	                      	                             	             	T                	                    	                        	                        	                             	                  	+                      	                   	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	T                  	                              	T                        	                        	                        	                       	                    	                  	                    	                       	F/C                   	                                             	             	                      	                 	                        	                  	             	                        	                   	                            	                	                         	                	                       	                    	                 	                  	               	F/C                 	                     	             	                	                   	T                 	                        	+                  	                  	+                    	                	+              	                             	                              	                           	                        	                   	                  	+                           	+                         	from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Early Miocene    	                 	                  	              	115	 714	A	 21	X	CC	  17.00	    185.6400	Boersma  	Benthic Foraminifers                         	               	P                 	+                  	T                     	                  	T              	                  	                     	                      	                  	                   	                  	T                          	                        	                        	                      	                             	+            	                 	                    	                        	+                       	                             	                  	                       	+                  	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	T                  	                              	                         	                        	                        	                       	                    	                  	                    	                       	F                     	                                             	             	                      	                 	                        	                  	             	                        	                   	                            	                	                         	                	                       	                    	                 	                  	               	F                   	                     	             	                	+                  	                  	                        	                   	                  	                     	                	R              	                             	                              	                           	                        	                   	                  	                            	                          	from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Early Miocene    	                 	                  	              	115	 714	A	 22	X	 1	 120.00	    195.6000	Boersma  	Benthic Foraminifers                         	               	P                 	                   	R                     	                  	               	                  	                     	+                     	R                 	                   	R                 	F/C                        	                        	                        	                      	                             	+            	                 	                    	                        	F                       	+                            	F                 	                       	+                  	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	T                  	                              	                         	                        	                        	                       	                    	                  	T                   	+                      	F/C                   	                                             	             	                      	                 	+                       	                  	             	                        	                   	                            	                	                         	                	                       	                    	                 	                  	               	                    	                     	             	                	+                  	                  	                        	                   	                  	                     	                	               	                             	                              	                           	+                       	                   	+                 	                            	                          	Redeposited benthic foraminifers present. from 115 SR. Chapter 20. Table 5. pages 328-330.

  SR	Early Miocene    	                 	                  	              	115	 714	A	 22	X	 2	 120.00	    197.1000	Boersma  	Benthic Foraminifers                         	               	P                 	+                  	T                     	                  	+              	+                 	                     	                      	                  	                   	                  	F                          	                        	                        	                      	                             	             	                 	                    	                        	                        	                             	                  	                       	F/C                	              	                 	              	                         	                 	                    	            	                	                	               	             	                      	T                  	                              	                         	                        	                        	+                      	                    	                  	+                   	+                      	F/C                   	                                             	             	                      	                 	                        	                  	             	                        	+                  	                            	                	                         	                	                       	                    	                 	                  	               	                    	                     	             	                	+                  	                  	                        	+                  	                  	                     	+               	               	                             	                              	                           	                        	+                  	                  	                            	                          	from 115 SR. Chapter 20. Table 5. pages 328-330.
