Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera rotula	Sphenolithus spp.	Reticulofenestra pseudoumbilica(5-7microns)	Reticulofenestra pseudoumbilica (>7microns)	Reticulofenestra minuta	Reticulofenestra haqii	Pseudoemiliania lacunosa	Gephyrocapsa muellerae	Florisphaera profunda	Discoaster triradiatus	Discoaster pentaradiatus	Discoaster kugleri	Discoaster asymmetricus	Calcidiscus tropicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Reticulofenestra minutula	Gephyrocapsa spp. (small)	Helicosphaera carteri	Discoaster surculus	Discoaster spp.	Discoaster brouweri	Coccolithus pelagicus (with bar)	Coccolithus pelagicus	Syracosphaera spp.	Pseudoemiliania ovata	Helicosphaera sellii	Umbilicosphaera hulburtiana	Helicosphaera carteri var. walichii	Cyclolithus annulus	Pontosphaera multipora	Oolithotus fragilis	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Umbilicosphaera sibogae var. sibogae	Syracosphaera pulchra	Reticulofenestra asanoi	Umbellosphaera tenuis	Gephyrocapsa large	Umbilicosphaera sibogae var. foliosa	Reticulofenestra spp.	Pontosphaera discopora	Pontosphaera japonica	Scapholithus fossilis	Rhabdosphaera clavigera var. stylifera	Helicosphaera inversa	Scyphosphaera spp.	Rhabdosphaera clavigera	Emiliania huxleyi	Ceratolithus cristatus	Ceratolithus cristatus var. telesmus	Gephyrocapsa ericsonii	Holodiscolithus macroporus	Comment



  IR	Quaternary       	Quaternary       	NN21A             	NN21A         	190	1176	A	  1	H	CC	  20.00	      7.4000	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	                        	C                     	A                    	                      	                        	                  	                       	                    	                      	C                     	F                        	C                        	F                    	                   	               	                   	F                               	                     	C                 	F                    	                    	                           	F                                  	                   	                      	                   	A                    	                         	C                                   	F                    	                       	C                    	                  	F                                   	                     	                      	                     	                     	R                                     	                     	                  	F                      	D                	                      	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	190	1176	A	  2	H	CC	  17.00	     16.4800	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	F                       	C                     	A                    	                      	                        	                  	                       	                    	                      	C                     	                         	A                        	F                    	                   	               	                   	F                               	                     	                  	                     	                    	F                          	                                   	                   	                      	                   	A                    	F                        	F                                   	                     	                       	F                    	                  	F                                   	C                    	                      	                     	F                    	                                      	                     	                  	F                      	A                	F                     	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	190	1176	A	  3	H	CC	  22.00	     26.0600	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	                        	C                     	A                    	                      	                        	                  	                       	                    	                      	F                     	                         	D                        	F                    	                   	               	                   	                                	                     	F                 	                     	                    	F                          	R                                  	                   	                      	                   	C                    	                         	F                                   	F                    	                       	F                    	                  	F                                   	                     	                      	F                    	                     	                                      	                     	                  	                       	C                	R                     	                                    	                      	                          	       

  IR	Pleistocene      	Pleistocene      	NN21              	NN21          	190	1176	A	  4	H	CC	  23.00	     35.8500	nannos   	Nannofossils                                 	C              	G                 	                      	                 	                                           	                                           	                       	                      	                        	C                     	A                    	                      	                        	                  	                       	                    	                      	C                     	                         	A                        	F                    	                   	R              	                   	R                               	R                    	R                 	R                    	                    	                           	R                                  	F                  	                      	                   	A                    	F                        	F                                   	R                    	                       	F                    	C                 	F                                   	                     	                      	                     	                     	R                                     	                     	                  	                       	C                	                      	                                    	                      	F                         	       
