Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Discoaster saipanensis	Discoaster barbadiensis	Dictyococcites bisectus	Cribrocentrum reticulatum	Chiasmolithus grandis	Pemma papillatum	Chiasmolithus oamaruensis	Neococcolithes minutus	Discoaster nodifer	Discoaster lodoensis	Pemma basquensis	Sphenolithus pseudoradians	Coccolithus eopelagicus	Sphenolithus radians	Helicosphaera seminulum	Ericsonia formosa	Zygrhablithus bijugatus	Coccolithus pelagicus	Isthmolithus recurvus	Pedinocyclus larvalis	Discoaster multiradiatus	Peritrachelina joidesa	Helicosphaera reticulata	Hayella situliformis	Helicosphaera euphratis	Dictyococcites hesslandii	Comment



  IR	                 	                 	                  	CP15b         	171	1053	A	  1	H	CC	  20.00	      9.7800	Watkins  	Nannofossils                                 	A              	M                 	+                        	+                     	                       	+                      	                         	                     	                	                         	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	+                    	                     	                        	                      	                        	+                   	+                      	+                        	       

  IR	                 	Late Eocene      	                  	CP15b         	171	1053	A	  2	H	 1	  66.00	     10.1600	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	+                      	                         	                     	+               	+                        	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	No D. barbadiensis, very top of CP15.

  IR	                 	Late Eocene      	                  	CP15b         	171	1053	A	  2	H	 3	  66.00	     13.1600	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	+                      	                         	                     	+               	                         	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	                     	                     	                        	                      	                        	                    	                       	                         	No Cr. reticulatum

  IR	                 	                 	                  	CP15b         	171	1053	A	  2	H	CC	  29.00	     19.5700	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	+                      	                         	                     	                	                         	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	+                    	                     	                        	+                     	+                       	+                   	                       	                         	1 specimen of C. reticulatum observed - believed to be reworked.

  IR	                 	Late Eocene      	                  	CP15b         	171	1053	A	  3	H	 1	  67.00	     19.6700	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	+                      	                         	                     	+               	+                        	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	+                    	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15b         	171	1053	A	  3	H	 5	  67.00	     25.6700	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	+                      	                         	                     	+               	+                        	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	+                    	                     	                        	                      	                        	                    	                       	                         	       

  IR	                 	Late Eocene      	                  	CP15b         	171	1053	A	  3	H	 6	  67.00	     27.1700	Watkins  	Nannofossils                                 	A              	G                 	+                        	+                     	+                      	+                      	                         	                     	+               	                         	                      	                  	                    	                	                          	                       	                    	                       	                 	                       	                     	+                    	                     	r                       	                      	                        	                    	                       	                         	       

