Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera spp.	Scyphosphaera sp.	Reticulofenestra spp. (small - medium)	Pseudoemiliania lacunosa	Gephyrocapsa spp. (small)	Emiliania ovata	Discoaster spp. (fragments)	Cyclolithus annulus	Coccolithus pataecus	Calcidiscus leptoporus	Rhabdosphaera stylifera	Rhabdosphaera clavigera	Oolithotus fragilis	Helicosphaera kamptneri	Discoaster spp. (6 rays)	Coccolithus pelagicus	Calcidiscus macintyrei	Discoaster ono	Helicosphaera spp.	Discoaster sp. A	Discoaster pentaradiatus	Discoaster brouweri	Thoracosphaera spp.	Scyphosphaera sp. (fragment)	Scyphosphaera pulcherrima	Helicosphaera sellii	Discoaster triradiatus	Discoaster stellulus	Ceratolithus telesmus	Ceratolithus cristatus	Pontosphaera spp.	Thoracosphaera saxea	Scapholithus fossilis	Helicosphaera pavimentum	Helicosphaera hyalina	Hayaster perplexus	Ceratolithus spp.	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Pontosphaera japonica	Holodiscolithus spp.	Discoaster surculus	Thoracosphaera heimii	Scyphosphaera galeana	Scyphosphaera apsteinii	Helicosphaera inversa	Ceratolithus rugosus	Emiliania huxleyi	Comment



  SR	Pleistocene      	Holocene         	CN15              	              	135	 838	A	  1	H	 3	  58.00	      3.5800	Styzen   	Nannofossils                                 	               	                  	L                   	A                	                                      	                        	X                        	               	                           	F                  	                    	R                     	M                      	M                      	C                  	C                      	                        	                     	                      	              	                  	                	                        	                   	M                  	                            	                         	                    	                      	                    	                     	                      	                 	S                   	F                    	S                       	M                    	M                 	                 	X                    	L                        	R                    	                    	                   	                     	                     	                       	F                    	                    	S                	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pleistocene      	Holocene         	CN15              	              	135	 838	A	  2	H	 4	  98.00	      9.1800	Styzen   	Nannofossils                                 	               	                  	W                   	A                	                                      	                        	X                        	               	                           	M                  	R                   	M                     	C                      	M                      	L                  	L                      	                        	                     	                      	              	                  	                	                        	                   	F                  	                            	                         	                    	                      	                    	                     	                      	S                	S                   	F                    	F                       	F                    	F                 	                 	X                    	A                        	                     	                    	                   	R                    	                     	                       	S                    	                    	R                	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 838	A	  2	H	CC	  17.00	     13.1200	Styzen   	Nannofossils                                 	               	                  	X                   	W                	                                      	X                       	X                        	X              	R                          	S                  	R                   	A                     	V                      	L                      	A                  	L                      	R                       	                     	                      	              	                  	                	                        	R                  	L                  	S                           	                         	                    	                      	                    	S                    	F                     	L                	L                   	L                    	F                       	F                    	C                 	                 	X                    	                         	S                    	A                   	                   	S                    	F                    	F                      	L                    	R                   	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200

  SR	Pleistocene      	                 	CN14a             	              	135	 838	A	  3	H	 6	  38.00	     21.0800	Styzen   	Nannofossils                                 	               	                  	W                   	L                	                                      	W                       	X                        	X              	                           	F                  	F                   	A                     	A                      	M                      	L                  	A                      	                        	                     	                      	              	                  	                	                        	                   	M                  	F                           	                         	                    	                      	                    	                     	R                     	C                	S                   	C                    	F                       	L                    	C                 	                 	R                    	R                        	S                    	                    	                   	R                    	                     	                       	                     	                    	                 	from ODP Leg 135 Chapter 13 Table 7 p. 200
