Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Henryhowella sp.,Buntonia mackenziei,Bradleya dictyon,Bairdia sp.,Comment
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,159, 960,A, 10,R, 4,  21.00,     83.0100,Guernet  ,Ostracodes                                   ,               ,                  ,                ,+                  ,+               ,+          ,Identified valves = 3. Total valves = 3. From Leg 159SR Ch 38 Table 2
,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,159, 960,A, 12,R, 1,  16.00,     97.7600,Guernet  ,Ostracodes                                   ,               ,                  ,+               ,                   ,                ,           ,Identified valves = 1. Total valves = 1. From Leg 159SR Ch 38 Table 2
,,,,,,,,,,,,,,,,,,,,,
