Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys peregrina	Ommatartus sp C	Lychnocanoma grande	Eucyrtidium cienkowskii	Eucyrtidium biconicum	Dictyophimus splendens	Ommatartus sp D	Stichocorys delmontensis	Spongoplegma churchii	Spongoplegma antarcticum	Stylacontarium acquilonium	Stylatractus universus	Comment



  IR	                 	                 	                  	              	189	1172	C	  1	H	CC	   7.00	      9.4700	rads     	Radiolarians                                 	R              	M                 	                     	               	                   	                       	                     	                      	               	                        	                     	                        	R                         	                      	       

  IR	                 	                 	                  	              	189	1172	C	  2	H	CC	   9.00	     19.0600	rads     	Radiolarians                                 	C              	M                 	                     	               	                   	                       	                     	                      	               	                        	                     	F                       	R                         	T                     	       

  IR	                 	                 	                  	              	189	1172	C	  3	H	CC	  12.00	     28.4000	rads     	Radiolarians                                 	F              	M                 	                     	               	                   	                       	F                    	                      	               	                        	                     	R                       	R                         	                      	       

  IR	                 	                 	                  	              	189	1172	C	  4	H	CC	  22.00	     37.9900	rads     	Radiolarians                                 	F              	M                 	                     	               	                   	                       	R                    	                      	               	                        	                     	                        	R                         	                      	       

  IR	                 	                 	                  	              	189	1172	C	 13	H	CC	  11.00	    123.8200	rads     	Radiolarians                                 	C              	G                 	C                    	T              	F                  	R                      	R                    	R                     	               	R                       	F                    	F                       	                          	                      	       

  IR	                 	                 	                  	              	189	1172	C	 14	H	CC	  12.00	    133.1200	rads     	Radiolarians                                 	C              	G                 	R                    	               	F                  	T                      	R                    	T                     	               	                        	                     	                        	                          	                      	       

  IR	                 	                 	                  	              	189	1172	C	 15	H	CC	   0.00	    141.9300	rads     	Radiolarians                                 	C              	G                 	C                    	               	F                  	T                      	T                    	T                     	               	F                       	                     	                        	                          	                      	       

  IR	                 	                 	                  	              	189	1172	C	 16	H	CC	  14.00	    152.2900	rads     	Radiolarians                                 	C              	G                 	F                    	               	                   	R                      	C                    	T                     	F              	                        	                     	                        	                          	                      	       

  IR	                 	                 	                  	              	189	1172	C	 17	H	CC	   0.00	    161.3400	rads     	Radiolarians                                 	C              	G                 	C                    	               	                   	F                      	C                    	T                     	               	                        	                     	                        	                          	                      	       

  IR	                 	                 	                  	              	189	1172	C	 18	H	CC	  23.00	    171.3400	rads     	Radiolarians                                 	C              	G                 	R                    	F              	R                  	T                      	F                    	R                     	               	                        	                     	                        	                          	                      	       

