Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1465B-2R-1-A,0,35,65.9,66.25,dolomitic,rudstone,6,dolomitic rudstone,lithified,5,10YR 7/4 (very pale brown),granule,8,coral (branching),Large branching corals Some branches with algal crusts,red algae,Red algae as branching and crusts,bivalve,Calcitic bivalves molds of bivalves,,,,mold,,,,,,,,"Dolomitic RUDSTONE. Corals with algal crusts, poorly-sorted. Large benthic foraminifera.",,,,359,U1465,B,2,R,1,A
359-U1465B-3R-1-A,0,69,75.6,76.29,dolomitic,rudstone,6,dolomitic rudstone,lithified,5,10YR 8/3 (very pale brown),granule,8,red algae,Debris,coral (branching),Debris,gastropod,,,,,mold,,,,,,,,Dolomitic RUDSTONE. Other skeletal grains: benthic foraminifera,,,,359,U1465,B,3,R,1,A
359-U1465B-4R-1-A,0,56,80.3,80.86,dolomitic,rudstone,6,dolomitic rudstone,lithified,5,10YR 8/2 (very pale brown),granule,8,coral (branching),Large branching corals Some branches with algal crusts,red algae,Debris,gastropod,,,,,mold,,,,,,,,Dolomitic RUDSTONE. Red algae nodules and branching. Gastropods molds (C).,,,,359,U1465,B,4,R,1,A
359-U1465B-5R-1-A,0,57,85.3,85.87,dolomitic,rudstone,6,dolomitic rudstone,lithified,5,10YR 8/2 (very pale brown),granule,8,red algae,,coral (branching),,gastropod,,,,,mold,,,,,,,,Dolomitic RUDSTONE. Branching coral with encrusting of red algae,,,,359,U1465,B,5,R,1,A
359-U1465B-6R-1-A,0,14,90.0,90.14,dolomitic,rudstone,6,dolomitic rudstone,lithified,5,10yr 8/2 (very pale brown),granule,8,red algae,,foraminifera (benthic),,gastropod,,,,,mold,,,,,,,,Dolomitic RUDSTONE. Medium- to very-coarse. Recrystallization of bioclastic grains. Poorly-sorted,,,,359,U1465,B,6,R,1,A
359-U1465B-7R-1-A,0,10,95.0,95.1,dolomitic,rudstone,6,dolomitic rudstone,lithified,5,10YR 8/2 (very pale brown),granule,8,red algae,,,,,,,,,mold,,,,,,,,"RUDSTONE. Medium- to very coarse-grained, poorly-sorted.",,,,359,U1465,B,7,R,1,A
359-U1465B-8R-1-A,0,5,100.0,100.05,dolomitic,grainstone,4,dolomitic grainstone,lithified,5,10YR 8/2 (very pale brown),medium sand,5,,Bioclastic grains,foraminifera (benthic),,red algae,,,,,mold,,,,,,,,"Dolomitic GRAINSTONE. Medium- to coarse-grained, bioclastic with benthic foraminifera, red algae and rare coral fragments.",,,,359,U1465,B,8,R,1,A
359-U1465B-9R-1-A,0,6,104.7,104.76,dolomitic,grainstone,4,dolomitic grainstone,lithified,5,10YR 8/2 (very pale brown),medium sand,5,red algae,branching,gastropod,,,,,,,mold,,,,,,,,"Dolomitic GRAINSTONE. Medium- to coarse-grained, with red algae and gastropods",,,,359,U1465,B,9,R,1,A
359-U1465B-10R-1-A,0,11,114.4,114.51,dolomitic,grainstone,4,dolomitic grainstone,lithified,5,10YR 8/2 (very pale brown),medium sand,5,red algae,branching,gastropod,,,,,,,mold,,,,,,,,"Dolomitic GRAINSTONE. Medium- to coarse-grained, poorly- to moderately-sorted, with red algae and gastropods. Red algae is fragmented and appears branching in some cases, possible encrusting.",,,,359,U1465,B,10,R,1,A
359-U1465B-12R-1-A,0,5,128.8,128.85,dolomitic,grainstone,4,dolomitic grainstone,lithified,5,10YR 8/2 (very pale brown),medium sand,5,,Bioclastic grains undifferentiated,red algae,,,,,,,mold,,,,,,,,"Dolomitic GRAINSTONE. Medium- to coarse-grained, well-sorted. Bioclasts are recrystallized and highly fragmented. Red algae fragments are concentrated at 2.5 cm.",,,,359,U1465,B,12,R,1,A
359-U1465B-13R-1-A,0,29,133.8,134.09,dolomitic,grainstone,4,dolomitic grainstone,lithified,5,10YR 8/2 (very pale brown),medium sand,5,,Bioclastic grains undifferentiated,foraminifera (large benthic),,red algae,Red algae: branching and possible encrusting,,,,mold,,,,,,,,"Dolomitic GRAINSTONE. Medium- to coarse-grained. Bioclasts are recrystallized and highly fragmented. Well-sorted. Bivalves, planktic foraminifera (C).",,,,359,U1465,B,13,R,1,A
359-U1465B-14R-1-A,0,14,138.5,138.64,dolomitic,grainstone,4,dolomitic grainstone,lithified,5,10YR 8/2 (very pale brown),medium sand,5,,Bioclastic grains undifferentiated,foraminifera (large benthic),Heterostegina sp.,red algae,,,,,mold,,,,,,,,"Dolomitic GRAINSTONE. Medium to coarse-grained, poorly-sorted. Bioclasts are recrystallized. Black grains (P).",,,,359,U1465,B,14,R,1,A
359-U1465B-15R-1-A,0,13,143.5,143.63,dolomitic,rudstone,6,dolomitic rudstone,lithified,5,10YR 8/2 (very pale brown),granule,8,foraminifera (large benthic),"Heterostegina, common, larger than 1cm",,Undifferentiated bioclastic grains,,,,,burrows,mold,,,slight,2.0,,,,Dolomitic RUDSTONE. of large benthic foraminifera slightly bioturbated. Grains up to 1 cm. Poorly-sorted.,,,,359,U1465,B,15,R,1,A
359-U1465B-16R-1-A,0,10,148.2,148.3,dolomitic,rudstone,6,dolomitic rudstone,lithified,5,10YR 8/2 (very pale brown),granule,8,foraminifera (large benthic),"Heterostegina, Lepidocyclina",,Undifferentiated bioclastic grains,,,,,,mold,,,,,,,,Dolomitic RUDSTONE. Poorly-sorted of large benthic foraminifera slightly bioturbated. Grains up to 1 cm.,,,,359,U1465,B,16,R,1,A
359-U1465B-17R-1-A,0,16,153.2,153.36,dolomitic,rudstone,6,dolomitic rudstone,lithified,5,10YR 8/2 (very pale brown),granule,8,foraminifera (large benthic),"Heterostegina, Rotalia",,Undifferentiated bioclastic grains,,,,,,mold,,,,,,,,"Dolomitic RUDSTONE. Medium- to coarse-grained, large benthic foraminifera (A). Poorly-sorted. Highly recrystallized and cemented.",,,,359,U1465,B,17,R,1,A
359-U1465B-17R-1-A,16,49,153.36,153.69,dolomitic,grainstone,4,dolomitic grainstone,lithified,5,10YR 8/2 (very pale brown),coarse sand,6,foraminifera (large benthic),Heterostegina,gastropod,Mold,bivalve,,,,,mold,,,,,,,,Dolomitic GRAINSTONE. Poorly-sorted. Large benthic foraminifera (A).,,,,359,U1465,B,17,R,1,A
