Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,Unnamed: 23
320-U1333B-1H-1-A,320,U1333,B,1,1-1,H,1,A,0,150,0.0,1.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 3/3,,,
320-U1333B-1H-2-A,320,U1333,B,1,1-2,H,2,A,0,89,1.5,2.39,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 3/3,,,
320-U1333B-1H-2-A,320,U1333,B,1,1-2,H,2,A,89,150,2.39,3.0,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,50,soft,10YR 4/4,,,
320-U1333B-1H-2-A,320,U1333,B,1,1-2,H,2,A,89,150,2.39,3.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/4,,,
320-U1333B-1H-3-A,320,U1333,B,1,1-3,H,3,A,0,150,3.0,4.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,50,soft,10YR 4/4,,,
320-U1333B-1H-3-A,320,U1333,B,1,1-3,H,3,A,0,150,3.0,4.5,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/4,,,
320-U1333B-1H-4-A,320,U1333,B,1,1-4,H,4,A,0,150,4.5,6.0,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,50,soft,10YR 4/4,,,
320-U1333B-1H-4-A,320,U1333,B,1,1-4,H,4,A,0,150,4.5,6.0,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/4,,,
320-U1333B-1H-5-A,320,U1333,B,1,1-5,H,5,A,0,148,6.0,7.48,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,50,soft,10YR 4/4,,,
320-U1333B-1H-5-A,320,U1333,B,1,1-5,H,5,A,0,148,6.0,7.48,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/4,,,
320-U1333B-1H-CC-A,320,U1333,B,1,1-CC,H,CC,A,0,18,7.48,7.66,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,50,soft,10YR 4/4,,,
320-U1333B-1H-CC-A,320,U1333,B,1,1-CC,H,CC,A,0,18,7.48,7.66,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/4,,,
320-U1333B-2H-1-A,320,U1333,B,2,2-1,H,1,A,0,150,7.7,9.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 6/4,,,
320-U1333B-2H-1-A,320,U1333,B,2,2-1,H,1,A,0,150,7.7,9.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 8/2,,,
