dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Description of where smear slide taken,Sand texture [%],Silt texture [%],Clay texture [%],Total texture [%],Actinolite abundance,Tephra ,Siliciclastic ,Detrital carbonate ,Biogenic carbonate ,Glauconite abundance,Clay minerals abundance ,Opaques abundance ,Feldspar abundance ,Quartz abundance ,Glass abundance ,Halite abundance ,"Calcite, allogenic  abundance ",Hornblende abundance ,Pyroxene abundance ,Chalcedony abundance ,Biotite abundance ,Chlorite abundance,Other mineral,Other mineral ,Microfossil abundance ,Diatoms abundance ,Calcareous nannofossils abundance ,Foraminifera abundance ,Radiolarians abundance ,Sponge spicule fragments abundance ,"Silicoflagellate, ebridian, actiniscidian abundance ",Microfossil comment,Macrofossil (fauna) abundance ,Macrofossil (fauna) comment,Rock fragment - sedimentary lithic ,Rock fragment - volcanic lithic ,Rock fragment - plutonic lithic ,Rock fragment - metamorphic lithic ,Prefix,Principal lithology,Suffix,Complete name,General smear slide comment,File Data,Ship File Links,Shore File Links
,344-U1412A-1H-3-A 122/122-SED,344,U1412,A,1,1-3,H,3,A,122/122-SED,0,0,4.22,4.22,,,,,,,R [A66],D [A66],C [A66],A [A66],C [A66],D [A66],C [A66],A [A66],C [A66],R [A66],,C [A66],C [A66],C [A66],C [A66],C [A66],,,,A [A66],C [A66],A [A66],A [A66],C [A66],R [A66],,,,,A [A66],C [A66],C [A66],,,,,,,,,
,344-U1412A-1H-3-A 77/77-SED,344,U1412,A,1,1-3,H,3,A,77/77-SED,0,0,3.77,3.77,,,,,,,R [A66],D [A66],C [A66],A [A66],R [A66],D [A66],C [A66],A [A66],C [A66],R [A66],,C [A66],R [A66],R [A66],C [A66],C [A66],,,,A [A66],C [A66],A [A66],A [A66],C [A66],D [A66],,,,,A [A66],R [A66],C [A66],,,,,,,,,
,344-U1412A-2H-1-A 79/79-SS78      ,344,U1412,A,2,2-1,H,1,A,79/79-SS78      ,0,0,6.69,6.69,,,,,,,R [A66],M [A66],C [A66],C [A66],C [A66],D [A66],C [A66],A [A66],C [A66],R [A66],,C [A66],C [A66],C [A66],C [A66],C [A66],,,,C [A66],C [A66],R [A66],D [A66],R [A66],R [A66],,,,,A [A66],C [A66],A [A66],,,,,,,,,
,344-U1412A-2H-5-A 94/94-SS79      ,344,U1412,A,2,2-5,H,5,A,94/94-SS79      ,0,0,12.84,12.84,,,,,,,R [A66],M [A66],,R [A66],,M [A66],R [A66],R [A66],R [A66],R [A66],,,,,,,,,,R [A66],C [A66],C [A66],A [A66],,A [A66],,,,,C [A66],R [A66],R [A66],,,,,,,,,
,344-U1412A-2H-6-A 30/30-SS,344,U1412,A,2,2-6,H,6,A,30/30-SS,0,0,13.72,13.72,,,,,,,D [A66],A [A66],,,,R [A66],C [A66],A [A66],C [A66],D [A66],,,C [A66],C [A66],,,,,,,,,,,,,,,,R [A66],A [A66],C [A66],,,,,,,,,
,344-U1412A-2H-7-A 100/100-SS80      ,344,U1412,A,2,2-7,H,7,A,100/100-SS80      ,0,0,15.26,15.26,,,,,,,C [A66],M [A66],R [A66],C [A66],C [A66],D [A66],C [A66],A [A66],C [A66],C [A66],,R [A66],R [A66],R [A66],,,,,,C [A66],C [A66],A [A66],A [A66],R [A66],R [A66],R [A66],,,,C [A66],R [A66],A [A66],,,,,,,,,
,344-U1412A-3H-2-A 82/82-SS,344,U1412,A,3,3-2,H,2,A,82/82-SS,0,0,17.72,17.72,,,,,,,C [A66],D [A66],C [A66],A [A66],C [A66],D [A66],C [A66],A [A66],C [A66],C [A66],,R [A66],C [A66],C [A66],R [A66],R [A66],,,,A [A66],C [A66],A [A66],A [A66],C [A66],R [A66],,,,,C [A66],C [A66],A [A66],,,,,,,,,
,344-U1412A-3H-3-A 89/89-SS,344,U1412,A,3,3-3,H,3,A,89/89-SS,0,0,19.29,19.29,,,,,,,C [A66],D [A66],R [A66],A [A66],C [A66],A [A66],C [A66],A [A66],C [A66],C [A66],R [A66],R [A66],C [A66],C [A66],C [A66],C [A66],,serpentine,R [A66],A [A66],R [A66],A [A66],A [A66],R [A66],R [A66],,,,,C [A66],C [A66],A [A66],,,,,,,,,
,344-U1412A-3H-5-A 104/104-SS,344,U1412,A,3,3-5,H,5,A,104/104-SS,0,0,22.44,22.44,,,,,,,C [A66],A [A66],R [A66],A [A66],C [A66],C [A66],A [A66],A [A66],C [A66],C [A66],,R [A66],R [A66],C [A66],C [A66],C [A66],,,,A [A66],,C [A66],D [A66],,,,,,,C [A66],,A [A66],,,,,,,,,
,344-U1412A-3H-5-A 32/32-SS,344,U1412,A,3,3-5,H,5,A,32/32-SS,0,0,21.72,21.72,,,,,,,A [A66],D [A66],,,C [A66],A [A66],C [A66],A [A66],C [A66],A [A66],,,C [A66],R [A66],C [A66],C [A66],,serpentine,R [A66],,,,,,,,,,,R [A66],R [A66],A [A66],,,,,,,,,
