Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
349-U1431A-1H-1-A,0,38,0.0,0.38,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 4/1 (dark gray),very slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,very well [BP01],,,,,,,,,,100,,,Homogeneous clay sediment throughout,,,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well [BP01],absent/fresh [AI],0,,,,349,U1431,A,1,H,1,A,
349-U1431A-1H-10-A,0,14,4.5,4.64,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,gradational,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,10,A,
349-U1431A-1H-10-A,14,39,4.64,4.89,silty [Leg339],clay [Leg339],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,thick bed [B01],lamination,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,10,A,
349-U1431A-1H-11-A,0,39,5.0,5.39,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,thick bed [B01],lamination,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,11,A,
349-U1431A-1H-12-A,0,11,5.5,5.61,silty [Leg339],clay [Leg339],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,planar,curved,thick bed [B01],,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,12,A,
349-U1431A-1H-12-A,11,38,5.61,5.88,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,80,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,clayey silt [MMK88],,clayey silt ,clayey silt ,20,100,,,,,,thick bed [B01],lamination,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,12,A,
349-U1431A-1H-13-A,0,39,6.0,6.39,,clay [Leg339],with silt [Leg339],clay ,clay with silt ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,silt [W22_1],2,,,,,,,,,,,100,,,,,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,13,A,
349-U1431A-1H-14-A,0,19,6.5,6.69,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 4/1 (dark gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,,,,,,,,,,,100,,,,,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,14,A,
349-U1431A-1H-14-A,19,39,6.69,6.89,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,,,,,,,,,,,100,,,,,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,14,A,
349-U1431A-1H-15-A,0,7,7.0,7.07,,silty clay [MMK88],,silty clay ,silty clay ,100,2.5Y 5/1 (gray),slightly consolidated [B84],clay [W22_1],1,clay [W22_1],1,,,,,,,,,,,100,,,,,,thick bed [B01],,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,A,1,H,15,A,
