Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance type,Drilling disturbance intensity,Drilling disturbance intensity rank (read only),Drilling disturbance comment,File Data,Shore File Links,Extra Sample ID Data,Lithology Prefix,Minor Lithology Name,Minor Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology Suffix
350-U1436C-2H-4-A,350,U1436,C,2,2-4,H,4,A,0,67,9.02,9.69,sediment flowage,severe [drilling disturbance],7,,,,,,,,,,
350-U1436C-4H-1-A,350,U1436,C,4,4-1,H,1,A,102,150,12.62,13.1,sediment flowage,moderate [drilling disturbance],4,,,,,,,,,,
350-U1436C-4H-2-A,350,U1436,C,4,4-2,H,2,A,0,48,13.1,13.58,sediment flowage,moderate [drilling disturbance],4,,,,,,,,,,
350-U1436C-4H-2-A,350,U1436,C,4,4-2,H,2,A,103,111,14.13,14.21,void,,,,,,,,,,,,
350-U1436C-5H-1-A,350,U1436,C,5,5-1,H,1,A,0,71,18.8,19.51,basal flow-in,destroyed [drilling disturbance],8,,,,,,,,,,
350-U1436C-5H-2-W,350,U1436,C,5,5-2,H,2,W,52,73,20.82,21.03,sediment flowage,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-6H-1-A,350,U1436,C,6,6-1,H,1,A,29,46,24.09,24.26,soupy,moderate [drilling disturbance],4,,,,,,,,,,
350-U1436C-6H-1-A,350,U1436,C,6,6-1,H,1,A,108,114,24.88,24.94,core extension,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-6H-2-A,350,U1436,C,6,6-2,H,2,A,0,150,25.3,26.8,up-arching,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-6H-3-A,350,U1436,C,6,6-3,H,3,A,26,29,27.06,27.09,sediment flowage,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-6H-3-A,350,U1436,C,6,6-3,H,3,A,87,105,27.67,27.85,soupy,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-6H-5-A,350,U1436,C,6,6-5,H,5,A,96,106,30.76,30.86,soupy,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-6H-5-A,350,U1436,C,6,6-5,H,5,A,106,108,30.86,30.88,sediment flowage,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-6H-6-A,350,U1436,C,6,6-6,H,6,A,12,68,31.42,31.98,soupy,moderate [drilling disturbance],4,,,,,,,,,,
350-U1436C-7H-1-A,350,U1436,C,7,7-1,H,1,A,0,45,33.3,33.75,fall-in,destroyed [drilling disturbance],8,,,,,,,,,,
350-U1436C-7H-1-A,350,U1436,C,7,7-1,H,1,A,96,98,34.26,34.28,core extension,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-7H-1-A,350,U1436,C,7,7-1,H,1,A,120,125,34.5,34.55,soupy,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-7H-2-A,350,U1436,C,7,7-2,H,2,A,0,10,34.8,34.9,punctured,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-7H-2-A,350,U1436,C,7,7-2,H,2,A,117,147,35.97,36.27,punctured,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-7H-3-A,350,U1436,C,7,7-3,H,3,A,112,118,37.42,37.48,soupy,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-7H-4-A,350,U1436,C,7,7-4,H,4,A,68,76,38.48,38.56,soupy,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-8F-1-A,350,U1436,C,8,8-1,F,1,A,0,50,39.1,39.6,fall-in,destroyed [drilling disturbance],8,,,,,,,,,,
350-U1436C-8F-1-A,350,U1436,C,8,8-1,F,1,A,97,113,40.07,40.23,soupy,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-8F-1-A,350,U1436,C,8,8-1,F,1,A,140,147,40.5,40.57,soupy,slight [drilling disturbance],2,,,,,,,,,,
350-U1436C-9F-1-A,350,U1436,C,9,9-1,F,1,A,0,60,40.6,41.2,fall-in,destroyed [drilling disturbance],8,,,,,,,,,,
