Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology [%],Grain size max (mm),Lithification,Comment,File Data,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Lithology Suffix
329-U1370D-1H-1-A,329,U1370,D,1,1-1,H,1,A,0,150,0,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-1H-2-A,329,U1370,D,1,1-2,H,2,A,0,150,1.5,3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-1H-3-A,329,U1370,D,1,1-3,H,3,A,0,150,3,4.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-1H-4-A,329,U1370,D,1,1-4,H,4,A,0,150,4.5,6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-1H-5-A,329,U1370,D,1,1-5,H,5,A,0,150,6,7.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-1H-6-A,329,U1370,D,1,1-6,H,6,A,0,106,7.5,8.56,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-1H-CC-A,329,U1370,D,1,1-CC,H,CC,A,0,19,8.56,8.75,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-2H-1-A,329,U1370,D,2,2-1,H,1,A,0,60,8.8,9.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-2H-2-A,329,U1370,D,2,2-2,H,2,A,0,150,9.4,10.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-2H-3-A,329,U1370,D,2,2-3,H,3,A,0,150,10.9,12.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-2H-4-A,329,U1370,D,2,2-4,H,4,A,0,150,12.4,13.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-2H-5-A,329,U1370,D,2,2-5,H,5,A,0,150,13.9,15.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-2H-6-A,329,U1370,D,2,2-6,H,6,A,0,150,15.4,16.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-2H-7-A,329,U1370,D,2,2-7,H,7,A,0,135,16.9,18.25,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-2H-CC-A,329,U1370,D,2,2-CC,H,CC,A,0,18,18.25,18.43,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-3H-1-A,329,U1370,D,3,3-1,H,1,A,0,137,18.3,19.67,,clay [S54] ,,clay,"Shepard, 1954",,,,,,,,,
329-U1370D-3H-2-A,329,U1370,D,3,3-2,H,2,A,0,144,19.67,21.11,,clay [S54] ,,clay,"Shepard, 1954",,,,,,,,,
329-U1370D-3H-3-A,329,U1370,D,3,3-3,H,3,A,0,100,21.11,22.11,,clay [S54] ,,clay,"Shepard, 1954",,,,,,,,,
329-U1370D-3H-3-A,329,U1370,D,3,3-3,H,3,A,100,150,22.11,22.61,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-3H-4-A,329,U1370,D,3,3-4,H,4,A,0,150,22.61,24.11,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-3H-5-A,329,U1370,D,3,3-5,H,5,A,0,79,24.11,24.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-3H-CC-A,329,U1370,D,3,3-CC,H,CC,A,0,14,24.9,25.04,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-4H-1-A,329,U1370,D,4,4-1,H,1,A,0,150,25,26.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-4H-2-A,329,U1370,D,4,4-2,H,2,A,0,150,26.5,28,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-4H-3-A,329,U1370,D,4,4-3,H,3,A,0,150,28,29.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-4H-4-A,329,U1370,D,4,4-4,H,4,A,0,100,29.5,30.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-4H-5-A,329,U1370,D,4,4-5,H,5,A,0,72,30.5,31.22,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-4H-CC-A,329,U1370,D,4,4-CC,H,CC,A,0,22,31.22,31.44,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-5H-1-A,329,U1370,D,5,5-1,H,1,A,0,150,34.5,36,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-5H-2-A,329,U1370,D,5,5-2,H,2,A,0,150,36,37.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-5H-3-A,329,U1370,D,5,5-3,H,3,A,0,150,37.5,39,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-5H-4-A,329,U1370,D,5,5-4,H,4,A,0,150,39,40.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-5H-5-A,329,U1370,D,5,5-5,H,5,A,0,147,40.5,41.97,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-5H-6-A,329,U1370,D,5,5-6,H,6,A,0,118,41.97,43.15,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-5H-CC-A,329,U1370,D,5,5-CC,H,CC,A,0,25,43.15,43.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-6H-1-A,329,U1370,D,6,6-1,H,1,A,0,150,44,45.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-6H-2-A,329,U1370,D,6,6-2,H,2,A,0,150,45.5,47,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370D-6H-3-A,329,U1370,D,6,6-3,H,3,A,0,150,47,48.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
