Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Major prefix modifier before principal,Principal lithology name,Minor suffix modifier after principal,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,Extra Sample ID Data
329-U1368C-1H-1-A,329,U1368,C,1,1-1,H,1,A,10,50,0.1,0.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-1-A,329,U1368,C,1,1-1,H,1,A,60,70,0.6,0.7,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-1-A,329,U1368,C,1,1-1,H,1,A,110,140,1.1,1.4,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-2-A,329,U1368,C,1,1-2,H,2,A,0,50,1.5,2,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-2-A,329,U1368,C,1,1-2,H,2,A,60,70,2.1,2.2,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-2-A,329,U1368,C,1,1-2,H,2,A,110,140,2.6,2.9,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-3-A,329,U1368,C,1,1-3,H,3,A,0,50,3,3.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-3-A,329,U1368,C,1,1-3,H,3,A,60,80,3.6,3.8,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-3-A,329,U1368,C,1,1-3,H,3,A,110,140,4.1,4.4,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368C-1H-4-A,329,U1368,C,1,1-4,H,4,A,0,50,4.5,5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
