Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology [%],Grain size maximum [mm],Lithification,Comment,File Data,Minor Lithology Prefix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
329-U1367B-1H-1-A,329,U1367,B,1,1-1,H,1,A,0,20,0.0,0.2,nannofossil-bearing,clay [S54] ,,nannofossil-bearing clay,"Shepard, 1954",,,,,,,,,
329-U1367B-1H-1-A,329,U1367,B,1,1-1,H,1,A,20,150,0.2,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1367B-1H-2-A,329,U1367,B,1,1-2,H,2,A,0,150,1.5,3.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,containing few calcareous nannofossils (<1%),,,,,
329-U1367B-1H-3-A,329,U1367,B,1,1-3,H,3,A,0,80,3.0,3.8,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",50,,,containing few calcareous nannofossils (<1%),,,,,
329-U1367B-1H-3-A,329,U1367,B,1,1-3,H,3,A,0,80,3.0,3.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",50,,,containing few calcareous nannofossils (<1%),,,,,
329-U1367B-1H-3-A,329,U1367,B,1,1-3,H,3,A,80,150,3.8,4.5,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,containing few calcareous nannofossils (<1%),,,,,
329-U1367B-1H-4-A,329,U1367,B,1,1-4,H,4,A,0,93,4.5,5.43,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,containing few calcareous nannofossils (<1%),,,,,
329-U1367B-1H-CC-A,329,U1367,B,1,1-CC,H,CC,A,0,15,5.43,5.58,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,containing few calcareous nannofossils (<1%),,,,,
329-U1367B-2H-1-A,329,U1367,B,2,2-1,H,1,A,0,15,5.5,5.65,nannofossil-bearing,clay [S54] ,,nannofossil-bearing clay,"Shepard, 1954",,,,,,,,,
329-U1367B-2H-1-A,329,U1367,B,2,2-1,H,1,A,15,150,5.65,7.0,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,
