Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
371-U1507B-2R-1-A,0,9,376,376.09,,,,,,foraminiferal limestone,,foraminiferal limestone,,,N 8 (white),bed,,,,,fine sand [W22_2],4,,,,,,sharp boundary or contact,,sharp,,,,,,,foraminiferal limestone,foraminiferal limestone,,,,371,U1507,B,2,R,1,A,
371-U1507B-2R-1-A,9,14,376.09,376.14,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,,sharp boundary or contact,,sharp,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,2,R,1,A,
371-U1507B-2R-1-A,14,40,376.14,376.4,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/1 (white),,,,,,,,,,moderate [B06],3,,sharp boundary or contact,,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,2,R,1,A,
371-U1507B-2R-1-A,40,48,376.4,376.48,,,,,,foraminiferal chalk [Leg339],,foraminiferal chalk,,,N 8 (white),bed,,,,,fine sand [W22_2],4,,,,,,sharp boundary or contact,,sharp,,,,,,,foraminiferal chalk,foraminiferal chalk,,,,371,U1507,B,2,R,1,A,
371-U1507B-2R-1-A,48,57,376.48,376.57,,,,,nannofossil-rich [2014b],claystone [USGS],with volcanic ash [2014],nannofossil-rich claystone with volcanic ash,,,GLEY 1 4/5GY (dark greenish gray),,,,,,,,,,heavy [DB91],4,,sharp boundary or contact,,sharp,,,,,,,nannofossil-rich claystone,claystone with volcanic ash,,,,371,U1507,B,2,R,1,A,
371-U1507B-2R-1-A,57,68,376.57,376.68,,,,,,nannofossil chalk [Leg339],,nannofossil chalk,,,N 8 (white),,,,,,,,,,,,,sharp boundary or contact,,sharp,,,,,,,nannofossil chalk,nannofossil chalk,,,,371,U1507,B,2,R,1,A,
371-U1507B-2R-1-A,68,75,376.68,376.75,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/1 (white),,,,,,,,,,heavy [DB91],4,,sharp boundary or contact,,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,2,R,1,A,
371-U1507B-2R-1-A,75,92,376.75,376.92,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,N 8 (white),,,,,,,,,,,,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1507,B,2,R,1,A,
371-U1507B-2R-1-A,92,97,376.92,376.97,,,,,,foraminiferal limestone,,foraminiferal limestone,,,N 8 (white),bed,ripple,,,,fine sand [W22_2],4,,,moderate [B06],3,,sharp boundary or contact,,sharp,,,,,,,foraminiferal limestone,foraminiferal limestone,,,,371,U1507,B,2,R,1,A,
371-U1507B-2R-1-A,97,146,376.97,377.46,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/1 (white),layering,parallel lamination,,,,,,,,moderate [B06],3,slump structure at ~109cm. mm-scale GLEY 1 4/5GY (dark greenish gray) lamination.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,2,R,1,A,
371-U1507B-2R-2-A,0,5,377.46,377.51,,,,,,foraminiferal chalk [Leg339],,foraminiferal chalk,,,N 8 (white),bed,,,,,fine sand [W22_2],4,,,,,,sharp boundary or contact,,sharp,,,,,,,foraminiferal chalk,foraminiferal chalk,,,,371,U1507,B,2,R,2,A,
371-U1507B-2R-2-A,5,12,377.51,377.58,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/1 (white),,,,,,,,,,heavy [DB91],4,,sharp boundary or contact,,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,2,R,2,A,
371-U1507B-2R-2-A,12,21,377.58,377.67,,,,,,foraminiferal chalk [Leg339],,foraminiferal chalk,,,N 8 (white),bed,,,,,fine sand [W22_2],4,,,,,,sharp boundary or contact,,sharp,,,,,,,foraminiferal chalk,foraminiferal chalk,,,,371,U1507,B,2,R,2,A,
371-U1507B-2R-2-A,21,57,377.67,378.03,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/1 (white),tilted bedding,non-parallel stratification,,,,,,,,,4,mm-scale GLEY 1 4/5GY (dark greenish gray) lamination. mm-scale fractures and faulting,sharp boundary or contact,,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,2,R,2,A,
371-U1507B-2R-2-A,57,63,378.03,378.09,,,,,,foraminiferal chalk [Leg339],,foraminiferal chalk,,,N 8 (white),bed,,,,,fine sand [W22_2],4,,,,,,sharp boundary or contact,,sharp,,,,,,,foraminiferal chalk,foraminiferal chalk,,,,371,U1507,B,2,R,2,A,
371-U1507B-2R-2-A,63,119,378.09,378.65,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,,,2.5Y 8/1 (white),,,,,,,,,,,4,62cm to 81cm mm-scale GLEY 1 4/5GY (dark greenish gray) lamination.,sharp boundary or contact,,sharp,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1507,B,2,R,2,A,
