Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ lith. Abundance (%),MAJ lith ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1410C-1H-1-A,342,U1410,C,1,1-1,H,1,A,0,5,0.0,0.05,sandy [Leg339],foraminiferal ooze [Leg339],,sandy  foraminiferal ooze ,2.5Y 5/2 (grayish brown),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sandy   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1410C-1H-1-A,342,U1410,C,1,1-1,H,1,A,5,25,0.05,0.25,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,2.5Y 5/2 (grayish brown),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-1H-1-A,342,U1410,C,1,1-1,H,1,A,25,76,0.25,0.76,silty [Leg339],nannofossil ooze [Leg339],,silty  nannofossil ooze ,10YR 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1410C-1H-1-A,342,U1410,C,1,1-1,H,1,A,76,134,0.76,1.34,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,N 7 (light gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-1H-1-A,342,U1410,C,1,1-1,H,1,A,134,150,1.34,1.5,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,2.5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-1H-2-A,342,U1410,C,1,1-2,H,2,A,0,24,1.5,1.74,silty [Leg339],nannofossil ooze [Leg339],,silty  nannofossil ooze ,N 6 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1410C-1H-2-A,342,U1410,C,1,1-2,H,2,A,24,81,1.74,2.31,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,10YR 7/2 (light gray),,,,heavy_339 [DB91],5.0,,More foram rich than previous,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-1H-2-A,342,U1410,C,1,1-2,H,2,A,81,99,2.31,2.49,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,10Y 6/1 (greenish gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-1H-2-A,342,U1410,C,1,1-2,H,2,A,99,123,2.49,2.73,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,10YR 7/2 (light gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-1H-2-A,342,U1410,C,1,1-2,H,2,A,123,145,2.73,2.95,silty [Leg339],nannofossil ooze [Leg339],with diatoms [Leg339],silty  nannofossil ooze  with diatoms ,5YR 6/4 (light reddish brown),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   nannofossil ooze ,nannofossil ooze   with diatoms ,,,,,,
342-U1410C-1H-2-A,342,U1410,C,1,1-2,H,2,A,145,150,2.95,3.0,,clay [Leg339],,clay ,5YR 5/4 (reddish brown),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1410C-1H-3-A,342,U1410,C,1,1-3,H,3,A,0,3,3.0,3.03,,clay [Leg339],,clay ,5YR 5/4 (reddish brown),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1410C-1H-3-A,342,U1410,C,1,1-3,H,3,A,3,42,3.03,3.42,silty [Leg339],nannofossil ooze [Leg339],with diatoms [Leg339],silty  nannofossil ooze  with diatoms ,5YR 6/4 (light reddish brown),,,,heavy_339 [DB91],5.0,,"16-19 cm, large dropstone",,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   nannofossil ooze ,nannofossil ooze   with diatoms ,,,,,,
342-U1410C-1H-3-A,342,U1410,C,1,1-3,H,3,A,42,65,3.42,3.65,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,2.5Y 6/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-1H-3-A,342,U1410,C,1,1-3,H,3,A,65,87,3.65,3.87,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,5GY 6/1 (greenish gray),,,,heavy_339 [DB91],5.0,,"Green horizons from 65-74 cm, cross cutting burrow from 77-82cm, and brown horizons from 84-86, underlain by black horizon at 87 cm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-1H-3-A,342,U1410,C,1,1-3,H,3,A,87,140,3.87,4.4,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,N 6 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-1H-3-A,342,U1410,C,1,1-3,H,3,A,140,150,4.4,4.5,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze  with clay ,10Y 5/1 (greenish gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with clay ,,,,,,
342-U1410C-1H-4-A,342,U1410,C,1,1-4,H,4,A,0,75,4.5,5.25,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze  with clay ,10Y 4/1 (dark greenish gray),,,,moderate_339 [DB91],4.0,,Redder interval from 27-38 cm; large dropstone from 23-27 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with clay ,,,,,,
342-U1410C-1H-4-A,342,U1410,C,1,1-4,H,4,A,75,80,5.25,5.3,,clay [Leg339],,clay ,10YR 5/2 (grayish brown),,,,moderate_339 [DB91],4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1410C-1H-4-A,342,U1410,C,1,1-4,H,4,A,80,98,5.3,5.48,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze  with clay ,10Y 4/1 (dark greenish gray),,,,moderate_339 [DB91],4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with clay ,,,,,,
342-U1410C-1H-4-A,342,U1410,C,1,1-4,H,4,A,98,114,5.48,5.64,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze  with clay ,10Y 5/1 (greenish gray),,,,moderate_339 [DB91],4.0,,"At the bottom of the interval 112-114, very green horizon (5GY 5/1).",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with clay ,,,,,,
342-U1410C-1H-4-A,342,U1410,C,1,1-4,H,4,A,114,130,5.64,5.8,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze  with clay ,10Y 5/1 (greenish gray),,,,moderate_339 [DB91],4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with clay ,,,,,,
342-U1410C-1H-5-A,342,U1410,C,1,1-5,H,5,A,0,48,5.8,6.28,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze  with clay ,10Y 5/1 (greenish gray),,,,moderate_339 [DB91],4.0,,"Mottled with browner, sulfidic flecks and blebs throughout. Foraminifera rich oozes concentrated in burrows.",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with clay ,,,,,,
342-U1410C-1H-5-A,342,U1410,C,1,1-5,H,5,A,48,62,6.28,6.42,,nannofossil ooze [Leg339],with clay [Leg339],nannofossil ooze  with clay ,N 6 (gray),,,,moderate_339 [DB91],4.0,,"Mottled with browner, sulfidic flecks and blebs throughout. Foraminifera rich oozes concentrated in burrows.",,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil ooze ,nannofossil ooze   with clay ,,,,,,
342-U1410C-1H-CC-A,342,U1410,C,1,1-CC,H,CC,A,0,29,6.42,6.82,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,N 6 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-2H-1-A,342,U1410,C,2,2-1,H,1,A,0,43,6.8,7.23,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,N 6 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1410C-2H-1-A,342,U1410,C,2,2-1,H,1,A,43,81,7.23,7.61,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,N 6 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1410C-2H-1-A,342,U1410,C,2,2-1,H,1,A,81,150,7.61,8.3,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,10YR 4/1 (dark gray),,,,heavy_339 [DB91],5.0,,"Three colors dominant through this interval.  Slightly reddish grey (10YR 4/1), slightly greenish grey (2.5Y 4/1), true grey (N6).",,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1410C-2H-2-A,342,U1410,C,2,2-2,H,2,A,0,37,8.3,8.67,,clay [Leg339],,clay ,10Y 4/1 (dark greenish gray),,,,heavy_339 [DB91],5.0,,Reddens up over the length of the section to 2.5Y 4/1. Foram sand in horizons and blebs from 16-24 cm. Sulfide blebs throughout.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1410C-2H-2-A,342,U1410,C,2,2-2,H,2,A,37,51,8.67,8.81,,clay [Leg339],,clay ,2.5Y 4/1 (dark gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1410C-2H-2-A,342,U1410,C,2,2-2,H,2,A,51,114,8.81,9.44,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,2.5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1410C-2H-2-A,342,U1410,C,2,2-2,H,2,A,114,150,9.44,9.8,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,2.5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,Grades from the lithology of the previous interval into a foram sand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1410C-2H-3-A,342,U1410,C,2,2-3,H,3,A,0,43,9.8,10.23,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,2.5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1410C-2H-3-A,342,U1410,C,2,2-3,H,3,A,43,80,10.23,10.6,silty-muddy [Leg339],clay [Leg339],,silty-muddy  clay ,7.5YR 5/1 (gray),,,,heavy_339 [DB91],5.0,,Clayey,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty-muddy   clay ,clay ,,,,,,
342-U1410C-2H-3-A,342,U1410,C,2,2-3,H,3,A,80,117,10.6,10.97,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,2.5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1410C-2H-3-A,342,U1410,C,2,2-3,H,3,A,117,150,10.97,11.3,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,7.5YR 4/1 (dark gray),,,,heavy_339 [DB91],5.0,,Clayey,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1410C-2H-4-A,342,U1410,C,2,2-4,H,4,A,0,11,11.3,11.41,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,2.5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1410C-2H-4-A,342,U1410,C,2,2-4,H,4,A,11,58,11.41,11.88,silty [Leg339],clay [Leg339],,silty  clay ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5.0,,dropstone at 43 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,
342-U1410C-2H-4-A,342,U1410,C,2,2-4,H,4,A,58,126,11.88,12.56,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,2.5Y 5/1 (gray),,,,heavy_339 [DB91],5.0,,sandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1410C-2H-4-A,342,U1410,C,2,2-4,H,4,A,126,150,12.56,12.8,clayey [Leg339],foraminiferal ooze [Leg339],,clayey  foraminiferal ooze ,10YR 5/1 (gray),,,,heavy_339 [DB91],5.0,,clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1410C-2H-5-A,342,U1410,C,2,2-5,H,5,A,0,27,12.8,13.07,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,5Y 6/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-2H-5-A,342,U1410,C,2,2-5,H,5,A,27,47,13.07,13.27,,clay [Leg339],,clay ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5.0,,sharp basal contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1410C-2H-5-A,342,U1410,C,2,2-5,H,5,A,47,70,13.27,13.5,,clay [Leg339],,clay ,10YR 5/1 (gray),,,,heavy_339 [DB91],5.0,,"sharp basal contact, gradiing from brownish-gray to reddish-brown from top to bottom",,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1410C-2H-5-A,342,U1410,C,2,2-5,H,5,A,70,99,13.5,13.79,,clay [Leg339],,clay ,5Y 4/1 (dark gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay ,clay ,,,,,,
342-U1410C-2H-5-A,342,U1410,C,2,2-5,H,5,A,99,123,13.79,14.03,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,10YR 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-2H-5-A,342,U1410,C,2,2-5,H,5,A,123,150,14.03,14.3,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,5Y 4/1 (dark gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410C-2H-6-A,342,U1410,C,2,2-6,H,6,A,0,35,14.3,14.65,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,10YR 5/1 (gray),,,,heavy_339 [DB91],5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
