Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
371-U1508B-2R-1-A,0,134,186.7,188.04,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,clay,GLEY 1 7/5GY (light greenish grey),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,Moderately bioturbated light greenish grey foraminiferal nannofossil chalk. a few pyrite blebs are observed. Faint very thin beds alternating in color.,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,2,R,1,A,
371-U1508B-2R-2-A,0,140,188.04,189.44,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,clay,GLEY 1 7/5GY (light greenish grey),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,Moderately bioturbated light greenish grey foraminiferal nannofossil chalk. a few pyrite blebs are observed. Faint very thin beds alternating in color.,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,2,R,2,A,
371-U1508B-2R-3-A,0,109,189.54,190.63,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,clay,GLEY 1 7/5GY (light greenish grey),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,Moderately bioturbated light greenish grey foraminiferal nannofossil chalk. a few pyrite blebs are observed. Faint very thin beds alternating in color.,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,2,R,3,A,
371-U1508B-2R-4-A,0,62,190.63,191.25,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,clay,GLEY 1 7/5GY (light greenish grey),color banding,,,,,silt [W22_1],2,,,heavy [DB91],4,Moderately bioturbated light greenish grey foraminiferal nannofossil chalk. A few pyrite blebs are observed. Faint very thin beds alternating in color.,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,2,R,4,A,
371-U1508B-2R-CC-A,0,9.5,191.25,191.345,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,clay,GLEY 1 7/5GY (light greenish grey),,,,,,silt [W22_1],2,,,moderate [B06],3,Moderately bioturbated light greenish grey foraminiferal nannofossil chalk. a few pyrite blebs are observed. Faint very thin beds alternating in color.,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,2,R,CC,A,
371-U1508B-3R-1-A,0,150,196.4,197.9,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,clay,GLEY 1 7/5GY (light greenish grey),,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,3,R,1,A,
371-U1508B-3R-2-A,0,141,197.9,199.31,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,clay,GLEY 1 7/5GY (light greenish grey),,,,,,fine sand [W22_2],4,,,moderate [B06],3,,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,3,R,2,A,
371-U1508B-3R-3-A,0,120,199.31,200.51,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,clay,GLEY 1 7/5GY (light greenish grey),,,,,,fine sand [W22_2],4,,,moderate [B06],3,,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,3,R,3,A,
371-U1508B-3R-4-A,0,96,200.61,201.57,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,sponge spicules,clay,GLEY 1 7/5GY (light greenish grey),,,,,,medium sand [W22_2],5,,,moderate [B06],3,Sharp bed base at 4cm.,,,,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,B,3,R,4,A,
371-U1508B-4R-1-A,0,148,206.1,207.58,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,clay,,GLEY 1 7/5GY (light greenish grey),,,,,,silt [W22_1],2,,,heavy [DB91],4,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,4,R,1,A,
371-U1508B-4R-2-A,0,137.5,207.58,208.955,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,clay,,GLEY 1 7/5GY (light greenish grey),,,,,,silt [W22_1],2,,,heavy [DB91],4,,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,4,R,2,A,
371-U1508B-4R-3-A,0,146,209.05,210.51,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,clay,,GLEY 1 7/5GY (light greenish grey),,,,,,silt [W22_1],2,,,heavy [DB91],4,Faint color banding is observed at the decimeter scale.,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,4,R,3,A,
371-U1508B-5R-1-A,0,100,215.8,216.8,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,GLEY 1 8/N (white gray),color banding,,,,,silt [W22_1],2,,,sparse [B06],1,"Dm-scale color banding from a white (8.5/N) to a light greenish gray (GLEY1 7/10Y). Bioturbation is sparse in the lighter color sediments and moderate in the darker sediments. In addition, pale green (GLEY 1 6/5G/2) mm-thick laminations sporadically occur in the lighter intervals.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,5,R,1,A,
371-U1508B-5R-2-A,0,63,216.8,217.43,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,glauconite,,GLEY 1 8/N (white gray),color banding,,,,,silt [W22_1],2,,,sparse [B06],1,"Dm-scale color banding from a white (8.5/N) to a light greenish gray (GLEY1 7/10Y). Bioturbation is sparse in the lighter color sediments and moderate in the darker sediments. In addition, pale green (GLEY 1 6/5G/2) mm-thick laminations sporadically occur in the lighter intervals.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,5,R,2,A,
371-U1508B-6R-1-A,0,103,225.5,226.53,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,glauconite,,GLEY 1 8/N (white gray),color banding,,,,,fine sand [W22_2],4,,,sparse [B06],1,"Dm-scale color banding from a white (8.5/N) to a light greenish gray (GLEY1 7/10Y). Bioturbation is sparse in the lighter color sediments and moderate in the darker sediments. In addition, pale green (GLEY 1 6/5G/2) mm-thick laminations sporadically occur in the lighter intervals.",,,,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,B,6,R,1,A,
371-U1508B-6R-CC-A,0,12,226.63,226.75,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,glauconite,,GLEY 1 8/N (white gray),color banding,,,,,fine sand [W22_2],4,,,sparse [B06],1,Dm-scale color banding from a white (8.5/N) to a light greenish gray (GLEY1 7/10Y). Bioturbation is sparse in the lighter color sediments and moderate in the darker sediments.,,,,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,B,6,R,CC,A,
371-U1508B-7R-CC-A,0,10,235.1,235.2,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,glauconite,,GLEY 1 8/N (white gray),,,,,,silt [W22_1],2,,,sparse [B06],1,,,,,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,B,7,R,CC,A,
371-U1508B-8R-1-A,0,125,244.7,245.95,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,glauconite,,GLEY 1 7/10GY (light greenish grey),,,,,,fine sand [W22_2],4,,,sparse [B06],1,Pale green (GLEY 1 6/5G/2) mm-thick laminations sporadically occur in the lighter intervals. Possible pyrite blebs.,,,,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,B,8,R,1,A,
371-U1508B-8R-2-A,0,76,246.05,246.81,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,glauconite,,GLEY 1 7/10GY (light greenish grey),,,,,,fine sand [W22_2],4,,,sparse [B06],1,,,,,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,B,8,R,2,A,
371-U1508B-9R-1-A,0,125,254.3,255.55,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,Gley 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,Color banding at the decimeter scale ranging from greenish gray (GLEY 1 5/5GY) to light greenish gray (GLEY 1 7/5GY).,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,9,R,1,A,
371-U1508B-9R-2-A,0,117,255.65,256.82,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,Gley 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,Color banding at the decimeter scale ranging from greenish gray (GLEY 1 5/5GY) to light greenish gray (GLEY 1 7/5GY).,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,9,R,2,A,
371-U1508B-9R-3-A,0,67,256.82,257.49,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,Gley 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,Color banding at the decimeter scale ranging from greenish gray (GLEY 1 5/5GY) to light greenish gray (GLEY 1 7/5GY).,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,9,R,3,A,
371-U1508B-9R-CC-A,0,11,257.49,257.6,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,Gley 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,Color banding at the decimeter scale ranging from greenish gray (GLEY 1 5/5GY) to light greenish gray (GLEY 1 7/5GY).,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,9,R,CC,A,
371-U1508B-10R-1-A,0,16,263.9,264.06,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,10,R,1,A,
371-U1508B-10R-1-A,16,80,264.06,264.7,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,,,GLEY 1 7/10Y (light greenish grey),,,,,,fine sand [W22_2],4,,,moderate [B06],3,,,,,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,B,10,R,1,A,
371-U1508B-10R-2-A,0,10,264.82,264.92,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,B,10,R,2,A,
371-U1508B-10R-2-A,10,64,264.92,265.46,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,10,R,2,A,
371-U1508B-10R-CC-A,0,14,265.46,265.6,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,10,R,CC,A,
371-U1508B-11R-1-A,0,132,273.5,274.82,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,11,R,1,A,
371-U1508B-11R-2-A,0,71,274.92,275.63,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,11,R,2,A,
371-U1508B-12R-1-A,0,134,283.1,284.44,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,very fine sand [W22_2],3,,,moderate [B06],3,,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,12,R,1,A,
371-U1508B-12R-2-A,0,88,284.44,285.32,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,very fine sand [W22_2],3,,,moderate [B06],3,chert nodule at ~60cm?,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,12,R,2,A,
371-U1508B-12R-3-A,0,124,285.32,286.56,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,very fine sand [W22_2],3,,,moderate [B06],3,,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1508,B,12,R,3,A,
371-U1508B-13R-1-A,0,19,292.7,292.89,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,13,R,1,A,
371-U1508B-14R-1-A,0,5,302.3,302.35,,,,,,chert [USGS],,chert,,,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,,,,,,,,,,,,,,chert,chert,,,,371,U1508,B,14,R,1,A,
371-U1508B-14R-1-A,5,23,302.35,302.53,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,glauconite,,GLEY 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,B,14,R,1,A,
371-U1508B-14R-1-A,23,80,302.53,303.1,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,fine sand [W22_2],4,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,14,R,1,A,
371-U1508B-14R-2-A,0,26,303.22,303.48,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,fine sand [W22_2],4,,,moderate [B06],3,,,,,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,B,14,R,2,A,
371-U1508B-14R-2-A,26,65,303.48,303.87,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,14,R,2,A,
371-U1508B-15R-1-A,0,16,311.9,312.06,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,15,R,1,A,
371-U1508B-15R-1-A,16,27,312.06,312.17,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,very fine sand [W22_2],3,,,moderate [B06],3,,,,,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,B,15,R,1,A,
371-U1508B-15R-1-A,27,36,312.17,312.26,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 5/5GY (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,,,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,15,R,1,A,
371-U1508B-15R-1-A,36,39,312.26,312.29,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,glauconite,,GLEY 1 5/5GY (greenish gray),color banding,,,,,fine sand [W22_2],4,,,moderate [B06],3,,,,,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,B,15,R,1,A,
371-U1508B-16R-1-A,0,8,321.4,321.48,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,glauconite,,GLEY 1 7/10GY (light greenish grey),bed,,,,,medium sand [W22_2],5,,,moderate [B06],3,interval destroyed,sharp boundary or contact,,sharp,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,B,16,R,1,A,
371-U1508B-16R-1-A,8,25,321.48,321.65,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 5/10Y (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,,gradational boundary or contact,,diffuse,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,16,R,1,A,
371-U1508B-16R-1-A,25,30,321.65,321.7,,,,,silicate mineral rich,foraminiferal chalk [Leg339],with bioclasts,silicate mineral rich foraminiferal chalk with bioclasts,,,GLEY 1 5/10Y (greenish gray),bed,,,,,fine sand [W22_2],4,,,moderate [B06],3,,gradational boundary or contact,,diffuse,,,,,,,silicate mineral rich foraminiferal chalk,foraminiferal chalk with bioclasts,,,,371,U1508,B,16,R,1,A,
371-U1508B-16R-1-A,30,110,321.7,322.5,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,,,GLEY 1 5/10Y (greenish gray),color banding,,,,,silt [W22_1],2,,,moderate [B06],3,,gradational boundary or contact,,diffuse,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,B,16,R,1,A,
