Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
362-U1480B-1H-1-A,0,15,0.0,0.15,IC,,clay [S54],,clay,clay,clay,,2.5Y 3/1 (very dark gray),curviplanar,gradational,curviplanar gradational,horizontal,thin bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,fall in and highly disturbed,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,B,1,H,1,A
362-U1480B-1H-1-A,15,80,0.15,0.8,IC,calcareous [Leg339],silty clay [S54],with ash [2014],calcareous silty clay,calcareous silty clay with ash,silty clay with ash,,2.5Y 5/1 (gray),irregular,gradational,irregular gradational,sub-horizontal,thick bed [B01],unlithified [Leg194],fine sand [W22_2],4,,poor [2014],,,,structureless,absent [DB91],1,,,,,,foraminifer,R [A85],,,,,,,,,362,U1480,B,1,H,1,A
362-U1480B-1H-1-A,80,139,0.8,1.39,IC,calcareous [Leg339],clay [S54],with carbonate allochems [F80],calcareous clay,calcareous clay with carbonate allochems,clay with carbonate allochems,,10YR 5/3 (brown),irregular,gradational,irregular gradational,sub-horizontal,thick bed [B01],unlithified [Leg194],silt [W22_1],2,,well [2014],,,,structureless,slight [DB91],3,Thalassinoides,,,,,,,,,,,,,,,362,U1480,B,1,H,1,A
362-U1480B-1H-1-A,139,140,1.39,1.4,IC,calcareous [Leg339],silty clay [S54],,calcareous silty clay,calcareous silty clay,silty clay,,10YR 2/1 (black),irregular,gradational,irregular gradational,sub-horizontal,very thin bed [B01],unlithified [Leg194],silt [W22_1],2,,well [2014],,,pyrite-rich layer,structureless,slight [DB91],3,Thalassinoides,,,,pyrite framboid,,,,,,,,,,,362,U1480,B,1,H,1,A
362-U1480B-1H-1-A,140,153,1.4,1.53,IC,calcareous [Leg339],clay [S54],with carbonate allochems [F80],calcareous clay,calcareous clay with carbonate allochems,clay with carbonate allochems,,10YR 6/3 (pale brown),,,,,thin bed [B01],unlithified [Leg194],silt [W22_1],2,,well [2014],,,,structureless,slight [DB91],3,Thalassinoides,,,,,foraminifer,R [A85],,,,,,,,,362,U1480,B,1,H,1,A
362-U1480B-1H-2-A,0,72,1.53,2.25,IC,calcareous [Leg339],clay [S54],with carbonate allochems [F80],calcareous clay,calcareous clay with carbonate allochems,clay with carbonate allochems,,10YR 5/3 (brown),irregular,sharp,irregular sharp,sub-vertical,thick bed [B01],unlithified [Leg194],silt [W22_1],2,,well [2014],,,,structureless,slight [DB91],3,Thalassinoides,,,,,foraminifer,R [A85],,,,,,,,,362,U1480,B,1,H,2,A
362-U1480B-1H-2-A,72,150,2.25,3.03,IC,calcareous [Leg339],clay [S54],with carbonate allochems [F80],calcareous clay,calcareous clay with carbonate allochems,clay with carbonate allochems,,2.5Y 5/1 (gray),,,,,thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,more paler colors are mottled with darker ones; sediment seems to be displaced at the boundary with a very steep angel,structureless,slight [DB91],3,Thalassinoides,,,,pyrite framboid,,,,,,,,,,,362,U1480,B,1,H,2,A
362-U1480B-1H-3-A,0,22,3.03,3.25,IC,calcareous [Leg339],clay [S54],with carbonate allochems [F80],calcareous clay,calcareous clay with carbonate allochems,clay with carbonate allochems,,2.5Y 5/1 (gray),irregular,gradational,irregular gradational,sub-horizontal,medium bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,more paler colors are mottled with darker ones; sediment seems to be displaced at the boundary with a very steep angel,structureless,slight [DB91],3,Thalassinoides,,,,pyrite framboid,,,,,,,,,,,362,U1480,B,1,H,3,A
362-U1480B-1H-3-A,22,150,3.25,4.53,IC,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 7/1 (light gray),,,,,thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,"Foraminifers are getting more toward the base of section; sections is strongly disturbed by drilling; two large ash pods between 70-74 cm and 90-95 cm, probably former ash layer disseminated by drilling",structureless,,3,,,,ash pods,pyrite framboid,foraminifer,C [A85],vitric [2014],,sub-rounded,pods are large anhd in the medium sand grain size,,,,,362,U1480,B,1,H,3,A
362-U1480B-1H-4-A,0,9,4.53,4.62,IC,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 7/1 (light gray),,,,,thin bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,Foraminifers are getting more toward the base of section concentrated in some horizons; sections is strongly disturbed by drilling;,structureless,,3,,,,,,foraminifer,R [A85],,,,,,,,,362,U1480,B,1,H,4,A
