Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
354-U1454A-1H-1-A,10,20,0.1,0.2,,,clay [Leg210],,clay,clay,clay,,light brown,,,,,,,,,,,,,,,
354-U1454A-1H-1-A,35,50,0.35,0.5,,,clay [Leg210],,clay,clay,clay,,light brown,,,,,,,,,,,,,,,
354-U1454A-1H-1-A,60,100,0.6,1,,,clay [Leg210],,clay,clay,clay,,light brown,,,,,,,,,,,,,,,
354-U1454A-1H-1-A,110,150,1.1,1.5,,,clay [Leg210],,clay,clay,clay,,light brown,,,,,,,,,,,,,,,
354-U1454A-1H-2-A,10,50,1.6,2,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,
354-U1454A-1H-2-A,60,90,2.1,2.4,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,color banding,,,,"black color bands (organics?), layer with higher silt contents at 65-69 cm",,,
354-U1454A-1H-2-A,100,140,2.5,2.9,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,color banding,,,,"black color bands (organics?), layer with higher silt contents at 103-106 cm",,,
354-U1454A-1H-3-A,0,50,3,3.5,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,color banding,,,,black color bands (organics?),,,
354-U1454A-1H-3-A,60,140,3.6,4.4,,,clay [Leg210],,clay,clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,parallel lamination,,,,black color band in upper part,,,
354-U1454A-1H-4-A,0,110,4.5,5.6,,,clay [Leg210],,clay,clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,parallel lamination,,,,occasional black color bands,,,
354-U1454A-1H-5-A,0,110,5.7,6.8,,clayey [Leg339],silt [Leg210],with plant fragments [2014],clayey silt,clayey silt with plant fragments,silt with plant fragments,,gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,parallel lamination,,,,,,,
354-U1454A-1H-6-A,0,49,6.9,7.39,,clayey [Leg339],silt [Leg210],with plant fragments [2014],clayey silt,clayey silt with plant fragments,silt with plant fragments,,gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,parallel lamination,,,,,,,
354-U1454A-1H-CC-A,0,10,7.39,7.49,,,clay [Leg210],,clay,clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,parallel lamination,,,,,,,
