Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
352-U1442A-1R-1-A,0,52,0,0.52,I,,,,nannofossil-rich,mud,with foraminifers,nannofossil-rich mud,nannofossil-rich mud with foraminifers,mud with foraminifers,,10YR 4/3 (brown),,unconsolidated,silt,2,fine sand,4,,poor,non-graded,,moderate,2,,,,,,,,,calcareous matrix,,,,,,352,U1442,A,1,R,1,A,
352-U1442A-1R-1-A,52,60,0.52,0.6,I,,,,nannofossil-rich,ash,with foraminifers,nannofossil-rich ash,nannofossil-rich ash with foraminifers,ash with foraminifers,,10YR 4/1 (dark gray),,unconsolidated,fine sand,4,fine sand,4,ash layer disseminated by drilling,well,non-graded,,none,0,,,,,,,,,,,,,,,352,U1442,A,1,R,1,A,
352-U1442A-1R-1-A,60,150,0.6,1.5,I,,,,nannofossil-rich,mud,with foraminifers,nannofossil-rich mud,nannofossil-rich mud with foraminifers,mud with foraminifers,,10YR 4/3 (brown),,unconsolidated,silt,2,fine sand,4,,poor,non-graded,,moderate,2,,,,,,,,,calcareous matrix,,,,,,352,U1442,A,1,R,1,A,
352-U1442A-1R-2-A,0,109,1.5,2.59,I,,,,nannofossil-rich,mud,with foraminifers,nannofossil-rich mud,nannofossil-rich mud with foraminifers,mud with foraminifers,,10YR 4/3 (brown),,unconsolidated,silt,2,fine sand,4,,poor,non-graded,,moderate,2,,,,,,,,,calcareous matrix,,,,,,352,U1442,A,1,R,2,A,
352-U1442A-1R-2-A,109,150,2.59,3,II,,,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,,10YR 7/2 (light gray),,unconsolidated,clay,1,silt,2,,well,non-graded,,,,,,,,,,,,calcareous matrix,,,,,,352,U1442,A,1,R,2,A,
352-U1442A-1R-3-A,0,50,3,3.5,II,,,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,,10YR 7/2 (light gray),,unconsolidated,clay,1,silt,2,,well,non-graded,,,,,,,,,,,,calcareous matrix,,,,,,352,U1442,A,1,R,3,A,
352-U1442A-1R-3-A,50,70,3.5,3.7,II,,,,sandy,nannofossil ooze,with foraminifers,sandy nannofossil ooze,sandy nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 5/2 (grayish brown),thick bed,unconsolidated,silt,2,medium sand,5,,moderate,non-graded,,,,,,,,,,,,calcareous matrix,,,,,,352,U1442,A,1,R,3,A,
352-U1442A-1R-3-A,70,84,3.7,3.84,II,,,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,,10YR 7/2 (light gray),,unconsolidated,clay,1,silt,2,,well,non-graded,,,,,,,,,,,,calcareous matrix,,,,,,352,U1442,A,1,R,3,A,
352-U1442A-1R-3-A,84,97,3.84,3.97,II,,,,tuffaceous,nannofossil ooze,with foraminifers,tuffaceous nannofossil ooze,tuffaceous nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,10YR 6/1 (gray),thick bed,unconsolidated,silt,2,fine sand,4,,well,normally graded,,none,0,,,,,,,,,calcareous matrix,,,,,,352,U1442,A,1,R,3,A,
352-U1442A-1R-3-A,97,150,3.97,4.5,II,,,,,nannofossil ooze,with ash,nannofossil ooze,nannofossil ooze with ash,nannofossil ooze with ash,,10YR 7/2 (light gray),,unconsolidated,clay,1,silt,2,,well,non-graded,,,,,,,,,,,,calcareous matrix,,,,,,352,U1442,A,1,R,3,A,
