Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
354-U1454C-4F-3-A,0,74,25.6,26.34,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,
354-U1454C-4F-3-A,74,100,26.34,26.6,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,
354-U1454C-4F-CC-A,0,4,26.43,26.47,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,inclined,,,,,,,,,,,,,
354-U1454C-4F-CC-A,4,13,26.47,26.56,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,sub-vertical,,,,,,,,,,,,,
354-U1454C-4F-CC-A,13,20,26.56,26.63,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,,,,,,,,,,,,,,,
354-U1454C-5F-1-A,0,113,27.8,28.93,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,
354-U1454C-5F-2-A,0,105,28.93,29.98,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,mud clast,,,,mud clast 76-79 cm,,,
354-U1454C-5F-CC-A,0,15,29.99,30.14,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,,,,,,,,,,,,,,,
354-U1454C-6F-1-A,0,47,32.5,32.97,,,clay [Leg210],,clay,clay,clay,,gray,sharp irregular,sub-vertical,medium bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,
354-U1454C-6F-1-A,47,75,32.97,33.25,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp irregular,inclined,,,,,,,,,,,,,
354-U1454C-6F-1-A,75,133,33.25,33.83,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,
