Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
354-U1451B-2X-1-A,0,11,542,542.11,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1451,B,2,X,1,A,
354-U1451B-2X-1-A,11,18,542.11,542.18,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1451,B,2,X,1,A,
354-U1451B-2X-1-A,18,59,542.18,542.59,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1451,B,2,X,1,A,
354-U1451B-2X-CC-A,0,23,542.61,542.84,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1451,B,2,X,CC,A,
354-U1451B-3X-1-A,0,12,551.7,551.82,,silty [Leg339],calcareous clay [Leg210],with nannofossils [2014],silty calcareous clay,silty calcareous clay with nannofossils,calcareous clay with nannofossils,,gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1451,B,3,X,1,A,
354-U1451B-3X-1-A,12,28,551.82,551.98,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,sharp planar,horizontal,,,,T,,normally graded,,,,,,,,354,U1451,B,3,X,1,A,
354-U1451B-3X-1-A,28,150,551.98,553.2,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],T,,,,,,,,,,354,U1451,B,3,X,1,A,
354-U1451B-3X-2-A,0,14,553.2,553.34,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,sub-horizontal,,,,T,,,,,,,,,,354,U1451,B,3,X,2,A,
354-U1451B-3X-2-A,14,150,553.34,554.7,,silty [Leg339],calcareous clay [Leg210],with nannofossils [2014],silty calcareous clay,silty calcareous clay with nannofossils,calcareous clay with nannofossils,,greenish gray,,,,,,T,,,,,,Surface of section is disturbed by opening of the section by wire,,,,354,U1451,B,3,X,2,A,
354-U1451B-3X-3-A,0,136,554.7,556.06,,silty [Leg339],clay [Leg210],with plant fragments [2014],silty clay,silty clay with plant fragments,clay with plant fragments,,greenish gray,,,medium bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,,354,U1451,B,3,X,3,A,
354-U1451B-3X-CC-A,0,21,556.06,556.27,,silty [Leg339],clay [Leg210],with plant fragments [2014],silty clay,silty clay with plant fragments,clay with plant fragments,,greenish gray,,,medium bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,,354,U1451,B,3,X,CC,A,
354-U1451B-4X-CC-A,0,28,561.4,561.68,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,gray,,,,,,,,,,,,Fine sand,,,,354,U1451,B,4,X,CC,A,
354-U1451B-5X-CC-A,0,15,571.1,571.25,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,dark gray,gradational,sub-horizontal,,,,T,,,,,,,,,,354,U1451,B,5,X,CC,A,
354-U1451B-5X-CC-A,15,21,571.25,571.31,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,dark gray,gradational,horizontal,,,,T,,,,,,,,,,354,U1451,B,5,X,CC,A,
354-U1451B-5X-CC-A,21,50,571.31,571.6,,clayey [Leg339],silt [Leg210],with mica,clayey silt,clayey silt with mica,silt with mica,,dark gray,sharp planar,horizontal,,,,T,,,,,,,,,,354,U1451,B,5,X,CC,A,
354-U1451B-5X-CC-A,50,51,571.6,571.61,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1451,B,5,X,CC,A,
354-U1451B-6X-1-A,0,13,580.8,580.93,,silty [Leg339],sand [Leg210],with mica,silty sand,silty sand with mica,sand with mica,,dark gray,sharp planar,horizontal,,,,,,,,,,structureless fine sand,,,,354,U1451,B,6,X,1,A,
354-U1451B-6X-1-A,13,34,580.93,581.14,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,dark gray,sharp irregular,sub-horizontal,,,,T,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,1,A,
354-U1451B-6X-1-A,34,92,581.14,581.72,,silty [Leg339],calcareous clay [Leg210],with foraminifers [2014],silty calcareous clay,silty calcareous clay with foraminifers,calcareous clay with foraminifers,,dark gray,sharp planar,sub-horizontal,thin bed [B01],clay [Leg210],lamina [M&W53],T,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,1,A,
354-U1451B-6X-1-A,92,103,581.72,581.83,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1451,B,6,X,1,A,
354-U1451B-6X-1-A,103,129,581.83,582.09,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,green,sharp planar,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,1,A,
354-U1451B-6X-1-A,129,145,582.09,582.25,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,1,A,
354-U1451B-6X-2-A,0,4,582.25,582.29,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,sharp planar,sub-horizontal,,,,H,,,,,,,,,,354,U1451,B,6,X,2,A,
354-U1451B-6X-2-A,4,7,582.29,582.32,,,calcareous clay [Leg210],with foraminifers [2014],calcareous clay,calcareous clay with foraminifers,calcareous clay with foraminifers,,greenish gray,sharp irregular,sub-horizontal,,,,H,,,,,,,,,,354,U1451,B,6,X,2,A,
354-U1451B-6X-2-A,7,22,582.32,582.47,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,sharp irregular,horizontal,,,,,,color banding,,,,,,,,354,U1451,B,6,X,2,A,
354-U1451B-6X-2-A,22,100,582.47,583.25,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,2,A,
354-U1451B-6X-3-A,0,114,583.25,584.39,,silty [Leg339],calcareous clay [Leg210],with foraminifers [2014],silty calcareous clay,silty calcareous clay with foraminifers,calcareous clay with foraminifers,,dark gray,,,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,3,A,
354-U1451B-6X-4-A,0,25,584.39,584.64,,silty [Leg339],calcareous clay [Leg210],with foraminifers [2014],silty calcareous clay,silty calcareous clay with foraminifers,calcareous clay with foraminifers,,dark gray,sharp irregular,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,4,A,
354-U1451B-6X-4-A,25,49,584.64,584.88,,silty [Leg339],calcareous clay [Leg210],with foraminifers [2014],silty calcareous clay,silty calcareous clay with foraminifers,calcareous clay with foraminifers,,dark green,sharp irregular,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,4,A,
354-U1451B-6X-4-A,49,83,584.88,585.22,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,sharp irregular,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,4,A,
354-U1451B-6X-4-A,49,83,584.88,585.22,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1451,B,6,X,4,A,
354-U1451B-6X-4-A,83,139,585.22,585.78,,silty [Leg339],calcareous clay [Leg210],with foraminifers [2014],silty calcareous clay,silty calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,,,,,,H,,mottling [BJ80],,,,"wavy to straight laminae in some places, could be drilling or core splitting disturbance",,,,354,U1451,B,6,X,4,A,
354-U1451B-6X-5-A,0,63,585.78,586.41,,silty [Leg339],calcareous clay [Leg210],with foraminifers [2014],silty calcareous clay,silty calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,sharp irregular,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,5,A,
354-U1451B-6X-5-A,63,74,586.41,586.52,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,gray,sharp irregular,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,5,A,
354-U1451B-6X-5-A,74,102,586.52,586.8,,silty [Leg339],calcareous clay [Leg210],with foraminifers [2014],silty calcareous clay,silty calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,sharp irregular,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,5,A,
354-U1451B-6X-5-A,102,123,586.8,587.01,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,gray,sharp irregular,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,5,A,
354-U1451B-6X-5-A,123,149,587.01,587.27,,silty [Leg339],calcareous clay [Leg210],with foraminifers [2014],silty calcareous clay,silty calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,,,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,5,A,
354-U1451B-6X-6-A,0,23,587.27,587.5,,silty [Leg339],calcareous clay [Leg210],with nannofossils [2014],silty calcareous clay,silty calcareous clay with nannofossils,calcareous clay with nannofossils,,gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,6,A,
354-U1451B-6X-6-A,0,23,587.27,587.5,,,,with foraminifers [2014],,with foraminifers,with foraminifers,,,,,,,,,,burrows,,,,,,,,354,U1451,B,6,X,6,A,
354-U1451B-6X-6-A,23,58,587.5,587.85,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,sharp irregular,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,6,A,
354-U1451B-6X-6-A,58,73,587.85,588,,silty [Leg339],calcareous clay [Leg210],with nannofossils [2014],silty calcareous clay,silty calcareous clay with nannofossils,calcareous clay with nannofossils,,gray,gradational,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,6,A,
354-U1451B-6X-6-A,58,73,587.85,588,,,,with foraminifers [2014],,with foraminifers,with foraminifers,,,,,,,,,,,,,,,,,,354,U1451,B,6,X,6,A,
354-U1451B-6X-6-A,73,100,588,588.27,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,gradational,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,6,A,
354-U1451B-6X-6-A,73,100,588,588.27,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1451,B,6,X,6,A,
354-U1451B-6X-6-A,100,108,588.27,588.35,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,6,A,
354-U1451B-6X-6-A,100,108,588.27,588.35,,,,,,,,,,,,,,,,,burrows,,,,,,,,354,U1451,B,6,X,6,A,
354-U1451B-6X-6-A,108,115,588.35,588.42,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,brown,,,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,6,A,
354-U1451B-6X-CC-A,0,37,588.42,588.79,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,brown,gradational,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,CC,A,
354-U1451B-6X-CC-A,37,43,588.79,588.85,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,greenish gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,CC,A,
354-U1451B-6X-CC-A,37,43,588.79,588.85,,,,,,,,,,,,,,,,,color banding,,,,,,,,354,U1451,B,6,X,CC,A,
354-U1451B-6X-CC-A,37,53,588.79,588.95,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,greenish gray,,,,,,,,mottling [BJ80],,,,,,,,354,U1451,B,6,X,CC,A,
354-U1451B-6X-CC-A,37,53,588.79,588.95,,,,,,,,,,,,,,,,,color banding,,,,,,,,354,U1451,B,6,X,CC,A,
354-U1451B-7X-1-A,0,64,590.5,591.14,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,,,,,,,,,,,,,,,,,354,U1451,B,7,X,1,A,
354-U1451B-7X-CC-A,0,29,591.14,591.43,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,,,,,,,,,,,,,,,,,354,U1451,B,7,X,CC,A,
354-U1451B-9X-CC-A,0,12,606.9,607.02,,clayey [Leg339],silt [Leg210],with plant fragments [2014],clayey silt,clayey silt with plant fragments,silt with plant fragments,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1451,B,9,X,CC,A,
354-U1451B-9X-CC-A,12,30,607.02,607.2,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,,,,,,,,,,,,,,,,,354,U1451,B,9,X,CC,A,
354-U1451B-10X-CC-A,10,20,610,610.1,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,,,,,,,,,parallel lamination,,,,,,,,354,U1451,B,10,X,CC,A,
354-U1451B-11X-1-A,0,142,619.6,621.02,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1451,B,11,X,1,A,
