Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Principal Name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data
340-U1396B-2H-1-A,340,U1396,B,2,2-1,H,1,A,0.0,18.0,5.0,5.18,destroyed [drilling disturbance],8,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,"calcareous ooze, may not be in situ (core top)",0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,50,50,0,,moderate [BP01],absent [alteration],0,Hemipelagic clay,,,,,,,,
340-U1396B-2H-1-A,340,U1396,B,2,2-1,H,1,A,18.0,128.0,5.18,6.28,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,fine sand [T07],4,,,,,100,calcareous sediment with no significant structure. Rare greenish patches observed.,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,50,50,0,,moderate [BP01],absent [alteration],0,Hemipelagic clay,,,,,,,,
340-U1396B-2H-1-A,340,U1396,B,2,2-1,H,1,A,128.0,136.0,6.28,6.36,minimal [drilling disturbance],1,ash [F&S84],100,fine sand [T07],4,,,,,100,volcanic sand consisting of pumice having small crystals and 20 % of biogenic materials.,0,0,,0,,0,,0,,0,,0,,0,,,,,40,0,0,0,40,0,0,20,0,0,,moderate [BP01],absent [alteration],0,Ash containing crystal rich pumice (or scoria?),,,,,,,,
340-U1396B-2H-1-A,340,U1396,B,2,2-1,H,1,A,136.0,150.0,6.36,6.5,minimal [drilling disturbance],1,carbonate ooze [Leg178],99,fine sand [T07],4,lime-gravel [USGS],1,pebble [W22_2],9,100,"calcareous sediments mostly composed of carbonate, but about 30 % of pumice is also contained.",0,0,,0,,0,,0,,0,,0,,0,,,,,30,0,0,0,5,0,0,30,35,0,,moderate [BP01],absent [alteration],0,"Mostly hemipelagic, but containing 30% of pumice, which is different from the upper hemipelagic sediment in this section.",,,,,,,,
340-U1396B-2H-2-A,340,U1396,B,2,2-2,H,2,A,0.0,150.0,6.5,8.0,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,2,0,,0,,0,,0,,0,,0,,100,medium sand [T07],,,rounded,0,0,0,0,0,0,0,0,0,100,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1396B-2H-3-A,340,U1396,B,2,2-3,H,3,A,0.0,38.0,8.0,8.38,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,30,40,30,,moderate [BP01],rare [alteration],2,,,,,,,,,
340-U1396B-2H-3-A,340,U1396,B,2,2-3,H,3,A,38.0,41.0,8.38,8.41,slight [drilling disturbance],2,volcaniclastic-sand [BGS-S81],70,very coarse sand [T07],8,calcareous sand [Leg210],30,fine medium sand [T07],5,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,30,0,0,30,15,0,0,10,10,5,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1396B-2H-3-A,340,U1396,B,2,2-3,H,3,A,41.0,109.0,8.41,9.09,minimal [drilling disturbance],1,calcareous sand [Leg210],100,fine sand [T07],4,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,30,40,30,,poor [BP01],rare [alteration],2,,,,,,,,,
340-U1396B-2H-3-A,340,U1396,B,2,2-3,H,3,A,109.0,112.0,9.09,9.12,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],70,very coarse sand [T07],8,calcareous sand [Leg210],30,fine medium sand [T07],5,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,20,0,5,10,30,0,5,15,10,5,,poor [BP01],absent [alteration],0,,,,,,,,,
340-U1396B-2H-3-A,340,U1396,B,2,2-3,H,3,A,112.0,117.0,9.12,9.17,minimal [drilling disturbance],1,calcareous sand [Leg210],55,fine sand [T07],4,volcaniclastic-sand [BGS-S81],45,medium sand [T07],6,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,15,0,10,0,20,0,0,30,15,10,,moderate [BP01],absent [alteration],0,,,,,,,,,
340-U1396B-2H-3-A,340,U1396,B,2,2-3,H,3,A,117.0,150.0,9.17,9.5,slight [drilling disturbance],2,calcareous sand [Leg210],100,fine sand [T07],4,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,30,40,30,,moderate [BP01],rare [alteration],2,,,,,,,,,
340-U1396B-2H-4-A,340,U1396,B,2,2-4,H,4,A,0.0,80.0,9.5,10.3,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,2,0,,0,,0,,0,,0,,0,,100,medium sand [T07],,,rounded,0,0,0,0,0,0,0,0,0,100,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1396B-2H-4-A,340,U1396,B,2,2-4,H,4,A,80.0,95.0,10.3,10.45,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],55,medium sand [T07],6,calcareous sand [Leg210],45,medium sand [T07],6,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,30,0,30,0,5,30,0,5,,moderately well [BP01],absent [alteration],0,,,,,,,,,
340-U1396B-2H-4-A,340,U1396,B,2,2-4,H,4,A,95.0,150.0,10.45,11.0,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,silt-fine mud [T07],2,,,,,100,,2,0,,0,,0,,0,,0,,0,,100,medium sand [T07],,,rounded,0,0,0,0,0,0,0,0,0,100,,well [BP01],absent [alteration],0,,,,,,,,,
340-U1396B-2H-5-A,340,U1396,B,2,2-5,H,5,A,0.0,14.5,11.0,11.145,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic sediment,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,0,0,0,1,0,99,,poor [BP01],moderate [alteration],4,,,,,,,,,
340-U1396B-2H-5-A,340,U1396,B,2,2-5,H,5,A,14.5,15.5,11.145,11.155,minimal [drilling disturbance],1,ash [F&S84],100,silt-fine mud [T07],2,,,,,100,Tephra (?),0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,30,0,70,0,0,0,,moderate [BP01],moderate [alteration],4,,,,,,,,,
340-U1396B-2H-5-A,340,U1396,B,2,2-5,H,5,A,15.5,62.0,11.155,11.62,minimal [drilling disturbance],1,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,Hemipelagic sediment,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,10,0,10,70,0,10,,poor [BP01],moderate [alteration],4,,,,,,,,,
